straight|p17_Global|straight_002,LShoulder,LUArm,LFArm,LHand,RShoulder,RUArm,RFArm,RHand,LThigh,LShin,LFoot,LToe,RThigh,RShin,RFoot,RToe,Hip,Ab,Chest,Neck,Head,Acceleration,Velocity,Position,Joint Angle,rotation,Overall
p17_straight_main_013,0.22452311349633822,0.1475883782791287,0.19640863142290713,0.032856304966951314,0.30983584911661,0.16848926228556177,0.13750147134325558,0.08949994207382912,0.17734730632149026,0.34550970636260525,0.22432944966894325,0.16826530160797545,0.15974753611002196,0.1826130368828458,0.31096705251937096,0.1309356491999624,0.9031106819491622,0.2966008331854878,0.29245506507121427,0.24602975409630184,0.2556215064621331,0.0480538314196764,0.04772764423666256,0.04762566023337759,0.4565506012757747,0.747757855529484,0.3976917578814308
p17_straight_main_014,0.2250735639327699,0.16482488082725627,0.19264902017706703,0.04192499580895087,0.3694832809472214,0.17071571084528764,0.18178058429284355,0.12403010982367262,0.19106867048277584,0.3478495248100377,0.21771490112008135,0.15704603917179652,0.18687072317762804,0.22203195409810164,0.3647650221264766,0.19625908670581926,0.9569730281358133,0.35577985121456945,0.3530445745659594,0.2718829673198952,0.2686312470991441,0.048099479634035165,0.04822057411969131,0.0477201101562606,0.47976066473290474,0.8560073269791866,0.45186371856772356
p17_straight_main_015,0.22355628909180741,0.15880280117622694,0.25639754902968204,0.04955532677317536,0.29868232002110773,0.16908613569026382,0.1340145901641613,0.08975793239697485,0.18865625563713287,0.3372664351141828,0.20304044154157025,0.14072797426357192,0.18438609715028376,0.19569019987711353,0.3181235837409083,0.15663550723229325,0.9249908110121938,0.3240630306552385,0.3200051173676459,0.26758540422017174,0.25040300899130163,0.04796154459754013,0.047731915150283404,0.047624751290604915,0.46348356498920174,0.792977899688771,0.42030132548968796
p17_straight_main_016,0.22124168007629424,0.16098438978033242,0.2523279184781438,0.05323209748078382,0.3582309827024286,0.16652313898124121,0.11714861902284768,0.06307539367202745,0.18482703536063422,0.34931465816680457,0.18249624558061978,0.12468097858122229,0.18666335574764673,0.1958775964960337,0.32376784184764185,0.15346024688205617,0.9210491465022415,0.3159584323376919,0.3135606343156099,0.2637794605558998,0.2616360786397673,0.047834105952665726,0.04770962322106962,0.04762060601671393,0.4702813099409072,0.7843664196697853,0.4159935128432496
p17_straight_main_017,0.22798488758586336,0.14988142474308455,0.1966144347103488,0.03344352724523924,0.3011811809269626,0.17278508169971452,0.13829583841346244,0.08957976511720625,0.18974418505091167,0.3441309696179328,0.20619773723705484,0.1485348115212352,0.18557703738066184,0.21613585915741748,0.3434141907426028,0.17534267760693942,0.9198790894737943,0.3192423123006173,0.3166534811621694,0.2751588588889191,0.25793399088217767,0.04783931434053928,0.04797791064945661,0.047674602998343106,0.4539362525189454,0.8017836842056218,0.4247291436019825
p17_straight_main_018,0.2214098748660413,0.15589082611284202,0.20283402159959785,0.03989732767890223,0.37418080064856163,0.16980641125546334,0.1298228691181748,0.07163003197426558,0.18574698347260393,0.35540594519616964,0.19764564050559327,0.14003127619696512,0.18280822201810723,0.21387673473220264,0.3451389775912639,0.1716361162630367,0.9219487650759446,0.32017540419910856,0.3175010753240471,0.2743331524427845,0.2582351344964374,0.04799658346111503,0.04800860577689296,0.04765314958559337,0.46300577609606214,0.8057821609700871,0.4267176552778403
p17_straight_main_019,0.22031950191702862,0.16282126627926802,0.21344678401587727,0.05180290506001402,0.2991682465755433,0.16801874278344525,0.1273833561175056,0.07699336219618516,0.18601676451325688,0.3411966244887269,0.1971170962150178,0.13530128477353243,0.1834420414804132,0.2127689410687083,0.3202126354116034,0.15802764259635077,0.9235281229523749,0.3221763865913188,0.31926570496644135,0.2703915543558833,0.2656106230040874,0.04787421600195248,0.04772946417108091,0.04762777682301469,0.4496095580153181,0.7901579446921649,0.4188928607575898
p17_straight_main_020,0.22171741144401685,0.15756254826182325,0.20584363487216298,0.039012964928910605,0.3010830726854405,0.16746048090287935,0.12998952008673562,0.07671870160850229,0.19014284782702345,0.3518542992443954,0.20656101836153545,0.1413400754699231,0.16145016625400932,0.1937275648828819,0.33915716381517724,0.15207474862708922,0.9271335211626003,0.2955908287938541,0.3198939689100876,0.27205848491491846,0.25668604073797163,0.04792609429254054,0.04771117948257833,0.04762287574996391,0.4731291864104253,0.7658712766097977,0.4067470761798808
p17_straight_main_021,0.22021409540575165,0.14880693492452354,0.22889434674671963,0.03515162778978567,0.30547913669490445,0.16889354960653946,0.13574927622596025,0.08716468705019467,0.19130227585039428,0.3550797091705159,0.20759173898721492,0.14198982918160402,0.15960347072614312,0.20051067996083755,0.2693346165959025,0.14300013292275418,0.9040315047277977,0.2930373035546972,0.2931352815272384,0.277104509992021,0.26022673963694665,0.04790243409261642,0.047729131639820344,0.047623452708527525,0.47111839081384976,0.7452091112307827,0.3964162819696551
p17_straight_main_022,0.21708764576332729,0.1605781679751693,0.17461031717512068,0.031028581134417327,0.368403363285843,0.16766129863508172,0.1673270382165058,0.08964522661587646,0.19361148610769,0.35383748258312353,0.21918902819735933,0.14388404860815476,0.18840112537224174,0.25503059012576756,0.3374840909576017,0.15688226284063503,0.9739770764549999,0.3722472982486601,0.3694658735982241,0.2789472147637103,0.27617092926648645,0.04809889492604644,0.04827385383854388,0.047678543776259664,0.5274094781366605,0.8084463073337592,0.42806242555500945
