hook_right|p02_Global|hook_right_005,LShoulder,LUArm,LFArm,LHand,RShoulder,RUArm,RFArm,RHand,LThigh,LShin,LFoot,LToe,RThigh,RShin,RFoot,RToe,Hip,Ab,Chest,Neck,Head,Acceleration,Velocity,Position,Joint Angle,rotation,Overall
p02_hook_right_main_017,0.2478131971749117,0.008871987722376268,0.011024989312879372,0.0431828699241074,0.21742090635108294,0.0703939906125822,0.11413516051441067,0.039300631271688355,0.11538725116243127,0.22180924354778292,0.281945654394007,0.11766591064920948,0.10931649454400452,0.18140410576955768,0.2189223147646576,0.07359924378476201,0.8191905898129137,0.23052580759015245,0.2431670780721567,0.2156329751469391,0.19629855557938847,0.0487714486773536,0.04799656186209687,0.04762682726954598,0.4799253639979357,0.4635818706209441,0.25560434894524503
p02_hook_right_main_018,0.26246595662799443,0.036928699085984604,0.05722725724582063,0.048332857488385846,0.2087166642659281,0.042370822017590556,0.0693623043080164,0.01823570307474765,0.10132727291943695,0.19615147083698314,0.2600557805490767,0.08924991810624629,0.09703010626721455,0.1633336757222078,0.16957844234890315,0.06264665845217013,0.7779536235096622,0.19563553014195603,0.21032522697808723,0.2055392986766457,0.17438549876345627,0.050648106496645674,0.04802918226898917,0.04762202408586878,0.4332240594970983,0.4228821268714974,0.2352520754786831
p02_hook_right_main_019,0.33772917614931275,0.03507639671454419,0.10183722425720618,0.13154023577947424,0.19873267717765022,0.09207905856780813,0.08152196043135353,0.0521889445375623,0.18143040926295137,0.3054318037364626,0.32843100888695,0.18363310516318573,0.17288182323044127,0.26091864665126024,0.21428212041920697,0.14277834669629522,0.836865163984657,0.23093647251149924,0.24322671622157416,0.23919260114331453,0.21538795634186658,0.05398898705203149,0.04790905130285405,0.04762484720355042,0.3907779951829529,0.7162313308045799,0.38192808900406516
p02_hook_right_main_020,0.2820931836398243,0.017001672230654102,0.07347711701445989,0.12526143182766103,0.2608822404053788,0.11899455787754187,0.13366521076064264,0.07158886854673811,0.1795938660895043,0.31686553334221534,0.35614784696932983,0.18561013155936057,0.17250928729739956,0.25269508305073674,0.2566045474222599,0.14199541880791386,0.8489004468747368,0.25159917421059885,0.26351700724419735,0.26766533693067085,0.24322750284781836,0.05175704207674386,0.04817849939572135,0.04784651522863585,0.45509463065494193,0.73186779278271,0.3898571540056729
p02_hook_right_main_021,0.27334592792282886,0.005544999252567572,0.009725545325187221,0.06941431811595467,0.2444256482302755,0.1033618345879079,0.17973584177383414,0.05578739395997503,0.15231467292950995,0.29414029160191746,0.32932500221140015,0.15550580871891584,0.14916133011759872,0.25242179581922425,0.24010928757040836,0.10784217751542143,0.8412298964386059,0.24793685545022984,0.25990289373460007,0.23842387241395388,0.21254583069264,0.048472438581451636,0.048089298445736804,0.04766515622607671,0.5210234646661083,0.6024800113996679,0.3250725838128723
p02_hook_right_main_022,0.24146334465192906,0.008308241821290138,0.014844020990836853,0.05953091210033066,0.22638177644082944,0.07889707006171812,0.13586406879233826,0.039763832170986155,0.12445555220360258,0.25473298481249995,0.31418760670730767,0.13019387835224872,0.1238700647621727,0.20393644665593946,0.22499468661011135,0.09063163766049372,0.8386660985694814,0.24923613921276222,0.2611212169970494,0.2284676700694575,0.20221597128286367,0.049382604311741816,0.04812646636031781,0.04762569809318205,0.5159337674632487,0.5025463241331033,0.2750860111131427
p02_hook_right_main_023,0.268933954658334,0.006740058601520537,0.014921820373217315,0.06934233364867105,0.2654205573926879,0.12880240833452494,0.2072728777208394,0.08369564229585308,0.15682767242968407,0.3048131605123992,0.3520338136462452,0.17174994665810003,0.15233859999944077,0.24042011978035943,0.2635534780110846,0.11446101866787399,0.8507520569930381,0.260321858869623,0.2734495429398166,0.24948797020877117,0.21968500218116888,0.049262938794575,0.0498976544800271,0.04772837754448626,0.5351211143036032,0.6432044191517048,0.3454663983480955
p02_hook_right_main_024,0.29064482525419766,0.012713419048763547,0.0825405837521409,0.1393766857773819,0.29648260998459053,0.14742301091052137,0.18181172961755676,0.10500997885349313,0.18565697086196195,0.3041906305338914,0.3654377216727084,0.1935119312534698,0.17766535671378814,0.2697369881866733,0.2602812766829902,0.15030949363141666,0.8748815717287665,0.2767927592759133,0.2875741241603104,0.25826301235286087,0.2327849670195417,0.05116727474107986,0.048007328233019,0.0478980825661218,0.48148878497139674,0.7774246835302515,0.41266138304818667
p02_hook_right_main_025,0.2663091902866569,0.0062904375476907455,0.012726275736349994,0.0711680417693166,0.25442870839154497,0.10743046585637546,0.17160137982859514,0.05873058221965192,0.15239400884391197,0.27856699593160383,0.34104160808108563,0.16057348845813957,0.14667840270281576,0.2363211014823535,0.26128765369271684,0.11640173470247632,0.8476363313553049,0.2556368069842662,0.2679298151612299,0.24668996216256267,0.2256055753083226,0.04895880473141722,0.04828704881713756,0.04767231212866794,0.5205401912513369,0.6123851766417032,0.3300287443851856
p02_hook_right_main_026,0.281146986400888,0.005438386962335597,0.012143190140324635,0.07406478767627533,0.24511079029715682,0.10717705641331779,0.17193183373976298,0.05720311311735734,0.14976760519672788,0.30020692119822356,0.3392588103484102,0.15907741182827326,0.1456296843569188,0.23078287564073746,0.25002006031118784,0.11118510950045515,0.8363785051934606,0.24549107085822436,0.2581093895170806,0.24252373632016236,0.2182792313109442,0.04877431589796162,0.048188413680531846,0.04766339850534691,0.5217477813645495,0.6067661971704342,0.3272147978378906
p02_hook_right_main_027,0.2989956046453856,0.0036962484214358624,0.07042345089350469,0.1147987777662343,0.26667489438221564,0.15226428973800837,0.20260564272716658,0.10519196855135804,0.1919442712450832,0.3614874838434042,0.3747159252658606,0.1982368006872094,0.1853058975119622,0.25816461222080905,0.2922429935607646,0.16395333245581098,0.8904386015818367,0.28885845328699356,0.298031862182712,0.2707772772612126,0.2444215832011647,0.05414946212284154,0.04843508727377718,0.04859434673521866,0.5080825050429787,0.7852736345030106,0.4169339906191146
