hook_left|p06_Global|hook_left_001,LShoulder,LUArm,LFArm,LHand,RShoulder,RUArm,RFArm,RHand,LThigh,LShin,LFoot,LToe,RThigh,RShin,RFoot,RToe,Hip,Ab,Chest,Neck,Head,Acceleration,Velocity,Position,Joint Angle,rotation,Overall
p06_hook_left_pre_001,0.23117458901643947,0.16332929796212087,0.18001247503893514,0.10442782638941428,0.3122869188129213,0.17638515592061177,0.2778965907203003,0.1527419127375506,0.18418821057722123,0.2980541315573557,0.18785710322508034,0.10839689573621725,0.19363251737776174,0.3300346546874683,0.29798091381101177,0.19195907194392461,0.9384407513054924,0.33971163397709764,0.3424830097398452,0.33460188146839553,0.32997604211730874,0.05154459225110869,0.04941038087927068,0.04770657563060339,0.5443244783954091,0.8376081092218732,0.44265734242623833
p06_hook_left_pre_002,0.22729124496664674,0.12647326091162203,0.1280605935072657,0.08630334480210301,0.2547835289650079,0.15985849704226499,0.23168193714566784,0.1406266904328854,0.1766867123317147,0.30285979039386485,0.24314206930977375,0.13965706735137395,0.18261878356936628,0.25646843644742673,0.3024321360645558,0.1936670335991197,0.9209984006384268,0.31500540411104894,0.3167700932000518,0.2774157126782895,0.27961339424740067,0.053252836080677476,0.048460118993552306,0.04762046711169271,0.4613370924929404,0.7903909545243513,0.41900571081802196
p06_hook_left_pre_003,0.21015664438148418,0.12240922627892958,0.16513619428482412,0.1301670936033393,0.30812998053870133,0.1599600583999219,0.29762121938153896,0.18267897873447553,0.17514541941874964,0.2874402364689533,0.2332638153966188,0.12381261369166015,0.1798919093112556,0.27890477640092,0.2155295874004785,0.1455119208254493,0.9229271813509057,0.31001496279705015,0.30972425769591905,0.32011375689979155,0.31375174505332826,0.05164372729368415,0.047933176571760605,0.047639706207192774,0.5073088570601861,0.7990228740726957,0.42333129013994425
p06_hook_left_pre_004,0.23926703900643237,0.15557661583349164,0.15278374067343883,0.11680964916560765,0.305494472619037,0.17211661275471277,0.25647078734812245,0.14757901303048937,0.18758611971544908,0.2614878470908829,0.25071168493717993,0.12630037334771216,0.1922454786622156,0.3092415542328183,0.2909936362865762,0.18600706735757094,0.9353631418045533,0.3346105680422661,0.33720325267301965,0.3255129510214004,0.3210724430359567,0.05230187780057765,0.049225396863437236,0.047646722322250375,0.513941062978977,0.8389369741660828,0.4432918482441666
p06_hook_left_pre_005,0.20887896194312455,0.14302836946734757,0.16002361988238603,0.12020575603306474,0.3376801425387191,0.16601010729703614,0.23333533518643926,0.13495170218941416,0.18083932684410162,0.27416980356662973,0.23011614838799663,0.11650497982199255,0.18959543404455492,0.31802462068507625,0.2906352583706111,0.18920110675950744,0.9360628705200288,0.3379554702299238,0.33919960404275457,0.306280551650331,0.30409685260113395,0.05191829007548626,0.049326902589286126,0.047642297771896436,0.5263000148905321,0.8122427714021166,0.42994253458700654
p06_hook_left_pre_006,0.2215653265957415,0.1410251001177958,0.1422795130302346,0.08375945175651622,0.28478466928483914,0.13595907393258866,0.20343978748320207,0.11881266907258436,0.15796620139940962,0.2784386040977519,0.20919160780594237,0.11333072606314817,0.16841482229828805,0.27103389237325837,0.273694849959038,0.18436873200705778,0.8979990401436254,0.2976894174773335,0.30059266543010554,0.27556799062175374,0.27848917506197085,0.05235337263323464,0.04905738605379781,0.04764237914794981,0.4973037955977486,0.7159369732842864,0.3817896762161181
p06_hook_left_pre_007,0.20870400724853305,0.15254765165841927,0.1773038685313988,0.10963043609084877,0.3223348473450799,0.15584223000832947,0.22686619820820636,0.129023747985958,0.16106800709822794,0.2793892577455942,0.20040121884426262,0.1019391924931414,0.17859348671800485,0.34266196169474694,0.2849421735345345,0.1880634746311808,0.9159554777350968,0.3210659084621962,0.3238049322129012,0.289360076140537,0.28862464222440465,0.05124750027197352,0.04857702231096212,0.04764503989608448,0.5455171512631427,0.7696362272001733,0.4086406335481289
p06_hook_left_pre_008,0.18789427661365726,0.1341847311779049,0.18774523164981516,0.13018820169460193,0.30345826304549206,0.14703039750215835,0.22908500388949832,0.11452988793726566,0.1490466978808666,0.2685182970097988,0.1843109565915424,0.09523161616147344,0.16353291776042825,0.2937685633467135,0.28041872264928136,0.17930630451703825,0.8927391382612069,0.30097491205298815,0.3054360654777516,0.2910120380933791,0.28664883918776274,0.05123326702653188,0.04834025200658806,0.04762969830918533,0.528403640175067,0.7233356640534498,0.38548268118131757
p06_hook_left_pre_009,0.22923190660932286,0.15330128390566544,0.15379927456677128,0.1159699244670405,0.29664954334039584,0.1534344039761854,0.23592266789355443,0.12344139286634859,0.1622401689814747,0.22256970663217576,0.26627190380500376,0.13061400476356438,0.17046556312700087,0.28642129336597877,0.3038795692522435,0.18843443251985678,0.922342982182864,0.3245056542670709,0.3262788222236904,0.28945350433923867,0.2933987625063847,0.05307707953175635,0.04898982135138511,0.04763062980997787,0.5115593691990514,0.7755189999707798,0.41157481489037884
p06_hook_left_pre_010,0.18805736736392004,0.11500819577270896,0.03422483203595161,0.026565675488390266,0.2797364027169805,0.13112841619436863,0.1443497373385013,0.03457578991956482,0.16324371655981146,0.24130081215646296,0.2588620493538222,0.12511239380719205,0.1675522515368143,0.2835446896700211,0.27641734788226746,0.18938083846251857,0.9019230470311103,0.30599411325811,0.30926059982057286,0.2350384359414607,0.21945959359837203,0.0517561392199169,0.0479929143394231,0.04762036594461189,0.4697541443719665,0.6422410991970194,0.34493073257081563
