jap|p19_Global|jap_003,LShoulder,LUArm,LFArm,LHand,RShoulder,RUArm,RFArm,RHand,LThigh,LShin,LFoot,LToe,RThigh,RShin,RFoot,RToe,Hip,Ab,Chest,Neck,Head,Acceleration,Velocity,Position,Joint Angle,rotation,Overall
p19_jap_main_011,0.11573539697994746,0.0007359073330075399,0.023775675816615913,0.0022407737473688063,0.033255042971328766,0.00018565895829035755,0.185421716607769,0.0016655013402622834,0.001675127448303064,0.1436535461027962,0.10985075455051999,0.004821893746572448,0.005825594279411878,0.1918429744052946,0.07004830557201133,0.0012287491381451784,0.6015470196651455,0.004436471484039648,0.007079534396920881,0.18474314566697836,0.18265781500541395,0.047636977713399205,0.04775608408690647,0.047619059499690086,0.4947265761078997,0.023697568613929333,0.035658314056809706
p19_jap_main_012,0.0943968603665626,0.002064727134392198,0.03610269684476776,0.005723787466176784,0.04494328176635525,0.0003598654233799382,0.20246470706997655,0.004225691626640087,0.0044813574113671505,0.13826408168989257,0.1383968696852334,0.010300089108328912,0.014073950054256757,0.19899419838681406,0.09842853736616444,0.003672991936911333,0.60370381095022,0.010285467993102768,0.015322026810592363,0.1936392899646357,0.18935242449955586,0.047676840698488536,0.04778365888615617,0.04761905406158831,0.5047903920705279,0.050077024940270325,0.04884803950092932
p19_jap_main_013,0.07736711346747673,0.00441787725481998,0.08301671830238459,0.013474090857988563,0.054464046863432466,0.001163394467209586,0.17484709954093688,0.006774606637565704,0.007313278704658595,0.12895776853055974,0.1354305694192061,0.0164756256600116,0.021147210217629768,0.19460835496885687,0.10195000012129482,0.007579752027787909,0.6084393387618257,0.016677335442445363,0.022273708674801655,0.20146905017961134,0.1967046545668379,0.04772896548955389,0.047708936565433714,0.04761915646419348,0.48924635683509826,0.07074703341637895,0.059183094940286216
p19_jap_main_014,0.08896814857265474,0.0017784298353308344,0.04021727407530836,0.005124007983593144,0.04137146118889094,0.0005274448990628467,0.18705062919858834,0.0032035513620556184,0.0038352181772833985,0.11606758402120756,0.13326032667597867,0.009363297094868024,0.012458252397019531,0.18233763559257035,0.10667132847567688,0.0032417516439780135,0.60413531489801,0.00924276712487353,0.013151705870110492,0.19918953948051638,0.19581103301317476,0.047695110286498456,0.047799222153434476,0.047619094573494704,0.4937774863052068,0.040799145700168245,0.044209120136831474
p19_jap_main_015,0.10232579126827021,0.0017497960669275747,0.031130249875138467,0.0059581852802352234,0.0427960366237614,0.0002858016236605314,0.20629346129641193,0.004126517973767014,0.004105499949254957,0.1392111830468508,0.0971460112181585,0.009599225724971858,0.012539068617681245,0.1944346973647295,0.10303535932520298,0.003106820564749509,0.6032213367228534,0.009152920984712976,0.013717857644647936,0.1887143341509429,0.18481555358625212,0.04766030446244039,0.04776796495822896,0.04761909495254493,0.49087713781754483,0.04549332030212242,0.04655620762733367
p19_jap_main_016,0.09425809343953442,0.0009467267036106551,0.03317654231094388,0.0027542536905638907,0.03568032823200123,0.00048134780190799153,0.19128118552138135,0.0020407596409156158,0.001952453621489756,0.11728723685660503,0.1200152099263178,0.005171011384680265,0.006509208437634385,0.1782574512464844,0.0913816294544932,0.0015034584262728632,0.6028224016137085,0.005708792288408288,0.007979580952769027,0.18520345956723896,0.18328659311798756,0.047673590278658855,0.04783581447505586,0.0476193207938924,0.48974033820830193,0.024205531031335867,0.035912425912614135
p19_jap_main_017,0.21016102622304733,0.1605136611705314,0.1639677870604939,0.16001204475425568,0.2757373855182788,0.0018097131160494276,0.15065850038668294,0.17277465026396005,0.16095438217759583,0.3219942080321805,0.2470537479319709,0.13816310792971767,0.0957199501245978,0.10388149640240867,0.2564805121959301,0.15488168762046034,0.8433610318221938,0.228794463475342,0.22567990586449077,0.2947130546638309,0.33414346074375745,0.048129209518037515,0.047668751652608074,0.047620023758540166,0.5476494738972784,0.619774713050119,0.33369736840432956
p19_jap_main_018,0.2514568629452879,0.15371215354412274,0.2093134243024902,0.19195443208811883,0.3306695056747078,0.14680339109465682,0.18965096309856638,0.19122523823451865,0.19837780611540168,0.33930921259796226,0.29899740370933153,0.18183345740821927,0.17208521859756418,0.25222493741740104,0.3576573187877804,0.2008128080743523,0.9129638375907824,0.303476309891776,0.30631154477227807,0.37270994783110634,0.38359648308410177,0.04774594690817174,0.051893074296754015,0.048339620249150256,0.5886452907716848,0.8864976747692574,0.46741864750920387
p19_jap_main_019,0.26176293692239505,0.156236229554447,0.22316628536817268,0.1888153978060702,0.3366278136378892,0.15108023478176508,0.17026786975263863,0.19081579881823094,0.19703658271145946,0.27500735235242457,0.3014223575025004,0.18733692018661027,0.17743862372787048,0.24225366016339173,0.3433232819179761,0.20290302325370804,0.9220933845751377,0.3147384577950369,0.3180744342079555,0.37597810451854524,0.3814112361158905,0.047743922852626935,0.05123828404477055,0.049404609656146826,0.5422674470660674,0.8988025325918262,0.4741035711239865
p19_jap_main_020,0.28324689812284987,0.13579187254064345,0.19782111957955897,0.1418612101635393,0.3450876795217436,0.16490880821023804,0.1454153102329577,0.18794313956146702,0.18726724090777952,0.2801372239193176,0.32305469077251064,0.19593592323295203,0.1826304819697416,0.22581470589169209,0.3116340589949254,0.19251983303182454,0.9179825047319945,0.31597214205236834,0.31775911981193383,0.3755896836236535,0.37989305150010566,0.04767441170840466,0.04810441852240141,0.04762006868285804,0.530104811129058,0.8859857670205759,0.46680291785171696
