uppercut_right|p25_Global|uppercut_right_003,LShoulder,LUArm,LFArm,LHand,RShoulder,RUArm,RFArm,RHand,LThigh,LShin,LFoot,LToe,RThigh,RShin,RFoot,RToe,Hip,Ab,Chest,Neck,Head,Acceleration,Velocity,Position,Joint Angle,rotation,Overall
p25_uppercut_right_pre_001,0.20946412618035049,0.13677654274639744,0.26281602219775524,0.17496915689242493,0.32575799190804405,0.1586233696906454,0.2606524911596879,0.14313919107269274,0.1955633308215528,0.286703071889353,0.23732251644954733,0.17759764775865422,0.1945075498993339,0.2949248978238086,0.34587144962241095,0.18132540452656454,0.9508867702616163,0.3509930129913239,0.3488147995820494,0.3068420068957891,0.28880718041492104,0.054833124591335,0.048285725502904074,0.04765806527324941,0.5424800229134662,0.8768037911627102,0.46223092821797984
p25_uppercut_right_pre_002,0.19929371891224407,0.12982167296100125,0.11250075616555719,0.04432333413821978,0.28714990317789074,0.12517944697816943,0.044604388978313265,0.027444841209497094,0.1555792292241144,0.2217103960164227,0.27952195083171677,0.19319583589735112,0.14017475159610066,0.2645242703166601,0.3406234242642334,0.19533508124061244,0.9090076231446043,0.2959295095463437,0.29579257617193544,0.32253672139788325,0.2970341823684654,0.05627848562013573,0.04798855598629871,0.04771902420189521,0.43775293301051593,0.6896930643771424,0.3687060442895188
p25_uppercut_right_pre_003,0.23440784985501578,0.12491672171555998,0.19910841733446358,0.12942078937992724,0.3090850165704901,0.144618583817138,0.1388594274237682,0.0996960326000909,0.19198684861185394,0.22976564921736703,0.26843950746090744,0.18327143779866756,0.1901441570669832,0.2834666146991235,0.34860530432729053,0.18260392971897593,0.9599760901696698,0.36072158132341087,0.35627998717950426,0.3235015272951938,0.30287122117014775,0.05482425240226043,0.04781556199144003,0.04766146526261587,0.49024080491125216,0.8297787955566065,0.43872013040961116
p25_uppercut_right_pre_004,0.23022716448030178,0.13129583018808064,0.2150567701357347,0.11572720244037885,0.30064632672521463,0.1687569245168279,0.11893051839224342,0.09564198222983533,0.16974811740113208,0.20457777707278213,0.32395064558213177,0.18129579120569805,0.18375921483541138,0.21703855853016601,0.3712304051995311,0.18776903554842023,0.9585377100087753,0.3608804695472186,0.347306837329202,0.26565519684385325,0.26116140221485035,0.05807405711766702,0.05471488423739078,0.04763436792653013,0.46972606903947056,0.8014809402174311,0.4245576540719806
p25_uppercut_right_pre_005,0.2429490259098576,0.13787698036321386,0.24482807334242396,0.13940720583330918,0.3448094261527386,0.17800804423879005,0.15298920891938636,0.11833925008400503,0.17656815784186047,0.2039349272903559,0.31328823197923306,0.17974886416942562,0.18388668857752571,0.23695030718439672,0.359441213129584,0.18804054905198436,0.9477491534534787,0.35051980109466246,0.34591918656497334,0.2769285211550831,0.2723783436033426,0.059318003820213294,0.05395592875681991,0.0476844284041442,0.4932341879119478,0.8365627968012312,0.44212361260268773
p25_uppercut_right_pre_006,0.25405332467496194,0.14023564270941008,0.25338063879989425,0.14607622818450755,0.3284696597626027,0.17404609417007658,0.14962684001623033,0.11936947499617641,0.18178932448483257,0.2011422107845607,0.3322729155826038,0.18371533189779302,0.18853264178940504,0.22935474998030067,0.3540636794731669,0.1822745315090441,0.9535576053326456,0.3534608140443292,0.350170735993189,0.2803891810570079,0.2758913936501902,0.05920867766818451,0.05525020420591749,0.04764726810197819,0.49445088651225005,0.8424232219362796,0.4450352450191289
p25_uppercut_right_pre_007,0.24298478520341713,0.10869822385826902,0.30004006622905355,0.1365621139614092,0.3251319734117698,0.13839605834665303,0.14918678198804142,0.1260455547649111,0.1944875924770471,0.220439142376793,0.3238926198026043,0.18519225215786178,0.1906514781081442,0.2397887296430859,0.3548120943264039,0.1714871990454941,0.9490695039479619,0.3511117113845057,0.351578574903206,0.2688119972625248,0.2485797538773217,0.0588625444986185,0.05576839207726925,0.04763634882770919,0.4847153915151594,0.8419500919465159,0.44479322038711255
p25_uppercut_right_pre_008,0.21506380058545665,0.11265121678482479,0.22917246326962645,0.11004844124326199,0.3046987822390167,0.1379479329350697,0.1398055933900172,0.09612067933426308,0.11955313431688921,0.1467537141771848,0.22959939265615043,0.09153701459344435,0.14200252451811507,0.170280558481864,0.3101172950445364,0.13129065384347022,0.9187913390822648,0.3217004890462561,0.3240570643044058,0.23539136123343063,0.23736877955429683,0.057341631614437,0.05107908206303872,0.04762983235642546,0.496189311649123,0.6321013276502324,0.33986558000332895
p25_uppercut_right_pre_009,0.25398247418416037,0.13736465611117518,0.2625329092292225,0.14401679341762458,0.3144854727601755,0.16571304965333505,0.14677914212132157,0.11711589293372601,0.1897448000471837,0.21716242035140687,0.35054318458893563,0.1939432011663151,0.19085082401980538,0.2513302568376618,0.3514724503346069,0.184354816438133,0.9498568671525505,0.35160125030171147,0.34991661299516785,0.26055163555941957,0.25523312445282526,0.058642368290959694,0.05305757938640999,0.04768077746455869,0.4800160746104198,0.8620833604918404,0.45488206897819955
p25_uppercut_right_pre_010,0.2693641876348917,0.13410927160595446,0.25845545636405876,0.10077335748837221,0.32572890838645374,0.1681608579202415,0.16047756943648234,0.13111349240763304,0.18943164094501425,0.21758556141009136,0.3345070314513647,0.19261406213285115,0.1885343141320976,0.2400070437717409,0.33450493444580925,0.18252576675797716,0.9617823163850504,0.36805880534797036,0.3630460343049258,0.2891257725408648,0.2759397697440396,0.0599201085993707,0.054388702992772986,0.04767181520351744,0.5055155452590795,0.8477776995038575,0.4477247573536875
