subject_id,motion,record_id,feature,condition,value
p13,Global,uppercut_left_p13_Global_003_similarity_matrix,Overall,Main,0.20911074958714299
p13,Global,uppercut_right_p13_Global_002_similarity_matrix,Overall,Main,0.18323694827216327
p13,Global,hook_left_p13_Global_002_similarity_matrix,Overall,Post,0.19733224509836284
p13,Global,hook_right_p13_Global_001_similarity_matrix,Overall,Post,0.18035486378922647
p13,Global,jap_p13_Global_similarity_matrix,Overall,Post,0.23404845476058805
p13,Global,straight_p13_Global_003_similarity_matrix,Overall,Post,0.19884225178542628
p13,Global,uppercut_left_p13_Global_003_similarity_matrix,Overall,Post,0.2006521082947387
p13,Global,uppercut_right_p13_Global_002_similarity_matrix,Overall,Post,0.17878967802929996
p13,Global,hook_left_p13_Global_002_similarity_matrix,Position,Pre,0.04776430601482999
p13,Global,hook_right_p13_Global_001_similarity_matrix,Position,Pre,0.04761913965252443
p13,Global,jap_p13_Global_similarity_matrix,Position,Pre,0.04762410964646978
p13,Global,straight_p13_Global_003_similarity_matrix,Position,Pre,0.048431295043829495
p13,Global,uppercut_left_p13_Global_003_similarity_matrix,Position,Pre,0.0476289100468484
p13,Global,uppercut_right_p13_Global_002_similarity_matrix,Position,Pre,0.04762207104632477
p13,Global,hook_left_p13_Global_002_similarity_matrix,Position,Main,0.04781358615750394
p13,Global,hook_right_p13_Global_001_similarity_matrix,Position,Main,0.0476191876700804
p13,Global,jap_p13_Global_similarity_matrix,Position,Main,0.04764819837228395
p13,Global,straight_p13_Global_003_similarity_matrix,Position,Main,0.04857688538796975
p13,Global,uppercut_left_p13_Global_003_similarity_matrix,Position,Main,0.04762446938760826
p13,Global,uppercut_right_p13_Global_002_similarity_matrix,Position,Main,0.04762571060351046
p13,Global,hook_left_p13_Global_002_similarity_matrix,Position,Post,0.04767253703458836
p13,Global,hook_right_p13_Global_001_similarity_matrix,Position,Post,0.0476190928080355
p13,Global,jap_p13_Global_similarity_matrix,Position,Post,0.047659062920292275
p13,Global,straight_p13_Global_003_similarity_matrix,Position,Post,0.04792933939163205
p13,Global,uppercut_left_p13_Global_003_similarity_matrix,Position,Post,0.047622342465480944
p13,Global,uppercut_right_p13_Global_002_similarity_matrix,Position,Post,0.04762316330777848
p13,Global,hook_left_p13_Global_002_similarity_matrix,Right_Arm,Pre,0.19392460056688463
p13,Global,hook_right_p13_Global_001_similarity_matrix,Right_Arm,Pre,0.06933153333694168
p13,Global,jap_p13_Global_similarity_matrix,Right_Arm,Pre,0.25204121478832964
p13,Global,straight_p13_Global_003_similarity_matrix,Right_Arm,Pre,0.266614362996387
p13,Global,uppercut_left_p13_Global_003_similarity_matrix,Right_Arm,Pre,0.23277559497210804
p13,Global,uppercut_right_p13_Global_002_similarity_matrix,Right_Arm,Pre,0.15144772351191246
p13,Global,hook_left_p13_Global_002_similarity_matrix,Right_Arm,Main,0.1921310824746146
p13,Global,hook_right_p13_Global_001_similarity_matrix,Right_Arm,Main,0.09781849992436742
p13,Global,jap_p13_Global_similarity_matrix,Right_Arm,Main,0.24545995083780775
p13,Global,straight_p13_Global_003_similarity_matrix,Right_Arm,Main,0.24061517758379242
