straight,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,Overall,,
p04_straight_main_019,0.212834267,0.42635321,0.306171676,0.238332152,0.239697836,0.294956356,0.053556738,0.048160664,0.053143354,0.414444315,0.914328417,0.764363187,,
p04_straight_main_020,0.21040079,0.449070781,0.278809829,0.249610127,0.221036576,0.294721985,0.050834417,0.051147911,0.049057631,0.429209988,0.877763882,0.743197714,,
p04_straight_main_021,0.204321973,0.424820307,0.23559167,0.233833747,0.235955841,0.303396556,0.054471094,0.047824149,0.048574773,0.403949908,0.856148597,0.72048899,,
p04_straight_main_022,0.205314395,0.447492419,0.223145578,0.246024024,0.21359396,0.284908003,0.05161408,0.047892014,0.04834482,0.431251424,0.80325178,0.691651673,,
p04_straight_main_023,0.220416274,0.447955552,0.261262918,0.248264893,0.257374498,0.28349674,0.053420089,0.050939473,0.051887114,0.420750799,0.894351567,0.752271337,,
p04_straight_main_024,0.210033391,0.450983805,0.244126841,0.260690392,0.227058373,0.271326648,0.053143141,0.050702817,0.048891845,0.417081642,0.850155377,0.720233257,,
p04_straight_main_025,0.208501182,0.440997159,0.271188971,0.250777486,0.224900597,0.272685299,0.050826508,0.047841941,0.052901642,0.428312714,0.853572189,0.725994347,,
p04_straight_main_026,0.202903796,0.449030086,0.26138271,0.263196581,0.222422576,0.281159474,0.052466954,0.048201961,0.047845102,0.45019506,0.839172738,0.722479434,,
p04_straight_main_027,0.218309617,0.469086125,0.258941035,0.258374657,0.232562003,0.293686977,0.052488875,0.050141698,0.048911264,0.451998386,0.869185527,0.744029384,,
p04_straight_main_028,0.219636021,0.469279944,0.235835983,0.25743052,0.244164331,0.29077857,0.052872221,0.051579396,0.050382099,0.419987753,0.882850182,0.743991453,,
p04_straight_main_029,0.217706257,0.457007206,0.283201654,0.265305118,0.236997559,0.292371731,0.052054546,0.051182721,0.050878379,0.474930251,0.871390526,0.752452444,,
p04_straight_main_030,0.212396728,0.470516685,0.26535497,0.258531967,0.23528358,0.300122964,0.05284843,0.051127999,0.052474153,0.450136151,0.879424034,0.750637669,,
p04_straight_post_001,0.242421254,0.473809402,0.280539634,0.271431112,0.236905358,0.287114962,0.051813409,0.05048173,0.050150946,0.504402369,0.861710464,0.754518036,,
p04_straight_post_002,0.20369411,0.435972637,0.231911793,0.290586298,0.212167913,0.268106474,0.054056705,0.048235421,0.047644362,0.495295442,0.755628453,0.67752855,,
p04_straight_post_003,0.182165413,0.453207828,0.243680542,0.231722808,0.189879575,0.253883843,0.052065377,0.048694107,0.047655009,0.463474077,0.708534924,0.63501667,,
p04_straight_post_004,0.1636319,0.405371525,0.250195101,0.254638286,0.205472085,0.242120172,0.053287944,0.048052872,0.047669259,0.416514724,0.758900893,0.656185043,,
p04_straight_post_005,0.21366213,0.479157525,0.267469612,0.258150458,0.227816655,0.286976802,0.052130152,0.050754645,0.049438162,0.472670853,0.847771291,0.73524116,,
p04_straight_post_006,0.216682708,0.484232059,0.284514435,0.230366425,0.222539212,0.294959395,0.052272081,0.050454966,0.048898779,0.460181572,0.857739807,0.738472336,,
p04_straight_post_007,0.21167077,0.489478259,0.292580589,0.235302276,0.231650842,0.295260399,0.054441245,0.048437003,0.048820513,0.457380682,0.884072724,0.756065111,,
p04_straight_post_008,0.216621551,0.481948742,0.292388953,0.252368955,0.243486957,0.294106427,0.05371609,0.048427219,0.054263169,0.464637464,0.896900632,0.767221682,,
