uppercut_left,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation
p06_uppercut_left_main_024,0.36529517592673877,0.46285307903478845,0.303616401872436,0.28319944999130947,0.24900665196676247,0.12783699921443886,0.05097607397121876,0.04797785707760488,0.04762173239513808,0.5048028360468456,0.817939250644077
p06_uppercut_left_main_025,0.3492946431694296,0.4434711465350283,0.32817172077921414,0.3037650834425779,0.28277012575192195,0.145734443635421,0.04985210277216773,0.047957322137266924,0.047642902275313835,0.5703560733057303,0.828623654762263
p06_uppercut_left_main_026,0.35396535531758255,0.47802884028436293,0.2896666814768052,0.29258769383594263,0.28328874854407193,0.14219629888810226,0.051192226033939574,0.04899845684837973,0.047630877036312844,0.5133007011202515,0.8516285648605213
p06_uppercut_left_main_027,0.3455188878388782,0.47239393684664827,0.26777767107010386,0.2748983239228139,0.2727343396097298,0.13638101400242753,0.05148607645332742,0.04806458391271172,0.047619469643494415,0.48603326187504486,0.8176415511106531
p06_uppercut_left_main_028,0.3602293597632149,0.44508746831511725,0.32867492556375755,0.313122977308526,0.2793469291124948,0.1626100234120053,0.049997299837058196,0.048227899537864403,0.0476557819851119,0.5892309684116646,0.8379454512021771
p06_uppercut_left_main_029,0.36667168152805873,0.4384821115347326,0.3161208320281964,0.2968893047083136,0.26336029402552985,0.13905399803380136,0.04939421490918251,0.04872962682927412,0.04769910850225675,0.5732642463556578,0.7862249353952587
p06_uppercut_left_main_030,0.35323572618617893,0.46311092220668176,0.3064409170601919,0.28774649996799506,0.2727049531765577,0.1537322642171452,0.051135643260243904,0.048223885598591455,0.04762661111919178,0.5432142927721482,0.8272443123220279
p06_uppercut_left_post_001,0.3706373857382131,0.4637305494024487,0.30732140734481794,0.3174525305786638,0.26773397019212253,0.17384388328856482,0.051225944790547914,0.04794382952928367,0.04763526676969816,0.5862302223731373,0.8363832259682589
p06_uppercut_left_post_002,0.37583838485745413,0.46248826116447467,0.3135068834820747,0.30472599723132465,0.2742431197175019,0.17672860545353544,0.05107075154982904,0.04853275011630861,0.04763964250109032,0.5726873090389701,0.8567317686042011
p06_uppercut_left_post_003,0.3276555192951284,0.4387235300262368,0.2660562040285623,0.2213769791950145,0.23035942888063557,0.1492486754497818,0.050806666990468784,0.04806262914304286,0.0476208784179984,0.5227750470144287,0.6717956407688236
