uppercut_right,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation
p06_uppercut_right_main_024,0.3054744293963501,0.3462915919568931,0.1556551784688312,0.22806849715962083,0.14815621233865142,0.11146214018410949,0.05169989138229424,0.04773721706777824,0.04762184465106442,0.5077943511989886,0.40700527815057713
p06_uppercut_right_main_025,0.3235396157435667,0.4333301460526913,0.2464124128689403,0.2870056481890396,0.14227050205961012,0.16562616235881528,0.05558538575921664,0.04792980218662033,0.04762323162843991,0.4658473112728142,0.6946266172914005
p06_uppercut_right_main_026,0.31100792375911457,0.3641627727661694,0.20497584629855145,0.2469193888304689,0.16460364653811563,0.11987461028454213,0.05236649100445969,0.04777784138418606,0.047641594272666156,0.5342763669942826,0.4876907969926015
p06_uppercut_right_main_027,0.34097493823363145,0.46961724160160967,0.30312321193007835,0.2981525303675401,0.16342403095410643,0.17844457402608316,0.05782215138756332,0.053325773425824306,0.04779891016316281,0.5583398613483423,0.7187942925520355
p06_uppercut_right_main_028,0.2706601372809778,0.4188813609974337,0.22916023928704993,0.2560239477085947,0.1269429442583994,0.15076310268665294,0.05626224672739346,0.04816300711186093,0.047619941329318516,0.45190882455385284,0.5964952924279354
p06_uppercut_right_main_029,0.3572858335384228,0.46423858914019495,0.29588995082786174,0.3234380988437443,0.19163875045924594,0.18441729497181916,0.056686310558506564,0.05124851527307715,0.04788642346786915,0.5940708378146482,0.746186610747115
p06_uppercut_right_main_030,0.18165347887650554,0.26174181959558024,0.10238570657062522,0.11631711345877645,0.09342781619300784,0.07099450495265681,0.051422103252606,0.047764466541537064,0.04762036618576952,0.45703127513663216,0.08300006849637552
p06_uppercut_right_post_001,0.31880674493289324,0.4066077321555584,0.26538475559027247,0.31641208618658834,0.13822265319437244,0.1690237537063814,0.054450402604201524,0.04787253715832013,0.04777885859390591,0.5037068375481201,0.6876886402744125
p06_uppercut_right_post_002,0.21292829843593486,0.29723450789854955,0.12187755357936507,0.1319807017734436,0.0981281341613407,0.10886798888670168,0.05597450700920134,0.04813414014364127,0.047619050288778615,0.5031949276317522,0.14599129014675596
p06_uppercut_right_post_003,0.2892934057631152,0.41311176792414744,0.23925186550392724,0.2787683876560097,0.13946339242142583,0.1390225490447201,0.05318665509604083,0.04778014637296784,0.04762460746240552,0.44228144630704797,0.6487047924045357
p06_uppercut_right_post_004,0.1851773690291548,0.30167242889558754,0.11587476296263936,0.14755851307808546,0.09678702027785632,0.08741649147654931,0.053507504960654206,0.047788820075963426,0.047619167429469804,0.420578318761923,0.20758053668729276
p06_uppercut_right_post_005,0.364219843046504,0.4989381865232788,0.30729509327664223,0.34591464648338927,0.1424597095562477,0.21178725510789548,0.060744866309054325,0.05491725119935802,0.047769783921437284,0.5981618834505948,0.7661591247877033
p06_uppercut_right_post_006,0.27525762553680333,0.3365469405022916,0.1533436142160094,0.20005188637223434,0.13147575216328106,0.10588908942915332,0.052726224539007334,0.047737955661245286,0.047619840716658916,0.4827349485534347,0.3556545604439362
