jap,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,Overall,,
p21_jap_post_002,0.375416276,0.501072633,0.306400183,0.252671552,0.260754279,0.212382919,0.04764667,0.047899175,0.04762167,0.577197833,0.839413021,0.760748465,,
p21_jap_post_003,0.367272818,0.492015256,0.310993297,0.255296015,0.259909176,0.212722726,0.047668427,0.047955115,0.047619202,0.589330622,0.824125712,0.753687185,,
p21_jap_post_004,0.359779856,0.481752983,0.288902082,0.221020668,0.251487129,0.179707344,0.047632512,0.047745006,0.047619253,0.555521666,0.752861458,0.69365952,,
p21_jap_post_005,0.381443332,0.495005819,0.304748288,0.25384581,0.257763365,0.192222637,0.047635084,0.047754124,0.04761979,0.561784431,0.832976356,0.751618778,,
p21_jap_post_006,0.365358573,0.49564973,0.299679994,0.244928306,0.257223705,0.187878854,0.047637614,0.047691673,0.047620139,0.544686733,0.822617467,0.739238247,,
p21_jap_post_007,0.349199631,0.467401658,0.276707648,0.214155067,0.250225063,0.169626581,0.04764662,0.047685948,0.047619151,0.564231373,0.700986632,0.659960054,,
p21_jap_post_008,0.37869439,0.497435125,0.303948012,0.249644931,0.265171968,0.183591982,0.047636935,0.047787644,0.047619821,0.568868062,0.819445534,0.744272292,,
p21_jap_post_009,0.385467411,0.504592281,0.313691013,0.280240146,0.245897367,0.213115753,0.047643074,0.047853,0.047621646,0.560917781,0.883275038,0.786567861,,
p21_jap_post_010,0.373964147,0.501883697,0.310804626,0.264833141,0.252987806,0.197857299,0.047631882,0.04778272,0.047634667,0.557333495,0.85401769,0.765012432,,
p21_jap_pre_001,0.315472644,0.511137606,0.26242198,0.287964683,0.2908964,0.189900992,0.047627046,0.047749254,0.047622994,0.527824686,0.863216552,0.762598992,,
p21_jap_pre_002,0.298806859,0.509839571,0.279897467,0.28641278,0.199062349,0.152467052,0.047639073,0.047775261,0.047622743,0.503575465,0.771023561,0.690789132,,
p21_jap_pre_003,0.332168999,0.496901603,0.27291231,0.277333142,0.282376919,0.172444457,0.047626034,0.047753723,0.047642914,0.536445796,0.832103926,0.743406487,,
p21_jap_pre_004,0.324314944,0.510626278,0.276706223,0.273369478,0.282496492,0.160740919,0.047626893,0.047733643,0.047645498,0.525176236,0.833802728,0.741214781,,
p21_jap_pre_005,0.327385305,0.501132126,0.280361656,0.277948695,0.285800061,0.164557324,0.047627999,0.047759867,0.047624993,0.531109412,0.840188435,0.747464728,,
p21_jap_pre_006,0.318306208,0.501188513,0.28035121,0.276163033,0.283604495,0.162933442,0.047627536,0.047785515,0.047625403,0.525870195,0.835403471,0.742543488,,
p21_jap_pre_007,0.304601136,0.507266216,0.277328527,0.26776194,0.283761387,0.170020258,0.047633684,0.047766793,0.047648512,0.532760283,0.821369405,0.734786669,,
p21_jap_pre_008,0.302757066,0.510074406,0.290370816,0.285869325,0.289390177,0.16845523,0.04762561,0.0477617,0.047620774,0.543600887,0.844896079,0.754507521,,
p21_jap_pre_009,0.294830553,0.502508394,0.291384754,0.278149964,0.291569958,0.166177337,0.047634695,0.047786661,0.047619598,0.536662434,0.837235326,0.747063458,,
p21_jap_pre_010,0.288438363,0.50870711,0.293842104,0.281265856,0.294422878,0.179009788,0.047625645,0.047778982,0.047620018,0.543894936,0.850582384,0.75857615,,
AVG,0.348368073,0.490762621,0.287223839,0.250827994,0.261813222,0.179438076,0.047658486,0.047880612,0.047622507,0.552633774,0.793599559,0.721309824,,
