Hook,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation
p04_hook_right_main_012,0.10729129914427678,0.3385439756791583,0.15959820242232264,0.2576363635099795,0.10891723492068268,0.15517712940738154,0.05782816183656895,0.04838655487637127,0.04761904883767657,0.4359793545398548,0.3932306092584617
p04_hook_right_main_013,0.14287858192467304,0.40200634512701006,0.22708708423229088,0.24382382087480484,0.1194355251766345,0.19585536408866128,0.05904943990256061,0.052482933666815744,0.047619664725575696,0.46272079153090323,0.5170268375665952
p04_hook_right_main_014,0.1297076164340448,0.342398746432962,0.168280453004138,0.227368027142327,0.11458369093773173,0.19388736496879636,0.05861602476741301,0.048195592880501854,0.04761906883586333,0.4044203564087586,0.46026976673747544
p04_hook_right_main_015,0.1521401621144477,0.36185085879072876,0.21941350075620947,0.25451711102883845,0.10817545326467268,0.18694160883245617,0.05583496842801606,0.048075832275671436,0.04761913293668836,0.4766708602008132,0.47833075698211486
p04_hook_right_main_016,0.12423003250261659,0.29822070440861725,0.16672665606753945,0.1973311769863956,0.08548047790547304,0.13846230244877442,0.05664863585100882,0.04803703706511505,0.04761922198764533,0.4190087088640042,0.3087436488947454
p04_hook_right_main_017,0.10394839868099051,0.3121414159594492,0.15911314273341803,0.1827351232571828,0.08044302033173706,0.13231805582175857,0.055974410760718504,0.0483137908045653,0.047619052482204584,0.43866022233516305,0.25254771511082774
p04_hook_right_main_018,0.15126702045240403,0.35638141658470157,0.1676299299154222,0.22532191543414407,0.11188353218074117,0.1816272717782685,0.0602888952005472,0.04845290921921238,0.04761905315805465,0.386182733434303,0.478754359344684
p04_hook_right_main_019,0.15972846924564055,0.32324944387655646,0.16565236655121018,0.24392295664751296,0.10494151349858169,0.16284063751300878,0.05365198960842664,0.04804875169715265,0.0476192553532376,0.39899477801312844,0.45047019199763433
p04_hook_right_main_020,0.08459538705485548,0.2744747849031307,0.13536167944428618,0.150296239955671,0.07798359736956742,0.08868235062272745,0.0588742701713819,0.048394878964053915,0.047619049306466155,0.43864361290500187,0.11936783116238493
p04_hook_right_main_021,0.13143728613090772,0.3463120259757094,0.1842527346376021,0.20366997161029365,0.10023961492233655,0.18029946266771196,0.05640622379580691,0.048610659354304586,0.04761905081325174,0.42288626264591533,0.4112079298451715
p04_hook_right_main_022,0.13864522249396863,0.33622179630772153,0.2098307377760642,0.21179550100964137,0.1216256177591725,0.19389261404513217,0.059677049046050104,0.04798009043662236,0.04761993075340246,0.4300102833311981,0.46934285758663
p04_hook_right_main_023,0.15163024527270524,0.34422094195416675,0.174795028560116,0.20454585161638944,0.12760163478776615,0.1873275051510523,0.060493546110226185,0.048188992093160535,0.04761909691144422,0.3972718794848909,0.4682909117224701
p04_hook_right_main_024,0.16460365081642872,0.34479829021157027,0.206028972222708,0.22931745674164578,0.12816932508050782,0.2140475086027827,0.0589578396468963,0.048020440871630696,0.0476191259535748,0.45456880726977617,0.5028750607981574
p04_hook_right_main_025,0.20795203632845402,0.42070025309438996,0.29533387740728084,0.25920965199793,0.14695907013223633,0.248803084123601,0.05896200128950289,0.04886713584943527,0.04763160762513162,0.5107281169061004,0.6793715325781251
p04_hook_right_main_026,0.18924535747361604,0.3762668253283506,0.2298321524978589,0.2522389899663107,0.1399699216098167,0.21557049513167753,0.058013287143137394,0.04819435040912179,0.047619275126820036,0.41317775967267095,0.6355318814363922
p04_hook_right_main_027,0.16959822718374878,0.36405365819787716,0.18552272728141744,0.2216905474241342,0.12446781860247402,0.20213144769533611,0.05831849585930785,0.04838894471673191,0.04761906161993347,0.40836005768414285,0.5193571553578086
p04_hook_right_main_028,0.2325540940042699,0.44863942829009884,0.26603033690510375,0.2447167966903089,0.1513605518249626,0.22417683040188957,0.05852319449719835,0.04876500664915992,0.04763121981874535,0.4451738140082811,0.7123371263019846
p04_hook_right_main_029,0.185002280346217,0.38291839443473397,0.21053149020131853,0.26574294287102357,0.1386579038715083,0.2024104690086813,0.06196807062818453,0.04867355251426925,0.047619084658256663,0.44538670118320517,0.5823111403624719
p04_hook_right_main_030,0.14644125369602795,0.32981318738199417,0.12418137234514415,0.2344972460598315,0.10109234987218536,0.1565809201382159,0.056380205880895866,0.048123925329619406,0.047619147496021065,0.4082885741973197,0.3766932271887975
p04_hook_right_post_001,0.16031521414721603,0.2975277086221538,0.16377827875897621,0.21830469371989514,0.08965644215158955,0.12535093789467905,0.05617542181947646,0.04828191548258672,0.04761916616973585,0.44695912600344834,0.3062961306606745
p04_hook_right_post_002,0.17528333052464362,0.3389276164738961,0.19918448086214197,0.22986594387238712,0.10324507910363548,0.15444677672891963,0.06062377651820291,0.04837406408490474,0.04761905322614803,0.4644527728283537,0.4009127599566841
p04_hook_right_post_003,0.1370128061021444,0.2957222282154758,0.14396028532727656,0.20371939511797624,0.09662178247630118,0.14519154063416573,0.0572102954518286,0.04805265831202992,0.047619109354220666,0.37263890858235627,0.35967538888569345
p04_hook_right_post_004,0.13697623104699677,0.31504126442599745,0.1572917232194451,0.1908712771559767,0.10649360403550938,0.13391951652262316,0.055530889569024744,0.0484989371647261,0.047619052485321646,0.40673374711400045,0.334825981323665
p04_hook_right_post_005,0.11294761832084292,0.29653485534142743,0.1821431829387753,0.22169642890813884,0.09225149390027827,0.19945613323679104,0.05711206684728023,0.04797157268613038,0.04762016085618329,0.43130354731231185,0.39143606389259444
p04_hook_right_post_006,0.11913762466378877,0.37247105773057587,0.22734924586554633,0.22470786114019942,0.1032798479066908,0.18227404034251835,0.05970577696627475,0.04960043628367215,0.047619094666824444,0.5504680874634273,0.35711044965748345
p04_hook_right_post_007,0.15127614971658776,0.3408619424675917,0.19240505388166368,0.2591069236327469,0.13645553972678903,0.20086362244542313,0.056949083642380854,0.04836363985561287,0.04761909505415973,0.4616669830341249,0.5008472403304333
p04_hook_right_post_008,0.15723343447048516,0.3575031828996059,0.18896005071889616,0.2615434270909566,0.13812844093401302,0.19506141139109853,0.062008143703275564,0.0486342342781086,0.04761906930840541,0.4452671470035778,0.5212173941016618
p04_hook_right_post_009,0.06746881365399986,0.2746807808803857,0.12231207896197407,0.09681537989709217,0.06686262902433511,0.0865782243718998,0.06196257329909273,0.04837220946688806,0.04761904770489121,0.4332151461486783,0.036927431301218706
p04_hook_right_post_010,0.179752872222753,0.4270054974696329,0.26956893001174204,0.2868276355249501,0.13315160793035757,0.2197090390855812,0.06074406059187198,0.04967927598811782,0.04762716606563971,0.541152870394373,0.5989494255153457
p04_hook_right_pre_001,0.13633924619666593,0.3510003405380546,0.17212707124915672,0.23973815190370482,0.10888595714635141,0.1446301708731796,0.055015066402247216,0.047999179208256686,0.047619920208093,0.5044408266267197,0.3378934804670862
p04_hook_right_pre_002,0.16907852871563556,0.38720216480152264,0.22415583897171057,0.247512646156409,0.11688724454687285,0.18515218880295148,0.057573619554751536,0.053492588585679166,0.04761974185304913,0.5209567893455478,0.4546720354549858
p04_hook_right_pre_003,0.1366003685994649,0.31187957185526355,0.15863313212574784,0.19795525431959382,0.08117056023446945,0.1367347470011795,0.05645978030778663,0.04795078427391543,0.047619185901985606,0.3594510802925745,0.36653648578404985
p04_hook_right_pre_004,0.16447765834922579,0.41053726076849256,0.22505540068754287,0.2451863667964275,0.11994163752813489,0.21002050164026595,0.060642859915610865,0.054592289488759396,0.04761944150274016,0.5005340715647518,0.5059957141323412
p04_hook_right_pre_005,0.12786112555681223,0.3615613327009556,0.15232557054364687,0.2176656768287102,0.09160457857014051,0.17029650236194,0.055015323035759435,0.04777523088474737,0.047619631161145946,0.41073448268102447,0.4012791106894771
p04_hook_right_pre_006,0.1269748086106857,0.3466114491465321,0.1842896005434148,0.23046134172481994,0.09561894561220896,0.14706470240700123,0.05742748636965854,0.048510713124023525,0.04761905458976453,0.4202465921689645,0.399065105748726
p04_hook_right_pre_007,0.10553826410023706,0.32941839308426707,0.17169385401408993,0.24108930600305625,0.1060351120258242,0.16387974841725764,0.055916519573725995,0.0484708601879151,0.04761905123270035,0.4041120363445823,0.42112043134835614
p04_hook_right_pre_008,0.10438459107078549,0.3096926749567571,0.14838937818700101,0.2428016730354529,0.07911727330141148,0.16205081193674414,0.05867087748589085,0.047972826801516426,0.04761934822927708,0.32413972811741065,0.4365715661574056
p04_hook_right_pre_009,0.127544643958915,0.3208103569933035,0.16846903943388739,0.27517106136078817,0.10930514642295744,0.17531743961007354,0.057578676501838795,0.048002159290078096,0.04761934987103899,0.3903237432969723,0.48690182637970925
p04_hook_right_pre_010,0.12589771931476715,0.3465155864151913,0.18596499497536226,0.24905249196733123,0.11628572495272874,0.18167748326647015,0.06023164916521078,0.048657430662938206,0.04761905240913602,0.3989233460329309,0.4912696340887419
AVG,0.14040563455107344,0.34817215562414616,0.18923955703078987,0.22970688384890395,0.1094281255956397,0.17530059541863963,0.058284793568433,0.04888362180953999,0.04762008163068114,0.4427285744695769,0.4309205440733427
