hook_left,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,Overall
p17_hook_left_main_011,0.30102915341034747,0.46230092457896815,0.2957620344508591,0.2484204029821892,0.20235723249383736,0.16687775024825738,0.07344257178331907,0.07153467446336795,0.047695073510272724,0.44952284673860043,0.7435394084095607,0.6553344399082726
p17_hook_left_main_012,0.2852009386891264,0.4817145969121247,0.29729766172242567,0.27242763460536734,0.19938403177715017,0.1699281756885032,0.07215947510873212,0.07417170297870085,0.047690776110224174,0.45571564486560207,0.7641339252824793,0.6716084411574161
p17_hook_left_main_013,0.29910203475346747,0.47599405086366886,0.2921162360701354,0.24430139250503613,0.19811384661057854,0.15950334110811734,0.0729456987921339,0.07139646627312045,0.04766952684978195,0.46231435486339273,0.7185604607414066,0.6416866289780023
p17_hook_left_main_014,0.30305155400850337,0.48443117101239697,0.2888197744586403,0.2564074307711681,0.2004263804842661,0.16063422017519147,0.07303378288972204,0.0731070340338657,0.04772734014159267,0.4555422040458098,0.7413924651924662,0.6556373868484692
p17_hook_left_main_015,0.3117366238949904,0.4880086550987198,0.2894011298382976,0.2637428874265358,0.19986317111278545,0.1675885804730291,0.07268499128843621,0.07563482234092068,0.04779051837025944,0.44977735607995034,0.765880786346587,0.671049757266596
p17_hook_left_main_016,0.30071661204424915,0.46605743715303943,0.3011574887341123,0.23156389585234766,0.20691184862900727,0.15730508293066814,0.07288741425092045,0.07129958681264145,0.04795599431603313,0.42723052410506257,0.7520533238413476,0.6546064839204621
p17_hook_left_main_017,0.2820501568835362,0.4486563841037293,0.2918599933210171,0.24503956771781424,0.1925369672419551,0.1701444284669133,0.0720153122429154,0.07040153130930477,0.04764947318688631,0.44793309953607735,0.717228638939347,0.636439977118366
p17_hook_left_main_018,0.28592364648510127,0.4721719390559739,0.28813394178389345,0.21372897120353934,0.1756604524101249,0.16230581443923311,0.07070240106789011,0.06893180647927108,0.0476313352138051,0.40369631692700053,0.7187279350268175,0.6242184495968724
p17_hook_left_main_019,0.276592976800189,0.4506586397801328,0.29810152021093306,0.26164581951909216,0.20041155433566393,0.16197685216113472,0.0723877376861956,0.07239577295892625,0.04766934791192511,0.41766593723898016,0.7666413001104884,0.6619486912490359
p17_hook_left_main_020,0.29371162131369716,0.47361698858610135,0.29932081220353923,0.28134774470361557,0.20640362459758763,0.17060727391437974,0.07261215858355292,0.07230708080085561,0.04776171032725766,0.4557321463759546,0.7846814754589323,0.685996676734039
p17_hook_left_main_021,0.28406098569588606,0.4635411385804657,0.3024047795942484,0.26656704493861716,0.2045977428517564,0.16435252825158866,0.0727703640356761,0.07198220411928549,0.047734423998346195,0.44086447223466685,0.7696391204771583,0.6710067260044108
