hook_right,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,Overall,,
p04_hook_right_main_022,0.138645222,0.336221796,0.209830738,0.211795501,0.121625618,0.193892614,0.059677049,0.04798009,0.047619931,0.430010283,0.469342858,0.210926042,,
p04_hook_right_main_023,0.151630245,0.344220942,0.174795029,0.204545852,0.127601635,0.187327505,0.060493546,0.048188992,0.047619097,0.397271879,0.468290912,0.204372885,,
p04_hook_right_main_024,0.164603651,0.34479829,0.206028972,0.229317457,0.128169325,0.214047509,0.05895784,0.048020441,0.047619126,0.454568807,0.502875061,0.222408255,,
p04_hook_right_main_025,0.207952036,0.420700253,0.295333877,0.259209652,0.14695907,0.248803084,0.058962001,0.048867136,0.047631608,0.510728117,0.679371533,0.269112079,,
p04_hook_right_main_026,0.189245357,0.376266825,0.229832152,0.25223899,0.139969922,0.215570495,0.058013287,0.04819435,0.047619275,0.41317776,0.635531881,0.240507311,,
p04_hook_right_main_027,0.169598227,0.364053658,0.185522727,0.221690547,0.124467819,0.202131448,0.058318496,0.048388945,0.047619062,0.408360058,0.519357155,0.216408743,,
p04_hook_right_main_028,0.232554094,0.448639428,0.266030337,0.244716797,0.151360552,0.22417683,0.058523194,0.048765007,0.04763122,0.445173814,0.712337126,0.262486072,,
p04_hook_right_main_029,0.18500228,0.382918394,0.21053149,0.265742943,0.138657904,0.202410469,0.061968071,0.048673553,0.047619085,0.445386701,0.58231114,0.23719171,,
p04_hook_right_main_030,0.146441254,0.329813187,0.124181372,0.234497246,0.10109235,0.15658092,0.056380206,0.048123925,0.047619147,0.408288574,0.376693227,0.187421016,,
p04_hook_right_post_001,0.160315214,0.297527709,0.163778279,0.218304694,0.089656442,0.125350938,0.056175422,0.048281915,0.047619166,0.446959126,0.306296131,0.181066352,,
p04_hook_right_post_002,0.175283331,0.338927616,0.199184481,0.229865944,0.103245079,0.154446777,0.060623777,0.048374064,0.047619053,0.464452773,0.40091276,0.204396485,,
p04_hook_right_post_003,0.137012806,0.295722228,0.143960285,0.203719395,0.096621782,0.145191541,0.057210295,0.048052658,0.047619109,0.372638909,0.359675389,0.177039272,,
p04_hook_right_post_004,0.136976231,0.315041264,0.157291723,0.190871277,0.106493604,0.133919517,0.05553089,0.048498937,0.047619052,0.406733747,0.334825981,0.178641722,,
p04_hook_right_post_005,0.112947618,0.296534855,0.182143183,0.221696429,0.092251494,0.199456133,0.057112067,0.047971573,0.047620161,0.431303547,0.391436064,0.195088682,,
p04_hook_right_post_006,0.119137625,0.372471058,0.227349246,0.224707861,0.103279848,0.18227404,0.059705777,0.049600436,0.047619095,0.550468087,0.35711045,0.212900769,,
p04_hook_right_post_007,0.15127615,0.340861942,0.192405054,0.259106924,0.13645554,0.200863622,0.056949084,0.04836364,0.047619095,0.461666983,0.50084724,0.223089208,,
p04_hook_right_post_008,0.157233434,0.357503183,0.188960051,0.261543427,0.138128441,0.195061411,0.062008144,0.048634234,0.047619069,0.445267147,0.521217394,0.224949198,,
p04_hook_right_post_009,0.067468814,0.274680781,0.122312079,0.09681538,0.066862629,0.086578224,0.061962573,0.048372209,0.047619048,0.433215146,0.036927431,0.125619282,,
p04_hook_right_post_010,0.179752872,0.427005497,0.26956893,0.286827636,0.133151608,0.219709039,0.060744061,0.049679276,0.047627166,0.54115287,0.598949426,0.25963056,,
p04_hook_right_pre_001,0.136339246,0.351000341,0.172127071,0.239738152,0.108885957,0.144630171,0.055015066,0.047999179,0.04761992,0.504440827,0.33789348,0.198593695,,
p04_hook_right_pre_002,0.169078529,0.387202165,0.224155839,0.247512646,0.116887245,0.185152189,0.05757362,0.053492589,0.047619742,0.520956789,0.454672035,0.226862955,,
p04_hook_right_pre_003,0.136600369,0.311879572,0.158633132,0.197955254,0.08117056,0.136734747,0.05645978,0.047950784,0.047619186,0.35945108,0.366536486,0.175603463,,
p04_hook_right_pre_004,0.164477658,0.410537261,0.225055401,0.245186367,0.119941638,0.210020502,0.06064286,0.054592289,0.047619442,0.500534072,0.505995714,0.233876875,,
p04_hook_right_pre_005,0.127861126,0.361561333,0.152325571,0.217665677,0.091604579,0.170296502,0.055015323,0.047775231,0.047619631,0.410734483,0.401279111,0.192484756,,
p04_hook_right_pre_006,0.126974809,0.346611449,0.184289601,0.230461342,0.095618946,0.147064702,0.057427486,0.048510713,0.047619055,0.420246592,0.399065106,0.19457379,,
p04_hook_right_pre_007,0.105538264,0.329418393,0.171693854,0.241089306,0.106035112,0.163879748,0.05591652,0.04847086,0.047619051,0.404112036,0.421120431,0.19544778,,
p04_hook_right_pre_008,0.104384591,0.309692675,0.148389378,0.242801673,0.079117273,0.162050812,0.058670877,0.047972827,0.047619348,0.324139728,0.436571566,0.182994869,,
p04_hook_right_pre_009,0.127544644,0.320810357,0.168469039,0.275171061,0.109305146,0.17531744,0.057578677,0.048002159,0.04761935,0.390323743,0.486901826,0.206085151,,
p04_hook_right_pre_010,0.125897719,0.346515586,0.185964995,0.249052492,0.116285725,0.181677483,0.060231649,0.048657431,0.047619052,0.398923346,0.491269634,0.209340222,,
AVG,0.140405635,0.348172156,0.189239557,0.229706884,0.109428126,0.175300595,0.058284794,0.048883622,0.047620082,0.442728574,0.430920544,0.205687523,,
