hook_right|p11_Global,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,Overall
p11_hook_right_main_013,0.32110485231043195,0.41510806839295117,0.24597996920474471,0.3412724918535436,0.2047240695490053,0.2940198282230549,0.05271852594047584,0.0493572986168184,0.047772966431349984,0.6590019186074644,0.7372984556282512,0.25369258105491954
p11_hook_right_main_014,0.25605932690413946,0.28591924813816716,0.1960483862264008,0.27668870127645817,0.07438041045792294,0.22197081409445146,0.05281485725621858,0.047899860802880265,0.04761926167111572,0.4525112545271878,0.5229427047363625,0.18440865752876223
p11_hook_right_main_015,0.3286143165031005,0.41298199568098753,0.24223497704109204,0.3492732979485848,0.20928256405746773,0.3149947937898078,0.05110118043265504,0.049147255423654265,0.04785078205436043,0.6767394602147032,0.7535095108966575,0.2589959653570042
p11_hook_right_main_016,0.24411784958917612,0.2879758633547587,0.15212057149295916,0.25521200273073524,0.08612846792387104,0.2304424340529859,0.05148729835296752,0.04797655713021677,0.047619180240595714,0.4211164282833602,0.5073962315754331,0.1735267612555148
p11_hook_right_main_017,0.22618597589517808,0.2766530380151205,0.1851472433096105,0.23657384590248015,0.0738087959344875,0.18320327750220353,0.053078183862584755,0.04793149063608431,0.04761917012726661,0.4059963152351811,0.45821638063038417,0.16900199657795004
p11_hook_right_main_018,0.3322465297267366,0.4222412654134208,0.2661981615790025,0.3648948583427473,0.13225160721105164,0.31872259490121957,0.05157388321109782,0.04895690554786855,0.04772729283803228,0.6173023390931179,0.785496304551881,0.23927770928402808
p11_hook_right_main_019,0.25019142318624166,0.30576170744946857,0.19678327031836418,0.2891295578520065,0.08374937967232,0.21808857455254121,0.05245427760314302,0.04778156790104743,0.0476194886355239,0.46195758810730914,0.5388648879138204,0.18739781120383317
p11_hook_right_main_020,0.23909563236879827,0.2816479268495136,0.18473910467961,0.27181510919903584,0.07149492605468977,0.22069306818321813,0.050481135712953845,0.04786912005036137,0.04761921252883566,0.4571983947547566,0.4875236859522551,0.1851828835060239
p11_hook_right_main_021,0.24723835073201697,0.29496262493808123,0.18184372300341284,0.23829909720447814,0.08269990886692347,0.21951646666865976,0.05167243095253822,0.04803044921581937,0.04761914274413661,0.4707331606700606,0.4606386601270881,0.19014534694613938
p11_hook_right_main_022,0.3320833059082304,0.4302157170325138,0.21969911240591355,0.3637113156581867,0.2085541322457997,0.31754075835916573,0.05114209743767789,0.04928984466517757,0.047892438743657006,0.6764069231383205,0.7590554607501333,0.2589462884137253
p11_hook_right_main_023,0.333727071332009,0.46323615592527406,0.24807715416117238,0.36472299501797634,0.20327825603501073,0.30565218249993376,0.05295578126720802,0.05049868985592983,0.04776714529997219,0.6778146072966851,0.7828613822432767,0.26042302613994095
p11_hook_right_main_024,0.24514862841451296,0.30030954784297215,0.15330623297817134,0.24467147291379526,0.08910271254359309,0.20257688213171718,0.055201395129440334,0.048003781669651795,0.04761922953454117,0.3928099320821249,0.5053199746945349,0.16533836962707232
p11_hook_right_main_025,0.21104385844206258,0.28454131894210655,0.19249535920648025,0.2700569278607821,0.09694170182344539,0.21084922893071406,0.05296785138153309,0.0478695604726196,0.04761937735188921,0.486505157799367,0.4639595011096868,0.19578085655117322
p11_hook_right_main_026,0.31645634020926583,0.43028646880414695,0.23270934996647769,0.33172650785887464,0.19679375688638262,0.3108788720985073,0.052368121146669146,0.04889150819988768,0.04769738907170633,0.6576672583078701,0.7327237587071407,0.2529756292181423
p11_hook_right_main_027,0.23649651847383155,0.30942784955348357,0.18643638431451398,0.2571542371506381,0.0812580906543028,0.1840326388060244,0.05346992476990682,0.047965546981871346,0.04761923856848255,0.4524986843370672,0.46388184981969566,0.1846447186962818
p11_hook_right_main_028,0.29440000473608136,0.43393757338786776,0.20239066146407914,0.32509465607926336,0.2036203429228396,0.2919994787237879,0.053258198170526495,0.048802332378824635,0.04768634923521361,0.6677674904446755,0.6648078157178763,0.2566093403313422
p11_hook_right_main_029,0.2534886954094996,0.3176813899150525,0.18803754726764293,0.2696230904293631,0.08125880911373062,0.20200072326071267,0.05393902537341497,0.04786444863973708,0.047619517376252786,0.4245757538792345,0.5396226155533302,0.1754597426307955
p11_hook_right_main_030,0.21728368800791018,0.3039883666152873,0.1922702863484918,0.2754432480094152,0.09119245145912482,0.20988495755966968,0.05410986832843835,0.047797635225001786,0.04761955532294419,0.46391573266103636,0.49747004320745963,0.18860774540482547
p11_hook_right_post_001,0.22514174574644316,0.2877390695137739,0.17220223555120812,0.25462012690096014,0.10587681894221912,0.2120639392034353,0.05217754004261862,0.047798268526970465,0.047619406193179954,0.5162001431294596,0.4200999930388834,0.20539198389968288
p11_hook_right_post_002,0.31179765556663364,0.4602837971562438,0.2557985103903729,0.3369607269043442,0.20798709697441903,0.2783944201333394,0.05381570233631058,0.04813512212725578,0.04782130639844416,0.6310999413467412,0.7766440752512344,0.2443502552701025
p11_hook_right_post_003,0.1829959511644994,0.29922792502937506,0.16557514110526736,0.2733644818879889,0.10322305798956644,0.1890969919039823,0.05204577590018463,0.04781401250712917,0.047619444264386725,0.4333161083262832,0.47087507851818156,0.17772529891119898
p11_hook_right_post_004,0.22724998159307255,0.30379968174446614,0.18852374949412826,0.260166030045477,0.07694289056425914,0.19618649946905603,0.05417422375780643,0.04792962259703073,0.04761929796491352,0.42586215240832015,0.4944741272687941,0.17598866625438575
p11_hook_right_post_005,0.29827008220644047,0.43487483692753753,0.22717193227529778,0.32265101172230315,0.2071362704946426,0.2844725534728571,0.05469629347978597,0.05026910764990437,0.04773942969468062,0.6283994681854115,0.720737645988758,0.24445495643836726
p11_hook_right_post_006,0.21738571935840323,0.3272813085888469,0.1776696786257099,0.2683773294543957,0.12660206236861132,0.20713629045944998,0.05276379291087045,0.0478117841850472,0.04761923340013861,0.45141975635524095,0.5251302811150363,0.18399844448371952
p11_hook_right_post_007,0.3038995504746205,0.4457960462663723,0.23200618007911963,0.3410441936516949,0.20210786284462579,0.3108172027647972,0.052382118846342085,0.050028156414178945,0.04781858690750301,0.6377619250905038,0.7660218513067941,0.24672406678367492
p11_hook_right_post_008,0.23400420156041618,0.31059274215655747,0.15003445067252325,0.240928852718981,0.08109375718363447,0.1839356757539064,0.05359752845076201,0.047995289370125906,0.04761918174425809,0.43242767931366205,0.42853112598551923,0.17800683237818332
p11_hook_right_post_009,0.2801365109466142,0.4259593539280182,0.22984528511148442,0.32810685992548183,0.21117264435116892,0.25464312789560334,0.05510509489794712,0.04931046962046448,0.04765328099046353,0.6531888714765942,0.6658421222845397,0.2525348119983353
p11_hook_right_post_010,0.28377244689015535,0.44305604086769196,0.2275920596733152,0.3229269006855556,0.20819270266681494,0.28084299814518454,0.053325062750158365,0.04876213795136491,0.04768751039181026,0.6341352407553105,0.711632982905663,0.24540748048561123
p11_hook_right_pre_001,0.3534249624619664,0.43619623760325305,0.24040317382778192,0.36325945636366114,0.20656775449766665,0.30298461498943574,0.05529001870122368,0.04998371745171352,0.048341800756841365,0.6641088597675247,0.7803291276741727,0.2564608653068206
p11_hook_right_pre_002,0.30418497919176557,0.4184396268699705,0.1906339862119372,0.30883506239978153,0.18903330149865635,0.2712331990904457,0.054708953584747144,0.04932699241691851,0.04765431761431618,0.662608221808924,0.598528888987699,0.2555480559368632
p11_hook_right_pre_003,0.32096548464964414,0.43697732063902056,0.20715539549871131,0.3367474235637776,0.19033211677517775,0.2888516266010025,0.05566941578620745,0.049002464507661984,0.04768873547304997,0.6627858465782366,0.6785884801501281,0.25581924229070196
p11_hook_right_pre_004,0.30440778659725776,0.4205324939563305,0.22203347843355833,0.3271658299141561,0.19562716790732898,0.2714098216186822,0.05515220579405118,0.049612131830047326,0.04768946357392133,0.6525456823642888,0.6658393719692937,0.2524366733294624
p11_hook_right_pre_005,0.29686587327166114,0.4337788252411171,0.2161806082855649,0.32303610194173005,0.20112931253594066,0.28929906191900734,0.055786956468703165,0.05003990943190932,0.047826421659791216,0.6493534323621626,0.6823179454441289,0.2517267660875917
p11_hook_right_pre_006,0.29751967824935177,0.4510036434798385,0.22813587836438476,0.33265353317929336,0.20919697283809527,0.2822389072619551,0.05608484980741359,0.049688376474618705,0.04778075505043781,0.6607792316940486,0.7047656144337451,0.25551748599202695
p11_hook_right_pre_007,0.29179088489301835,0.4349889229984901,0.21059086709294644,0.33388790874991164,0.20876488161501902,0.2789783037652852,0.054838150115631215,0.04979011630850765,0.04777406892692567,0.6409778736575971,0.6943106605387179,0.2485353800272453
p11_hook_right_pre_008,0.2422608170002635,0.3057899740726047,0.18642269711400766,0.2798267383212113,0.08282366854039638,0.20953385366523572,0.05374754827724864,0.04790099739776066,0.04761930356886853,0.4834359154819404,0.48217320053578366,0.19502815371898322
p11_hook_right_pre_009,0.29656852961475194,0.43635708780850563,0.21124582099634653,0.33251392171237526,0.21193776312702953,0.29050222939334,0.056541891397440924,0.049755721513956075,0.047805850536816935,0.6441426794150331,0.7082216081581184,0.25014676410881004
p11_hook_right_pre_010,0.30777543286814857,0.4359933913883342,0.22017802027035244,0.3359430964091439,0.22215550423381608,0.2776581355732727,0.054259917515050785,0.04923271592519648,0.0477660266259341,0.6493562888567905,0.7190903501948466,0.25094964076567927
AVG,0.27623056158536985,0.36717880357617166,0.205158816400715,0.3018293832947553,0.14513804403642105,0.2526484363617091,0.053226035705632106,0.0486740651271226,0.04770367463254035,0.5570058799678508,0.6079406762695915,0.21963532693353519
