uppercut_right|p02_Global|uppercut_right_004,LShoulder,LUArm,LFArm,LHand,RShoulder,RUArm,RFArm,RHand,LThigh,LShin,LFoot,LToe,RThigh,RShin,RFoot,RToe,Hip,Ab,Chest,Neck,Head,Acceleration,Velocity,Position,Joint Angle,rotation,Overall
p02_uppercut_right_main_011,0.24136611559542728,0.1072314861202545,0.13964241992773566,0.06357550678958682,0.246870425807531,0.15231529156027984,0.2783926142493801,0.13244962116546358,0.1568314421676674,0.2958307677903019,0.3470897569602661,0.16719749502613543,0.15557433732863352,0.263843752450544,0.27713476877069065,0.10177716615055624,0.8955672935203068,0.3075004436626373,0.31357534167490825,0.20697584709530448,0.1725704721932188,0.051004716237528655,0.0493303354230135,0.047754095967774655,0.5927539099516067,0.689860602797757,0.3688073493827658
p02_uppercut_right_main_012,0.24069221745910144,0.13320249802973122,0.1659896259717356,0.08239867273190743,0.2589642271109668,0.15958226229168185,0.24968556742996206,0.1197778773499208,0.16139263613904659,0.2767209397746274,0.3468460733216189,0.1712844663273338,0.15527238136120208,0.2121908018427928,0.25915890227898536,0.09694151601962442,0.8873408116726621,0.30175593719784055,0.3036631258396003,0.21563253511388364,0.1849600008445058,0.05168341359104946,0.0486908220671716,0.047696433718670675,0.5297521348212684,0.7149009846778426,0.38129870919825665
p02_uppercut_right_main_013,0.21735455474036053,0.07725864312195505,0.10079516161341011,0.03567122709433381,0.2114210645225895,0.11001660924750611,0.19750710214889408,0.08787054411142768,0.11680480515060858,0.2433671221901728,0.31886584200633344,0.14354107027279056,0.11485303972880936,0.18958428200027916,0.24555255596959497,0.06630583620379629,0.8561730517749471,0.2733230739458047,0.2776379179896941,0.16857179403884923,0.13696825869509177,0.05028543685551227,0.048280946696575934,0.04763066297222335,0.5465956553795414,0.515606934303975,0.28161879863809913
p02_uppercut_right_main_014,0.21233825974135906,0.06724679765299214,0.10341915493208753,0.04101351000586005,0.21761861387840123,0.10469086890263939,0.2336851066473586,0.09060191480452491,0.13199316098420494,0.24431865358411872,0.33444839087776657,0.16501386508547822,0.12535521961252966,0.27729031781081803,0.2621656631869459,0.07520672897652345,0.8703494726459692,0.2751617001939193,0.27840277834711635,0.17614096960157,0.15210681445356727,0.04963638900934251,0.0481767316751744,0.04763417921081435,0.6125053397362497,0.539965869711845,0.2938000244613297
p02_uppercut_right_main_015,0.1306932622621578,0.015565351238371878,0.060140864661372084,0.007788525884257715,0.12738445262690667,0.03221400837704104,0.194614610429284,0.031323768978253994,0.03370512311786905,0.17911030752323265,0.21650838899990799,0.06714339387408617,0.029615544488632888,0.1923359716144673,0.18447844047774342,0.012831487664970392,0.7595552979458178,0.17171277542715604,0.17295148990122805,0.08401998713066176,0.07526798409540572,0.04975754296904104,0.04774799277401794,0.04762131767707446,0.607852628429663,0.1533437527519413,0.10048253521450787
p02_uppercut_right_main_016,0.16856829508764232,0.03513350326220381,0.07986991032631893,0.01489281577777,0.17001267240603757,0.06942407408720484,0.22165737985684625,0.06334855521809958,0.07426058864720715,0.21608415585037336,0.2688372361476164,0.11845917263294078,0.06766249821897678,0.21081415900305817,0.1922859718994348,0.025361341029340383,0.8069135030451025,0.22172136273403265,0.22241041268679065,0.12439863688617618,0.10591513663784888,0.049964851201897476,0.047808973975228174,0.04762279862716369,0.6022442490086874,0.3197605699343438,0.18369168428075375
p02_uppercut_right_main_017,0.13928424373688938,0.02272776009914112,0.06454516976199447,0.011285161290711346,0.14977960503787344,0.044644692006408596,0.20095248980298624,0.045001299733594645,0.05807540024010558,0.20550862994486,0.24737099395088952,0.10390828030675234,0.052804978211500805,0.1674877608325263,0.17372782410605903,0.020124797115929915,0.7898753174141661,0.20181990749401865,0.20088671755955292,0.10992240301354954,0.09687601308162823,0.04945938139146445,0.04773301806256121,0.047621464530368564,0.574378734908888,0.24332719316411242,0.14547432884724049
p02_uppercut_right_main_018,0.18348063292990985,0.03623368138773207,0.07618743221990679,0.01474074972602506,0.1395494168167129,0.054599099260607874,0.20519795979380748,0.03897460064016508,0.056720217999391,0.20318736705665125,0.25735244372510546,0.08435816860069044,0.05199213642050413,0.1787937130398009,0.1470253288942254,0.020504161649159216,0.7471540589573524,0.1680261396387756,0.16965125331030223,0.12132013036592455,0.10562244573554831,0.05019312564000809,0.04773420222520551,0.047621871151626305,0.5616245661086492,0.26058309370431604,0.15410248242797117
p02_uppercut_right_main_019,0.16925242250489747,0.02716200429810379,0.06838702411301563,0.01096677485681637,0.14619993467572195,0.05427056914014124,0.21227001867811582,0.0441763154610892,0.05508068411363465,0.20760065246865128,0.25289727327896083,0.08120590744701016,0.05099555809751209,0.20333183621307338,0.16915148018739795,0.018720979000334967,0.7866476477804796,0.2037380639648338,0.20745492714704628,0.10891311372610013,0.09285195197840954,0.04952545619680415,0.04783066394121332,0.0476236408425531,0.6131159516525622,0.24382212421521127,0.14572288252888219
p02_uppercut_right_main_020,0.13414078419341582,0.022149786367800482,0.07101893971975264,0.011593825698293274,0.15497292554987144,0.04684435942371208,0.18655470139484484,0.038802402591887566,0.0500929233560161,0.20930002684660792,0.2372325113577131,0.08056362957109188,0.047079923623328655,0.17104391481794806,0.15797045403722082,0.01650195826860214,0.7776340312904731,0.1897340874181098,0.190535348303102,0.09777158445811135,0.08443906245003255,0.04953785017057604,0.0477636027040555,0.047620609035203175,0.5787766851204768,0.21471935959867702,0.1311699843169401
