jap,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,Overall,,
p12_jap_main_021,0.306774248,0.490485469,0.304782476,0.284534372,0.24444738,0.336398379,0.049468088,0.050520525,0.047866949,0.567314466,0.939364899,0.827749769,,
p12_jap_main_022,0.321684029,0.503229865,0.355851881,0.333608035,0.18682851,0.335302376,0.072437026,0.072421193,0.047626106,0.610629208,0.906406103,0.817673034,,
p12_jap_main_023,0.322601741,0.496492022,0.333851331,0.316763203,0.251601361,0.334540095,0.048540685,0.051237904,0.047766591,0.637342819,0.947474483,0.854434983,,
p12_jap_main_024,0.314433273,0.501894367,0.336558737,0.322050161,0.251681454,0.355114655,0.049895927,0.05185472,0.04765352,0.668801346,0.939910904,0.858578036,,
p12_jap_main_025,0.328940767,0.50078749,0.300138444,0.291192639,0.250223469,0.336762803,0.049614568,0.050740429,0.047700469,0.588955226,0.94220064,0.836227016,,
p12_jap_main_026,0.33056987,0.506403805,0.348516576,0.28424744,0.22231865,0.312346448,0.052159505,0.052178525,0.049432803,0.593728599,0.923545107,0.824600154,,
p12_jap_main_027,0.335048326,0.505831566,0.348302872,0.293256552,0.19136917,0.321074904,0.049796109,0.054803275,0.047671714,0.618933671,0.891098376,0.809448965,,
p12_jap_main_028,0.33108696,0.505277885,0.326107718,0.319254003,0.243837982,0.338869651,0.050296829,0.052629301,0.048391849,0.635419309,0.945088511,0.85218775,,
p12_jap_main_029,0.35093986,0.505709127,0.34259815,0.321158554,0.233700033,0.306227106,0.048430024,0.05076059,0.047721641,0.645681085,0.926110802,0.841981887,,
p12_jap_main_030,0.34586836,0.504536337,0.360721603,0.35273888,0.201683177,0.300747222,0.049726669,0.055246633,0.047668465,0.668916054,0.907004021,0.835577631,,
p12_jap_post_001,0.332913849,0.505987919,0.367187877,0.281560269,0.203672464,0.317138122,0.051336072,0.051739861,0.048883811,0.619539491,0.903377795,0.818226304,,
p12_jap_post_002,0.319628679,0.49776071,0.322050907,0.307328568,0.215833224,0.330994531,0.048636379,0.049794336,0.047770706,0.614824472,0.911616162,0.822578655,,
p12_jap_post_003,0.329859061,0.503867643,0.317959552,0.309712595,0.227517835,0.337952252,0.050994053,0.053551861,0.048950482,0.607853827,0.934725237,0.836663814,,
p12_jap_post_004,0.337383129,0.500317926,0.322783971,0.299602116,0.238284238,0.328946468,0.049964013,0.052773085,0.048353079,0.605597551,0.937389541,0.837851944,,
p12_jap_post_005,0.353684394,0.505316439,0.333639803,0.304660757,0.228572581,0.364346083,0.048536302,0.052598443,0.048098577,0.649355271,0.94770445,0.858199697,,
p12_jap_post_006,0.36503039,0.505174988,0.355477585,0.321225575,0.228505674,0.323469574,0.051711746,0.059632655,0.04781508,0.650809343,0.939134301,0.852636813,,
p12_jap_post_007,0.356723212,0.488649205,0.358053375,0.29624029,0.229872637,0.300322395,0.050427396,0.050726965,0.047868407,0.613546846,0.929869116,0.834972435,,
p12_jap_post_008,0.338829243,0.498119049,0.323060145,0.285892335,0.231039112,0.321325713,0.05120355,0.053675559,0.048543234,0.586896908,0.925689969,0.824052051,,
p12_jap_post_009,0.348224822,0.503439205,0.355279543,0.326802146,0.18432018,0.314598682,0.050868608,0.054626268,0.047854964,0.662514823,0.879545446,0.814436259,,
p12_jap_post_010,0.330082038,0.49942178,0.326370144,0.314775231,0.236070553,0.333927065,0.04989308,0.054848579,0.048148935,0.634174854,0.925285823,0.837952532,,
p12_jap_pre_001,0.361015023,0.494396557,0.297796782,0.294711631,0.217510129,0.252391727,0.048014406,0.048960429,0.047645914,0.557873765,0.876622994,0.780998225,,
p12_jap_pre_002,0.356869444,0.503048539,0.295524798,0.284994283,0.233636367,0.268973059,0.04858734,0.049103133,0.04764377,0.544673736,0.911177899,0.80122665,,
p12_jap_pre_003,0.37044665,0.495219836,0.321294952,0.277798421,0.22673671,0.28717636,0.048383882,0.048547958,0.047648895,0.591502475,0.897853215,0.805947993,,
p12_jap_pre_004,0.35642624,0.486621237,0.28996002,0.291944905,0.219684245,0.283846205,0.048215627,0.048904213,0.047691192,0.545889231,0.903002003,0.795868172,,
p12_jap_pre_005,0.359712889,0.482172546,0.316816395,0.310137741,0.209529162,0.287879706,0.048140861,0.048797553,0.0477013,0.575786524,0.910987418,0.81042715,,
p12_jap_pre_006,0.352223554,0.500179796,0.319741778,0.290126932,0.228489278,0.29731345,0.048565285,0.048757602,0.047652704,0.589615695,0.914256951,0.816864574,,
p12_jap_pre_007,0.344535572,0.493464828,0.288049895,0.25091255,0.226828676,0.303662851,0.048183564,0.048252672,0.047728035,0.508527749,0.922313987,0.798178116,,
p12_jap_pre_008,0.34608965,0.494835756,0.289273469,0.288341001,0.215532077,0.304068706,0.048174001,0.048623324,0.04772879,0.546832282,0.913292437,0.803354391,,
p12_jap_pre_009,0.341637972,0.498434541,0.31128445,0.296941833,0.239232288,0.283685219,0.048592194,0.049507001,0.047681814,0.579600759,0.91277153,0.812820299,,
p12_jap_pre_010,0.361848659,0.503650887,0.304960066,0.295242082,0.239883095,0.275400698,0.048539472,0.049176974,0.047644696,0.578883868,0.911515457,0.81172598,,
AVG,0.330560042,0.497233012,0.331542499,0.30401366,0.224519622,0.313791006,0.050847869,0.052251265,0.048002819,0.60591302,0.917244345,0.823844947,,
