Straight,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation
p04_straight_main_011,0.22417056655275278,0.4844922798834149,0.30102115885974257,0.23295026208494446,0.2504220529532306,0.2807419369264608,0.049346575432729294,0.05609020714402304,0.0521270880203425,0.4206938144374637,0.9252356791145137
p04_straight_main_012,0.22097380201626873,0.47753806718886543,0.3080928899722727,0.23318906416856117,0.23349222245625492,0.28740201897017065,0.04923778998998257,0.05308771258746478,0.04952885178935388,0.41920752776610365,0.9237883394197828
p04_straight_main_013,0.1856779142524658,0.4313423350725816,0.2400689145406857,0.2552404557971656,0.21314575645614187,0.2799840799892027,0.04862738165127418,0.04769370404424231,0.047751138025271145,0.4238379552220741,0.8109663085816615
p04_straight_main_014,0.1370241065359682,0.37773441851359413,0.2016701742639893,0.23102998911228984,0.199800707756857,0.2122989034691451,0.04877106036704989,0.04776086448134054,0.047619360764317345,0.37455202493606654,0.6588154763525136
p04_straight_main_015,0.20881832495477864,0.4654840744467596,0.27644893674125537,0.24543571886800802,0.23570473278120394,0.28411736513189145,0.049154536790355335,0.05302952777727339,0.04932994077600489,0.41754358235493055,0.8945351337357311
p04_straight_main_016,0.18632114482571022,0.45509865285443823,0.26148170828782397,0.2528999224380111,0.22097003112780467,0.27729132929154415,0.04876413933904896,0.047781816352964475,0.047970570085003154,0.4383429373722351,0.8327569343751274
p04_straight_main_017,0.1993721775911168,0.4611628318280003,0.24062330643480662,0.25728430143123926,0.22776968594297053,0.2869431663640339,0.048998007037564725,0.04811691191857187,0.0507378910519103,0.42316016446968946,0.8558960932588745
p04_straight_main_018,0.17645339292911055,0.4238605578986904,0.22629659770015476,0.25375764501913134,0.22590311402075441,0.28548515442707306,0.04901419790103818,0.047728802507985224,0.04841703238752914,0.41475630963892707,0.8111726842979455
p04_straight_main_019,0.2071293670796787,0.4297928153176837,0.2839984549759032,0.24538560958714495,0.2305108422068521,0.28435958550650636,0.04851958821751954,0.047916467105649035,0.05300278620908145,0.3952097590977605,0.902025387352704
p04_straight_main_020,0.2085345560319416,0.45485290785187926,0.2768921099824831,0.246744942466459,0.23335881878548995,0.2729222376517868,0.049293909578572104,0.05210971301784376,0.049709716064538854,0.42707897725524147,0.8671609805631367
p04_straight_main_021,0.18693419081805052,0.4394218863678162,0.253228480399169,0.25226290671563456,0.2391165559806228,0.2912024288896518,0.04876961879058885,0.047783086859861136,0.05025954986526945,0.4246577663126498,0.8579202719203887
p04_straight_main_022,0.19941143007029988,0.4746168459940449,0.2502582239117931,0.26366483816213904,0.22478482185924525,0.2690452311429314,0.048326857379583116,0.04786788517598676,0.04949116795979502,0.4377079687964832,0.8466308473545668
p04_straight_main_023,0.2182885858577858,0.4563681431219049,0.2610199727400939,0.2474466097719576,0.25937083259909566,0.26063331253253663,0.04901287811272202,0.05154683439869936,0.051145071737128255,0.41342382187175064,0.8869993747465289
p04_straight_main_024,0.20656792663294365,0.4545294683222484,0.24481968513840702,0.2592896343253358,0.22423314396724986,0.2435520626220849,0.04872596006410992,0.050903437923192615,0.04903044475840026,0.41530627950475774,0.8245433405751089
