hook_right|p23_Global|hook_right_003,LShoulder,LUArm,LFArm,LHand,RShoulder,RUArm,RFArm,RHand,LThigh,LShin,LFoot,LToe,RThigh,RShin,RFoot,RToe,Hip,Ab,Chest,Neck,Head,Acceleration,Velocity,Position,Joint Angle,rotation,Overall
p23_hook_right_post_002,0.21364805490629682,0.14660203128641172,0.04366906824952205,0.018093473138543884,0.3605384237321186,0.16498463462543386,0.15282764734580684,0.008519012472649438,0.17726424647932076,0.2688167027823146,0.2889267791603082,0.13782463329653533,0.15654428646332869,0.216056917421994,0.31603620350891154,0.16201467781782572,0.8907059267048885,0.29287658471147815,0.2782942244461218,0.33526977405979863,0.32982180859714927,0.05438984988933241,0.048386615085652465,0.04765849983633907,0.5330764258289605,0.688589635717214,0.36812406777677653
p23_hook_right_post_003,0.18027141071673575,0.13228283724359363,0.08350311061784599,0.04727895249436632,0.25421544448977595,0.10274951219702047,0.09121794108370591,0.029279778779494496,0.19459274725031342,0.2611148169061749,0.3349639539511241,0.17539834037140006,0.14816149236858436,0.21452341769844024,0.28981224946778644,0.12811872901844223,0.8897058153402447,0.22500617056851882,0.2187308613581843,0.290850973843414,0.30636997446764347,0.05328014268523724,0.047759837715820035,0.04762029160560212,0.4733646064925173,0.6393303618151188,0.34347532671036046
p23_hook_right_post_004,0.19401642291707777,0.1341674063213867,0.06495139212668437,0.02412716800949371,0.2427441585949131,0.0817388225827618,0.06515633509744909,0.013743650017805295,0.19058210326358396,0.24400088078537369,0.31357418539191706,0.15239416734519518,0.14560786233101947,0.21516187495965378,0.22177618767214957,0.13041979709040336,0.8612587045915087,0.23699915139646005,0.23254886997493332,0.3042625781338556,0.3220052759336879,0.05299139377525956,0.04774053678082863,0.047621106001642564,0.4417332734907067,0.5993433419131963,0.32348222395741943
p23_hook_right_post_005,0.1879749598526713,0.12351758832781592,0.08122309201959846,0.028758473640434705,0.27305387196656805,0.07919202501245601,0.07425434270575523,0.017324217605019735,0.17222621126554644,0.2613645739050548,0.3390134791998244,0.17108080667927153,0.15790322191817993,0.25169274497053,0.22298351317326262,0.13736440183922866,0.8581800378577036,0.2392175342586352,0.23313019008021446,0.28117726314715324,0.2919783201691506,0.05330055464472373,0.04774821591289554,0.04762200353709421,0.468244368838568,0.6170253694336856,0.3323236864853899
p23_hook_right_post_006,0.19642519407165032,0.10925892588065104,0.03882286548202733,0.02575631500300523,0.2640878169110077,0.1069587378452016,0.11849304916902507,0.006562988501659958,0.17272344906831943,0.2673820153074816,0.3382174750525815,0.19519033770619595,0.1551323800873008,0.22991734576137643,0.2854837660972255,0.13384274172339863,0.8735494903718429,0.2544121544975895,0.24846420576889444,0.30156826846104173,0.311260910111092,0.053882162622125515,0.04823765096626205,0.04762042613032073,0.5166991745768292,0.6140398596202633,0.330830142875292
p23_hook_right_post_007,0.1743341997101338,0.11714759608430059,0.1294939270030367,0.07902079488649187,0.23680447333616822,0.09521807217122037,0.102979120347932,0.05123866071187107,0.16340693462082165,0.2681282198260841,0.35245450449347565,0.19635212751093328,0.14568555699553745,0.21939750337236247,0.289551367406392,0.12566522440155342,0.8241825996825304,0.2034403856449972,0.1941049944101752,0.2935385188009345,0.30838906076591616,0.053559647818895606,0.047812244225701,0.047619721125855434,0.496583268947573,0.6219603299013159,0.33479002551358567
p23_hook_right_post_008,0.18492930295346716,0.132638628554607,0.08973767299920406,0.03842558843673065,0.23685406401481113,0.07487841831261191,0.07686564753767629,0.020518724752402857,0.1933874336331257,0.24967085102825887,0.32666948109638094,0.16369567561586434,0.14736632565089652,0.21126349791241075,0.21085599111646508,0.1300775441705974,0.8425829596690317,0.2182253940993853,0.2110273468345853,0.29374697143619555,0.3061857658072353,0.052821404374172744,0.047730144445471134,0.047620698935694816,0.4397196739675258,0.5971488012129881,0.3223847500743414
p23_hook_right_post_009,0.23632445522002285,0.13986459975048987,0.18866381859750592,0.11978295536409433,0.24951533817236654,0.17700400929132792,0.22949044157525442,0.12191823933419835,0.18716283425006575,0.2586661581483461,0.2923961739400672,0.14712490681445495,0.18640468644778205,0.2327513611802471,0.279703168372836,0.12421235305839966,0.882913165799611,0.283648354545427,0.27994355619806777,0.3565059619122655,0.3163620102021881,0.052977548712185824,0.04810762573605568,0.04793473354778709,0.5124505841861899,0.7849579232914475,0.4164463284196173
p23_hook_right_post_010,0.1986797260127166,0.1319096252842015,0.029144400808792083,0.013379295337658798,0.2076818680923614,0.08912559333156403,0.059034570488653126,0.0064239652379585125,0.18248845451812948,0.24491501003805682,0.2869624586525033,0.13032686324677784,0.18033112317108882,0.22620561705874365,0.2543796125420076,0.15183839754391973,0.9077540339207955,0.2624715702381336,0.258948935197724,0.2668706491021904,0.2814188767917859,0.05304414532963496,0.04776204758498141,0.04762349944411243,0.40458771415057193,0.6139493324987491,0.33078641597143077
p23_hook_right_pre_001,0.1905813140167934,0.0831747889963464,0.05043209702972808,0.0253521843587581,0.25784140679327194,0.10541415186903709,0.06762334729340662,0.018036656946280143,0.1634618966283246,0.28540518989189284,0.28860309184648936,0.19525776056356056,0.14687792467056476,0.2172171998384215,0.2967459302645597,0.12533610509275275,0.8736883431340189,0.2583055652978695,0.2520544210508443,0.2929163348573719,0.29551546982758314,0.054156252582277714,0.047787044228993054,0.04762002578669874,0.4756099260526197,0.5970701154123577,0.3223450705995282
p23_hook_right_pre_002,0.18934200558567776,0.11701576766878796,0.11338636909475563,0.04565024844294366,0.18811366037147054,0.1228067394277625,0.15914057755672828,0.056653714405314935,0.1734477290098944,0.27832226445624897,0.2856376685118187,0.1856044885637816,0.15441731660711341,0.21436277844951848,0.3195579901540128,0.14862065749715664,0.8640064731059909,0.24542163758511978,0.2393028632488888,0.30557397755582905,0.31539786359759675,0.05299503305389274,0.04778710029503686,0.04762189732652585,0.4081296387848579,0.6944327301083031,0.3710273137174145
p23_hook_right_pre_003,0.19449376894651768,0.1043643326973565,0.12460924750043008,0.05128722156259341,0.16943909356158682,0.09590070858632863,0.16072499943576773,0.051276298819043095,0.16689925756116736,0.27948019613080105,0.3130712772883054,0.19340530181958987,0.14437932579416793,0.21227071511540735,0.21620444475083564,0.12637755219655433,0.8527774646686577,0.2325823186235129,0.22713560972690267,0.29005417358794594,0.30639850170158933,0.0537159206441151,0.04775792790780625,0.04762166841101433,0.39589995793944877,0.651256536518404,0.34943910246470916
p23_hook_right_pre_004,0.25173055960029206,0.14651423730046426,0.24898406110513757,0.12197108475332408,0.26292790863283017,0.1855735418013457,0.23664170396022016,0.13454566379952337,0.19256141613757594,0.2886445873430205,0.28949193497199277,0.1725978470622716,0.1889314748376783,0.24609198191464188,0.3022683382194503,0.12031295890050075,0.8820590722470024,0.2923807523663352,0.2815772594805266,0.3574573204208048,0.3182183043790596,0.05647168090350029,0.049611994632787496,0.04854118279803459,0.541277520486827,0.8219404808844847,0.4352408318412596
p23_hook_right_pre_005,0.2098375070361779,0.12876318923683602,0.09064481360389416,0.03566830574615849,0.18053012432477797,0.1004308807285661,0.07981432270964076,0.03320622525822616,0.19280121454680488,0.2709514450402292,0.3056935866788734,0.17254026050233096,0.14092956039875032,0.20952147684934222,0.20648628422000354,0.11840888586494983,0.8452831435294428,0.22461184431999395,0.21859747842890637,0.28438862215281535,0.30465051096291146,0.05765388716502562,0.04799758080417812,0.04762332493117154,0.38778563313907866,0.6219622543258522,0.33479278962851183
p23_hook_right_pre_006,0.21454549613367666,0.130516069181639,0.07077477479610028,0.031806255370567985,0.1928675537983297,0.10064635922028438,0.09190206495736028,0.023374578446646012,0.1887139197919327,0.27339544241176494,0.30575048076822364,0.17700867207234788,0.14634124687953526,0.21998399849235759,0.22220638311586388,0.13635063515539553,0.8540191779606726,0.23645403294556494,0.23145705721586146,0.27900404921105115,0.2975345269420397,0.05441554963512003,0.047885172684004745,0.047620427546770386,0.38636520805786895,0.640171680497946,0.34389605402235823
p23_hook_right_pre_007,0.1994614033260015,0.10817979827926741,0.03495470870064118,0.009379209426370893,0.34193323816434074,0.08589521552262067,0.14137757740474602,0.017138453561328492,0.11585984081590499,0.17732289193105136,0.1748985326052023,0.03716554830306541,0.15216112567093024,0.19698786570067076,0.26217247433398083,0.11074878682928276,0.8627378502787492,0.2684335441238187,0.2659048484875756,0.31470893897415725,0.3112252696135751,0.05398679447155582,0.047849799356925,0.04762036961592603,0.5335733169416134,0.5000796922761664,0.2738500309460462
p23_hook_right_pre_008,0.19899160430984714,0.12765306726198208,0.047807225097043285,0.014651378626199557,0.2720597186474162,0.10727838709096352,0.14942718194305266,0.01047162466137756,0.19496359879869957,0.28263271784878324,0.32066006506877426,0.18746459869227175,0.15387830246501202,0.23530843875747004,0.28466904614148075,0.14218126918732416,0.8616315235112573,0.24485440574728576,0.2377266171386327,0.29933296625553696,0.31282810646097226,0.05355482002235067,0.047790918125162785,0.047620223061702056,0.5181160487486695,0.634499451529877,0.34105983729578954
p23_hook_right_pre_009,0.19225320916703592,0.14044806386428663,0.08220772410680069,0.03448877785776617,0.2667465912654215,0.08066225669588103,0.06503205857844205,0.018226766329654847,0.1927935264028758,0.2561458714761923,0.3227032953267178,0.16161760061349553,0.14306112034958138,0.2136887975158607,0.2754810245701172,0.1262882996763536,0.8738932156969982,0.22495593813609321,0.2191340799891429,0.31049041883888207,0.33026182485018046,0.053148423161905343,0.04776050297107831,0.047620210022865636,0.49001532388836627,0.6092409305388743,0.32843057028086997
p23_hook_right_pre_010,0.23965057136673562,0.1437057781787944,0.2107243986711175,0.11274287370705652,0.3594208267163347,0.17401376081657016,0.20013497988722917,0.09317190887622558,0.1916633130628482,0.27511144774622476,0.31339876412863266,0.15808056305183954,0.1892417908063865,0.25473054706620973,0.3343333383437705,0.18973781808291007,0.8863270392083844,0.287184999481067,0.2841924798485994,0.34550054213526193,0.33893706862668155,0.05283713506684769,0.0480100046008327,0.047960176152085775,0.5378790410921654,0.8442173673270181,0.44608877173955197
AVG,0.20090774276536322,0.12677000052882054,0.0867183979580009,0.043860903988533824,0.25654986455595236,0.11345327683763917,0.11776267971309236,0.03202323266537367,0.17938737988773518,0.25973342077976613,0.31694323740350194,0.16547493245669184,0.1551619732133113,0.22450934295655275,0.2564342302390205,0.13400218610637793,0.871632738821028,0.25328197340614444,0.2466263654201527,0.303669181314076,0.30940871280692295,0.05386837634623913,0.04799952082664983,0.04767721909926417,0.47130925878028895,0.6491619215680601,0.34841957033366205
