uppercut_right|p21_Global,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,Overall
p21_uppercut_right_main_013,0.26291540136885294,0.3925934747314836,0.22213802531141197,0.27052493119633264,0.24530313728091618,0.2212614569508773,0.05345828341826947,0.04808373278260039,0.047732226941400877,0.491457123483368,0.7302738038966387,0.19766637989474595
p21_uppercut_right_main_014,0.2931764411133547,0.4403946194878488,0.24330600135298724,0.2505098072801829,0.2795513882660054,0.21097406504677574,0.052416981426798334,0.048192935096290336,0.047657509010293385,0.5447473802582035,0.7455448742802685,0.21511909892709738
p21_uppercut_right_main_015,0.13683389078035751,0.25125865931181657,0.08606056072991579,0.09775262719434302,0.1039977207297889,0.13283359853439694,0.051573266100838205,0.04791069215263567,0.04761905885351507,0.5406313513378064,0.008881627336503552,0.21337176986376008
p21_uppercut_right_main_016,0.3250169125940478,0.47352317615863215,0.2736558634020995,0.2541612987893962,0.32315504726788974,0.23332210562876904,0.05258893736767112,0.048269636081260815,0.04802787435610972,0.6077972429141586,0.8110133836346236,0.2362186054543635
p21_uppercut_right_main_017,0.2595432207753302,0.37617606116920616,0.21530951925245284,0.25065001343188476,0.23326518645607472,0.21513984165964625,0.05290067723689279,0.04794961930773556,0.047626138669901674,0.5041485977464581,0.6661270396287567,0.20166629809702882
p21_uppercut_right_main_018,0.33359458007036186,0.48518096571087704,0.2953468530600182,0.2979116982191715,0.3354054741866171,0.2692640834135001,0.05203901522514339,0.04878908171613508,0.051243492263796826,0.6352194998125831,0.9021153942561436,0.24534919891795384
p21_uppercut_right_main_019,0.30090581596261534,0.3957718837302887,0.2125438010341827,0.25547721217190145,0.20844959661640622,0.18320878456432405,0.0518549807317895,0.04786430828630241,0.04762593298937181,0.4915159725401895,0.658615345199121,0.19707842051942712
p21_uppercut_right_main_020,0.2925029818428097,0.3626202772158088,0.189814746601993,0.22030493734950904,0.2051020350233596,0.19061065919245643,0.05383660944583333,0.04801732894355986,0.0476220105771154,0.4986708742824514,0.5741690637312743,0.2001749375572815
p21_uppercut_right_main_021,0.24624443675247046,0.3668870251593946,0.17516294151476058,0.2188220897173183,0.2370091084126102,0.2052760430069521,0.05171450813140168,0.04794367935573499,0.047620100213092986,0.535111513737917,0.5482459110778573,0.21158990040835118
p21_uppercut_right_main_022,0.30364469675296446,0.44517723216558974,0.21294761972244158,0.2369115794782144,0.17981400278579307,0.1718979395258023,0.05110855925939336,0.04881587327042675,0.04762047768869122,0.5576738736408531,0.5665959324297561,0.2191994353902244
p21_uppercut_right_main_023,0.17407872818971268,0.30455024328412095,0.09945902170525825,0.10721301259325593,0.10104849370962332,0.126803995090809,0.051230178873089324,0.047824056135037186,0.04761905123108491,0.5518146420509561,0.05874003425514284,0.21695629235302752
