hook_left|p09_Global,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,Overall
p09_hook_left_main_016,0.30578275829350654,0.4515699606583067,0.3514847871537353,0.2797483482870634,0.22750086592493202,0.2163461279704943,0.07178354104444773,0.07137577290083533,0.047656653604686475,0.5054603726777527,0.8376403048826152,0.2162065622076786
p09_hook_left_main_017,0.3695870088437498,0.4370138509537183,0.326767642396555,0.29407835970345775,0.18990129259864358,0.19506201126213454,0.06702684843481636,0.06963262031087762,0.04763296936780198,0.4698967972759148,0.8424981526661084,0.2021854220072029
p09_hook_left_main_018,0.38503418607584095,0.47507891563917903,0.3406758262142696,0.31540295264866003,0.2229851429060993,0.21433733588879927,0.07117011908088815,0.07419382862249871,0.048163986316087384,0.5472188789655638,0.8684666211482983,0.23086094222298353
p09_hook_left_main_019,0.37682969281554135,0.44575383420137793,0.3224306150885007,0.3111423579752795,0.18704548402401794,0.19120665776254606,0.0658631229109837,0.06506194521661275,0.047626284131952544,0.48357509136751203,0.8488012150150868,0.2048333864983695
p09_hook_left_main_020,0.3600884337336728,0.46617121544065443,0.34346975946033387,0.2961419997776604,0.2268442451056872,0.22149029312488971,0.07143053980857944,0.07651286301436121,0.04773497567298215,0.5195930720176893,0.8701405749544212,0.22251215828020998
p09_hook_left_main_021,0.37617777374792666,0.46905650090299195,0.34872943046014077,0.3038393413860054,0.24236361574204618,0.21415847228259635,0.07316068632010218,0.07569856288054946,0.04770224553300036,0.5526450453934049,0.8672305508981099,0.2338347648646855
p09_hook_left_main_022,0.35121580253925117,0.4247319266674479,0.32931611071497013,0.27574882500534015,0.19167750890549334,0.19562680293874743,0.0660226992725753,0.06789614910247038,0.04766305195535766,0.4615242410314706,0.8249600790986831,0.19848102980217208
p09_hook_left_main_023,0.37652570693071163,0.440000702778857,0.3356148324303422,0.2764052721578941,0.190407706054386,0.18350540026183135,0.06612795678545212,0.06790038660315519,0.047632629654282485,0.4819649869098755,0.8187556139803777,0.20533111009949426
p09_hook_left_main_024,0.33834524005699496,0.46861506757042176,0.35697586939489623,0.27645479740454554,0.26544219150627024,0.2238546286265955,0.07449752841171278,0.07241865252098842,0.04771923233929053,0.5719684397168463,0.8415206091310933,0.23962820688318248
p09_hook_left_main_025,0.33798414943927974,0.46750537911320056,0.33069113921175664,0.31786187697282203,0.20861843135061214,0.22153036744817758,0.06887914112125748,0.07228983484279095,0.047659785605764865,0.5066749642499939,0.8683976659098698,0.2159479800713474
p09_hook_left_main_026,0.33781129139690746,0.47354647726492693,0.34134885271410037,0.31052168075640096,0.24423905243644786,0.23629222417067436,0.07322251502156332,0.07798492427348647,0.04768017789219823,0.5412670171242503,0.8798349216668762,0.23082481880643335
p09_hook_left_main_027,0.3524475844663693,0.4652927600683226,0.34676817992229947,0.3055815519061453,0.1937244961043933,0.2157372617416148,0.06659653972535046,0.06881527552585462,0.047637749280669196,0.5032255582417325,0.8692452731193823,0.21287912449764587
