uppercut_left,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation
p07_uppercut_left_main_011,0.21244512978002508,0.44570800056707205,0.27559224100041757,0.312049901343405,0.32180799464027177,0.1112819473877003,0.05070095102710487,0.04848392074808311,0.04768783022772262,0.5513439677409046,0.741305909322243
p07_uppercut_left_main_012,0.18035938870706908,0.4132505737465889,0.28039810901099854,0.27001193254473577,0.28974627794241326,0.10346422002905423,0.05084359686250476,0.048368510743132365,0.0476664786745082,0.5627222329725334,0.6218681126896348
p07_uppercut_left_main_013,0.19328353552816457,0.4311931183795279,0.29175210452660627,0.2939500536508756,0.3073435842166366,0.10753016844145144,0.05175863162626379,0.04814893133762617,0.04763118120130142,0.5820087635717544,0.6748037305708264
p07_uppercut_left_main_014,0.20248862722072172,0.4245935126449659,0.28723015835860577,0.31035548501706745,0.29552620679724195,0.11594243837349275,0.0878387641776363,0.05556886287475536,0.04768386449636967,0.5741885877394666,0.6514170189541316
p07_uppercut_left_main_015,0.057011039694453355,0.26499368650340704,0.15186958020925884,0.14645804276143565,0.16520949232532456,0.08199987052654577,0.05220907571151539,0.047949625850533036,0.04762188596112456,0.5459865925413991,0.0955049917550513
p07_uppercut_left_main_016,0.17537019853930097,0.4088395289299031,0.2791224942416492,0.25499662618948926,0.28321909938063994,0.09505072328606906,0.05147668131155834,0.04792422755797908,0.047647525603636894,0.5270843639129722,0.6226378674305425
p07_uppercut_left_main_017,0.18241572250194812,0.43954588460719934,0.2768450017801805,0.2634197708165188,0.2953463526665603,0.09817427693675937,0.052025805571133565,0.04787062759723174,0.04765715308520274,0.5371522974593015,0.6517356742417969
p07_uppercut_left_main_018,0.1729255091408462,0.3452179283659881,0.28644915303761087,0.24603432207415352,0.266007455471819,0.10726555372724675,0.0511801689164571,0.04779954859860174,0.047620681370342144,0.49220762473394064,0.6198783651073221
p07_uppercut_left_main_019,0.1861398642753688,0.3924780338478741,0.2937990525938279,0.21006110220246801,0.24907096315273858,0.13037958950880923,0.0527730178487789,0.047751618178289705,0.04761950306069417,0.5004111574501302,0.6190189631666209
p07_uppercut_left_main_020,0.1977873092560795,0.3693471830033926,0.30945314322584216,0.2623394488274914,0.2821859130521216,0.10726343806736811,0.055354808176098065,0.04786359174630665,0.047635718497456944,0.47308335824487263,0.7133556014684631
p07_uppercut_left_main_021,0.18662594473608798,0.4127950515670224,0.2858197461952222,0.2626310018488704,0.28431279357059813,0.10179263298637058,0.052405912991335214,0.048131706571960114,0.047629235492407336,0.5214610108168852,0.6595370370622812
p07_uppercut_left_main_022,0.1336219947497837,0.36144266504003053,0.23419947753559556,0.21946712125228102,0.23210574775102222,0.0843546717891621,0.04903470659514321,0.04817018880196151,0.04764136357702019,0.5466820909399871,0.41199766470545773
p07_uppercut_left_main_023,0.16476844521460696,0.41758018267026975,0.2739843635384903,0.24883114668372613,0.2581427140539391,0.087186711146035,0.04977181314026636,0.04803845384925646,0.0476416602885794,0.5352407924131664,0.5674472669020908
p07_uppercut_left_main_024,0.1811657956263165,0.41267114596285204,0.28279300409822444,0.26673978717865726,0.2738723078480464,0.10120496718366326,0.04975274698187615,0.048260596439709355,0.0476611267543935,0.533588762059679,0.6295769530503295
p07_uppercut_left_main_025,0.20142546033270156,0.435110515559982,0.3053627060420797,0.2880917735131031,0.2898130829865752,0.17224208799501814,0.049425280160521806,0.04854017907983259,0.047727151945035705,0.5445091787485309,0.7687413114316209
p07_uppercut_left_main_026,0.1904062748227483,0.4414466838459318,0.30711093714291515,0.30575460267832383,0.2880714930894916,0.14697872921538938,0.049490597108889624,0.04896995753676899,0.047698157069025963,0.5834202461897466,0.7174302371909804
p07_uppercut_left_main_027,0.18567980500804335,0.43598189082652866,0.30778975922244267,0.28802095454544807,0.29092129075013806,0.1435959772541296,0.049331961349610785,0.04862389263639123,0.04770433485984951,0.5898411697113266,0.6906203353411726
p07_uppercut_left_main_028,0.18042345051377545,0.42817348772963404,0.3102327199794845,0.27801077562565796,0.27911915842557794,0.1358141127392039,0.049506744741572885,0.04838744129428697,0.04768068118404677,0.5834004421394416,0.6646198085568532
p07_uppercut_left_main_029,0.232368267633627,0.36086117545556334,0.27523167527641,0.25637978937404426,0.25882919434197954,0.16121375417841502,0.05487243481211609,0.04866197082604747,0.04761960771680532,0.4717413275074519,0.716290312876929
p07_uppercut_left_main_030,0.1490668874376534,0.3861587923410471,0.27948056408490096,0.2500584409522853,0.24150810128195066,0.11696932049823483,0.04925160927578889,0.04816809891276901,0.04764018465915367,0.5760782865892821,0.5188597910901238
p07_uppercut_left_post_001,0.17388871038324455,0.4053139865610813,0.27084344806611743,0.21454790229740944,0.23725359496268314,0.12407336718096044,0.04919164031175239,0.048115145109873254,0.04763117238494672,0.5380208249083719,0.5419326502926429
p07_uppercut_left_post_002,0.17176090511029476,0.4126641532604678,0.25933980630363446,0.230285602207164,0.21413519366936723,0.13553434110096618,0.048857221750479275,0.047940673341088653,0.04765158083011393,0.4827999805064138,0.5915836553479592
p07_uppercut_left_post_003,0.15329438996724992,0.40504350367102787,0.2875880265449114,0.22499447652426374,0.2265252381590086,0.12229094665149379,0.049198173068196877,0.04808782613544394,0.047642530338254906,0.5700383310516572,0.5124455690004401
p07_uppercut_left_post_004,0.1695513110877364,0.4193088226453104,0.264818728388646,0.2393714320716646,0.23251999980547824,0.1323028500243411,0.04931132217813525,0.04804038446382298,0.04764786593109557,0.5403013731323403,0.5676416689251698
p07_uppercut_left_post_005,0.19409606189689588,0.4137704344642292,0.29848260081524397,0.27140108773458504,0.24868661688976523,0.1598538018174073,0.050348787590067785,0.048283788856403186,0.04766942216544142,0.5397745741462193,0.6843678095849187
p07_uppercut_left_post_006,0.18062843907077591,0.4288371994448127,0.30382318254988755,0.2769371373870604,0.2560741578907106,0.1506591693452765,0.048888690922496494,0.04812595506980992,0.04763505559221114,0.5851438157350268,0.6484981612377649
p07_uppercut_left_post_007,0.18510828727508782,0.4304979986730775,0.3021577370311899,0.27470861526987966,0.2698122096518928,0.15059570210556186,0.0490156808356187,0.048043383216230647,0.047632901479861864,0.569510689369256,0.6763934820838988
p07_uppercut_left_post_008,0.16018046224170313,0.3976131498772415,0.2529805586841375,0.23841695245939568,0.24942342561770073,0.11585637487152992,0.049532853180830234,0.04799352370994734,0.04762866583084552,0.538241386981577,0.5378147937552007
