straight|p10_Global,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,Overall
p10_straight_main_020,0.21102259293330317,0.4018539456301412,0.16563338988541357,0.14937498927577011,0.2060491810239899,0.2341185783553832,0.05070169225376375,0.0482105880206423,0.047620335580305234,0.5812932354227184,0.4283878235926132,0.22673517189904147
p10_straight_main_021,0.3361171137080051,0.47380561085377104,0.23111239085453397,0.29774828440037154,0.3280456643604347,0.3276334524468075,0.05596350808891176,0.0532254462230064,0.05095231018250466,0.6419658180037704,0.8759075346140159,0.2503849241052295
p10_straight_main_022,0.2966438751315005,0.43755740351315675,0.28617487847673784,0.25704096841723506,0.3291127940227499,0.3256768693223499,0.05065648398284951,0.048748170359336145,0.04872233792845254,0.6110477005362098,0.89337864403545,0.23681745162613183
p10_straight_main_023,0.3284792710359786,0.44786360916614737,0.29256628393422224,0.2376220703606704,0.3162805673731032,0.29004721767487196,0.052436190433626656,0.05438229179378636,0.04780768666045544,0.6165298352618975,0.8398664272749418,0.24111610582977017
p10_straight_main_024,0.3265679835404085,0.43222383898273,0.2569915371110264,0.2511960511031984,0.29658262532351126,0.30658939808763686,0.04867996652714622,0.05493785455214605,0.047794821348147866,0.5875570356435194,0.8427738958175385,0.23039161890760387
p10_straight_main_025,0.29908138994366834,0.40790957969535546,0.27516529230625386,0.2869122289657021,0.3244814910263778,0.3125373180387346,0.04978593344227464,0.048149966137324376,0.048650158358948335,0.5880081160635169,0.9062209961752329,0.22864800521437195
p10_straight_main_026,0.3301201056351134,0.4441204766912966,0.3295176966053396,0.2659412382000429,0.309025337571587,0.2847623434593439,0.05765438945116483,0.052411321887224076,0.0485113480633013,0.6016388976408071,0.9042110264868486,0.237234869659732
p10_straight_main_027,0.29485852692159875,0.41882764798573674,0.2609933989050225,0.28480851468861373,0.28560451067836695,0.30433229383698823,0.04937252739853591,0.0478822792658867,0.04796236729509757,0.5456739915949925,0.8887667350201836,0.21430959941980504
p10_straight_main_028,0.3315546727322249,0.4277171010547042,0.3095659129037601,0.23500257393813978,0.3110082109932888,0.28808344747156145,0.05525384038447253,0.05412917671587962,0.04806331833082632,0.5917496257579506,0.8593276927766071,0.2337108809527676
p10_straight_main_029,0.3038214977507469,0.44313141753041324,0.22821286723628256,0.26381798819586955,0.24611964323093813,0.3341317500414673,0.04929422783111811,0.048042658453373036,0.04765307151881163,0.572562193895038,0.8305174106774343,0.2232996933931764
p10_straight_main_030,0.32397076093650323,0.44012448898549206,0.29461101568465675,0.2571769687744082,0.31665775411473573,0.3143579728313962,0.04978627329374665,0.05255574412045033,0.048954079181683784,0.620266190107239,0.8808446196755474,0.24086940250714534
p10_straight_post_001,0.3433369159873318,0.4774190652135224,0.3128876846969401,0.25292967298504626,0.32569253051095537,0.30705182680118664,0.0486088251882424,0.052404090943148206,0.05063523548609307,0.6310495426057727,0.9137824599932072,0.24402081957905442
p10_straight_post_002,0.3544206551006065,0.4481643995741071,0.28160707877446,0.2773899290219894,0.3069620787997541,0.3051279914273561,0.04997984755373103,0.048379874292175475,0.05121645997846716,0.6194975312502184,0.8921408546731054,0.23928575103204164
p10_straight_post_003,0.2753693521220629,0.4250972762413102,0.28403371116595705,0.2587347241432451,0.310505734183067,0.2961228616737717,0.04849233822857073,0.05016181120875379,0.04794489043211135,0.5705504396283988,0.8705773310094328,0.2230681963552411
p10_straight_post_004,0.33166430226211835,0.4463112400036208,0.24462523081714255,0.2631316865202883,0.26878143334933197,0.3092246657181513,0.07483618455257535,0.05307921436283961,0.047632250282625375,0.5711383516952395,0.8113305045421645,0.23301791687021814
p10_straight_post_005,0.3546102764943143,0.46317348447386114,0.3117074976230499,0.2726525825739982,0.3084633133142554,0.3091262161889916,0.050494417169854956,0.052924009111648865,0.04904141576829581,0.6816131905397449,0.8660511562593637,0.26167720560708285
p10_straight_post_006,0.3615020149011544,0.47620052098115784,0.30506082277760743,0.2378477905496159,0.30777244508134366,0.3160121088781549,0.05081239717613094,0.052561150055236074,0.04788986360202213,0.6723216390843144,0.8510096684492471,0.2585650621052271
p10_straight_post_007,0.36066473899016643,0.4653517674810687,0.29414914441837936,0.23782456720663053,0.30496262106059835,0.30093780136018855,0.050369622834930794,0.05236732092339288,0.048094168916816976,0.6249880539365025,0.8651345520669933,0.2425749992316087
p10_straight_post_008,0.29880781497214465,0.47976170830241804,0.26189021036426324,0.26652309346672537,0.31607155530715253,0.3369550697166065,0.05008427794761807,0.048326326534904686,0.047814449144993824,0.6301293210844859,0.8820336931172863,0.24284664185566956
p10_straight_post_009,0.3253555775505772,0.4433210241175205,0.24123456088013268,0.25939898610018597,0.26592860830573584,0.2918713773234171,0.08067057201050644,0.051847259500006584,0.047624962195286745,0.528548813643331,0.8245551478631835,0.22035554838461463
p10_straight_post_010,0.3598010100070329,0.4809328113703507,0.30104747387387587,0.2705215759784316,0.32228009985329586,0.2958191006318031,0.05055800008080021,0.053841863091448845,0.05040511443204815,0.6549411210738729,0.8896381860000624,0.253113661415374
