jap|p24_Global,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,Overall
p24_jap_main_013,0.2854319171804781,0.33906692401751665,0.1955304398127933,0.24803214477540808,0.18380354573691188,0.1882538447438717,0.0476671822466789,0.04802541099817613,0.0476190495052965,0.5271721952534091,0.5407721888028856,0.3929481554614727
p24_jap_main_014,0.30164856034443865,0.3338486589844017,0.21245960347800025,0.23183194767845156,0.18125012650311007,0.2181293971992984,0.0477552308368905,0.04872090136515887,0.04761907539456659,0.5560013613657436,0.542650556276163,0.39447165980286175
p24_jap_main_015,0.31432419566836567,0.3362543817416241,0.235362657948406,0.24712819100269892,0.18940469916025168,0.2645931534583773,0.047825171092846015,0.048902547930826594,0.047619353254481564,0.5545844964814257,0.642199729547769,0.46421057506268626
p24_jap_main_016,0.30039079356235493,0.348367569115233,0.23969906076035996,0.27428060185734876,0.20542006446663064,0.27639244658911766,0.04774727962769218,0.04849988113101435,0.04761907165767016,0.5558455472164584,0.7035738408203092,0.5070516529135207
p24_jap_main_017,0.3047605245150195,0.3547455366348796,0.20978213579320157,0.26726157156919056,0.20290163382896412,0.2593116473917635,0.04765704277096045,0.04861892930811453,0.04761905255661721,0.5166438874223623,0.6920912975612739,0.499049587085326
p24_jap_main_018,0.3128958143779805,0.34040283362085927,0.19904459713094283,0.24843075731251357,0.18777463993350896,0.2100436053211407,0.047678191583482375,0.04773256044591758,0.04761904882048291,0.5762382359111925,0.5371505208680558,0.39032513274141434
p24_jap_main_019,0.32151374235869107,0.3344270106587851,0.2328522470641496,0.22949556086102713,0.19105381377328254,0.23804751387067,0.04782083822638513,0.04841093342684329,0.047619527676600125,0.5143436942146737,0.6414557944443248,0.4635423361390803
p24_jap_main_020,0.30521362399450985,0.35872766220287505,0.2157971372113407,0.26609297208981053,0.20114857838868105,0.20703072176192755,0.04767600667312356,0.04861126125565703,0.0476190572377966,0.5046932202193625,0.6593905948914865,0.47615679480073764
p24_jap_main_021,0.34172313615551514,0.39285064546741244,0.21333846506781193,0.2775983967371582,0.21670216063789213,0.18084745771560096,0.04764450605382143,0.04772490381124772,0.04761905726668971,0.5304795251034171,0.6714039085412352,0.484300207122239
p24_jap_main_022,0.3117116300009422,0.38576204545814113,0.18980525664201106,0.2623685012842484,0.1740959519079835,0.20300680282586261,0.04763892060020785,0.04771782925678808,0.04761920630383286,0.4477774547303407,0.67986967921507,0.49022412422758543
p24_jap_main_023,0.33886048317446127,0.3827891073987649,0.2468150418699106,0.28120740313869597,0.2031385418370117,0.23438004423314318,0.048165193382027356,0.04783326002951206,0.04761910068826625,0.5269242431501733,0.740780829298784,0.5328965585180023
p24_jap_main_024,0.32770900582520507,0.36129180439010644,0.278578687885228,0.2929102329025597,0.22089150425919848,0.20131585966614246,0.04765964427564012,0.04777880728372198,0.04761904774945978,0.5393080719159592,0.7399035034022055,0.5322660945666604
p24_jap_main_025,0.3457296886312416,0.3692757007480295,0.2854367579046956,0.30257903210387516,0.22847833517285202,0.22411811114199778,0.04767697480179011,0.04781259655102475,0.047619050658338345,0.5449193982002527,0.7975034918118595,0.5725962232336091
p24_jap_main_026,0.2961143431072621,0.34359217027526656,0.27686181107718777,0.2854664155545201,0.21014133675730315,0.21509342605538478,0.04774395385226514,0.04885605867405576,0.04761905624640462,0.5112486041797719,0.7319580742957056,0.5270274696092105
p24_jap_main_027,0.3268608118090091,0.3537986621578289,0.28018006895919306,0.30267897515037023,0.21485071355984578,0.21514954385100324,0.047687520504124586,0.048247709379464196,0.04761908105580469,0.5236369884196282,0.7682521356510198,0.552250807769553
p24_jap_main_028,0.3459927944268871,0.38305726431322334,0.28188246444162324,0.3029500832103275,0.22796616348293833,0.19913241516638397,0.047665067037847966,0.04780603532279833,0.04761905110209489,0.5702576551483389,0.7474474828890746,0.5375550486191917
p24_jap_main_029,0.25181307509900513,0.36387646340439617,0.26909724208622376,0.29032876472257635,0.13462881612216165,0.17542692047979055,0.047698538917667475,0.04812931102772008,0.04761934557654164,0.4221122825611826,0.6959631903763758,0.501613026571779
p24_jap_main_030,0.33727818379748636,0.3761609524440436,0.2755599498998952,0.30648122462084476,0.2249306714008453,0.2264059215917804,0.047735521793870785,0.047823132257739986,0.0476191925449624,0.5340102679156788,0.8006019325044988,0.5747682924304712
p24_jap_post_001,0.31382704296585284,0.392181023036155,0.2238982977537632,0.29749035874584784,0.1847908463866727,0.2414311266541273,0.04766907280704961,0.047958770574327826,0.04762461975236433,0.44533802446296206,0.8070485626816232,0.5793216250494345
p24_jap_post_002,0.30398820728553977,0.3543615322979047,0.2683063835185223,0.2856124451005011,0.20781762700460504,0.2220540829055219,0.04780090644270071,0.048105804045965955,0.04761905780419727,0.5471665420582135,0.7033446567857603,0.5067730009638219
p24_jap_post_003,0.34756336759468887,0.37940150498843234,0.2741708210112931,0.3087936025312422,0.22210179036910666,0.2528786666544186,0.0476854965713262,0.04776131207218614,0.04761905882602088,0.5650236716634749,0.7981251955311218,0.5730160304934411
p24_jap_post_004,0.311741750922695,0.3632676073021301,0.2547052807773257,0.3106685038269239,0.19147894773321225,0.23325629565086364,0.04845904885750736,0.04803365147900548,0.047619111772045836,0.5002869748853814,0.7697408612591458,0.5532286983251037
p24_jap_post_005,0.2851148888597419,0.36005702303432624,0.24520866469978753,0.29226003929733757,0.21209595440322504,0.20962751826880766,0.04894410602252948,0.04792288459179335,0.04761906264700416,0.5120651592411946,0.709751398742382,0.5112028444972053
p24_jap_post_006,0.33898271001796887,0.3729971563618596,0.2590468452062902,0.2966678746781611,0.2258535820413093,0.23642211326779522,0.04768944746054083,0.04775332140483797,0.047619084864611236,0.5505779468595111,0.7639055365954244,0.5490598720382484
p24_jap_post_007,0.34463236501924166,0.36880402322858175,0.2949900293848656,0.30175072406306774,0.2254032598606664,0.26136283547690076,0.047823928201263965,0.04921459099308302,0.04761938522272426,0.5703583524622486,0.8078910467382434,0.5802881100146953
p24_jap_post_008,0.2824947191330401,0.32605599578774,0.21627012094688797,0.26408852711706843,0.16312930249719026,0.18045798792628576,0.04820782010364129,0.04778534318254251,0.04761904960563653,0.5340687114961009,0.5312695932201168,0.3862243182088445
p24_jap_post_009,0.21002581406964413,0.294838296279612,0.17818478282459332,0.21697344775146687,0.11272730804562632,0.14463903739832942,0.047643182276690586,0.047702296727187884,0.047619048487486715,0.4332975125227564,0.41080275221812584,0.30187261557084444
p24_jap_post_010,0.3476835594659653,0.36355712965428577,0.22462490835150498,0.2910739243449613,0.22495400395834353,0.2669147696157934,0.047669097322821666,0.04784151826551755,0.047621041469078494,0.48826422156931965,0.8159324935388713,0.5855052009568651
p24_jap_pre_001,0.31960110885368,0.4095921865133347,0.21395050479476335,0.29569453003600926,0.21685088807262826,0.21252648335723653,0.0549523074733829,0.0492810387373191,0.04764887502948586,0.4039658141935183,0.842179994642461,0.6043103078709184
p24_jap_pre_002,0.30923560978587633,0.39751538824998467,0.2090604629696541,0.29131280637116,0.1682478168886516,0.18126021703589382,0.04790359232212317,0.0479120223638653,0.04762260057908218,0.4097298072240411,0.7430498924633441,0.5345085314335004
p24_jap_pre_003,0.2969298063379203,0.3913616127105367,0.18760940037436583,0.28556251771137897,0.2072942481763036,0.15505965693773877,0.049255560504759224,0.04786873982703971,0.04762031265128514,0.39359450150712744,0.7317786579667123,0.5266056825248105
p24_jap_pre_004,0.3206518182771271,0.3999271097652615,0.21548557572013188,0.3155298291282295,0.23784465065908528,0.18537052284690766,0.050566776668716354,0.048003233246861385,0.04767294343628856,0.4383981665171244,0.8212088233945734,0.5892471463502597
p24_jap_pre_005,0.3345159983801614,0.3977107276204768,0.21583357582437152,0.3145198256914228,0.25656626453668196,0.16006504254696224,0.04776975440681489,0.0478544938928445,0.04763215648418638,0.45252168934365333,0.8077624466615353,0.579790060830928
p24_jap_pre_006,0.2883371236574649,0.39535934650978277,0.21186832428196425,0.29995077711253304,0.16338694009606566,0.17530021450840166,0.04772737877325789,0.04775244221791517,0.04762506019614299,0.40118223311862566,0.7427816503097249,0.5342728878821819
p24_jap_pre_007,0.3107804799141759,0.4096640759100649,0.24611263848145642,0.31752821530559466,0.21229167353278725,0.2037311062060235,0.0495016181060521,0.047875776739610784,0.047632093579396656,0.45954350961721735,0.8269130741148186,0.5932018849022562
p24_jap_pre_008,0.27323567454822417,0.37696627388524334,0.19895867600592598,0.29142098406083655,0.16128931865073637,0.16322337690924785,0.047697356955155916,0.04784011456280852,0.047619689143066773,0.38417447848118474,0.7044515237439303,0.5074681009895937
p24_jap_pre_009,0.3179726285090058,0.40719104780561965,0.20996585255971442,0.28739050154681,0.22199433825654308,0.21879296745946367,0.047827962982154824,0.04807977200927281,0.047655798033823166,0.4164354890285565,0.8351326968319439,0.5990168193851426
p24_jap_pre_010,0.25251983670978595,0.382123741276901,0.19868295206237901,0.2819362367470301,0.14058873492211693,0.16147068945892595,0.047797170426464204,0.04790288455935644,0.047619336299855035,0.37822653830804825,0.6698180021778011,0.4832434668922676
AVG,0.3141979808518508,0.36957039843591616,0.23922404657170226,0.2842542621112121,0.20519950843893667,0.21515095070478318,0.0480671356608014,0.048249454568202836,0.04762288184483252,0.5043551701480479,0.7234654331885175,0.5209006396024232
