hook_right,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,Overall,,
p17_hook_right_post_008,0.249602846,0.419745457,0.225057262,0.284693421,0.183511826,0.138901587,0.053166068,0.047749116,0.047629357,0.42635948,0.670854797,0.597506202,,
p17_hook_right_post_009,0.288037646,0.458564498,0.307192988,0.280963955,0.258503474,0.154657997,0.054971607,0.048482743,0.047906573,0.488195813,0.819384775,0.720028087,,
p17_hook_right_post_010,0.278097868,0.431215241,0.314079585,0.27739781,0.229332986,0.140723093,0.054957782,0.047938099,0.047747644,0.467407105,0.788088217,0.691883883,,
p17_hook_right_pre_001,0.253014709,0.467479348,0.307253544,0.287676931,0.244124414,0.159451074,0.05501985,0.052298725,0.04775896,0.459988719,0.834000189,0.721796748,,
p17_hook_right_pre_002,0.233924453,0.412751429,0.242024832,0.263992262,0.179393428,0.123099061,0.054155355,0.047750697,0.04761983,0.376863671,0.694538383,0.599235969,,
p17_hook_right_pre_003,0.235715221,0.418876898,0.236345038,0.269400923,0.178814088,0.128067781,0.054704679,0.047891942,0.047635047,0.366897301,0.709839685,0.60695697,,
p17_hook_right_pre_004,0.230241062,0.420165224,0.239760339,0.272728648,0.189439625,0.10463946,0.054392761,0.047837275,0.047619805,0.367852279,0.702703733,0.602248297,,
p17_hook_right_pre_005,0.243786819,0.428885475,0.231787871,0.264667882,0.154233561,0.124037002,0.053605505,0.047811402,0.047638354,0.360928318,0.688414052,0.590168332,,
p17_hook_right_pre_006,0.272294272,0.47556088,0.320840594,0.283318733,0.237767443,0.161992815,0.053185372,0.055257012,0.047993159,0.483618399,0.827286844,0.724186311,,
p17_hook_right_pre_007,0.225053773,0.419101732,0.241011687,0.26850099,0.170583582,0.119256117,0.053323931,0.047834351,0.047620298,0.373044527,0.68426386,0.59089806,,
p17_hook_right_pre_008,0.244891305,0.402500645,0.220542797,0.266557229,0.174525915,0.119020531,0.053824332,0.047825424,0.047619982,0.358007062,0.683137058,0.585598059,,
p17_hook_right_pre_009,0.360331422,0.379962532,0.317537355,0.255608804,0.215464356,0.153894586,0.052578403,0.048821965,0.047631184,0.473076232,0.784951974,0.691389252,,
p17_hook_right_pre_010,0.353337096,0.421781411,0.242352661,0.226009283,0.180027037,0.12324702,0.054721424,0.047913618,0.047622234,0.390560846,0.713401058,0.616548995,,
AVG,0.252877661,0.427747725,0.270774356,0.270375798,0.187815824,0.135682451,0.053923182,0.049402907,0.047708028,0.433449551,0.708931042,0.626286595,,
