uppercut_right,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,Overall,,
p04_uppercut_right_main_025,0.171904989,0.43367136,0.245440565,0.260046813,0.171302201,0.127267422,0.054624296,0.047786446,0.047625878,0.447279815,0.593087396,0.238080766,,
p04_uppercut_right_main_026,0.195627587,0.440946829,0.28485907,0.272418375,0.167082219,0.147710236,0.054787053,0.047769309,0.047622849,0.490367198,0.635433935,0.255196069,,
p04_uppercut_right_main_027,0.171909153,0.414271385,0.246826835,0.233524987,0.141219652,0.125419019,0.054275216,0.047817292,0.047627396,0.434975204,0.538543985,0.224647819,,
p04_uppercut_right_main_028,0.217527572,0.46415949,0.310034479,0.285792786,0.186118059,0.173195252,0.062299854,0.055788152,0.047640791,0.505194231,0.709039494,0.275992505,,
p04_uppercut_right_main_029,0.204006741,0.433531734,0.329995501,0.283507557,0.191686986,0.184154484,0.059982954,0.050512995,0.047658206,0.484078356,0.749319538,0.27831041,,
p04_uppercut_right_main_030,0.208329662,0.453936269,0.245770355,0.245365141,0.224004281,0.149074783,0.066822763,0.048711643,0.047755552,0.383050889,0.735604457,0.256389061,0.260581083,Main
p04_uppercut_right_post_001,0.254694305,0.429711446,0.292717479,0.29760783,0.168692902,0.183537146,0.052658406,0.050835771,0.047639624,0.491106694,0.72329129,0.273106357,0.250158966,Post
p04_uppercut_right_post_002,0.244435837,0.436640047,0.297391094,0.294623873,0.196725118,0.177982808,0.054532382,0.049872776,0.047722877,0.443653821,0.795419341,0.278240239,0.261833179,Pre
p04_uppercut_right_post_003,0.191019443,0.397495119,0.29190243,0.247610069,0.164189302,0.163838526,0.055878632,0.0486811,0.047624076,0.474522836,0.618084317,0.248958192,,
p04_uppercut_right_post_004,0.232371001,0.446775108,0.330218786,0.327002248,0.192441801,0.204247884,0.058480014,0.055522914,0.047631931,0.550271352,0.766146525,0.295610547,,
p04_uppercut_right_post_005,0.137356798,0.370009806,0.238605683,0.250051381,0.117331619,0.160737285,0.054332488,0.04889731,0.047619211,0.479659644,0.468128983,0.219727527,,
p04_uppercut_right_post_006,0.181576093,0.43918388,0.296831099,0.267640295,0.170248693,0.176390179,0.058479777,0.055689963,0.047623989,0.529904033,0.612430104,0.260825573,,
p04_uppercut_right_post_007,0.230312047,0.425599585,0.258365287,0.317148716,0.170949741,0.172516552,0.054303066,0.047849264,0.047664906,0.416906204,0.768209741,0.266986636,,
p04_uppercut_right_post_008,0.169710094,0.38698391,0.233264659,0.24745721,0.135573788,0.157510933,0.053631988,0.047920224,0.047621851,0.408661223,0.587971712,0.2291614,,
p04_uppercut_right_post_009,0.172082322,0.386337221,0.224341606,0.251685928,0.133250492,0.159179472,0.052987888,0.047943895,0.047621564,0.409979581,0.581318135,0.227970212,,
p04_uppercut_right_post_010,0.122691561,0.344843726,0.230238083,0.213515932,0.113333994,0.131754087,0.05583654,0.049516201,0.047619131,0.462149976,0.389893012,0.201002972,,
p04_uppercut_right_pre_001,0.266474831,0.394081052,0.278288164,0.293829704,0.146531419,0.199253891,0.055288716,0.050161576,0.047693723,0.504861025,0.676356126,0.266872233,,
p04_uppercut_right_pre_002,0.143180955,0.33588033,0.17229638,0.103348839,0.084517861,0.148892055,0.052685346,0.048722278,0.047619204,0.482451193,0.20107658,0.16651092,,
p04_uppercut_right_pre_003,0.229796052,0.367578114,0.275904704,0.276887368,0.121309113,0.159276511,0.054417082,0.048104987,0.047620779,0.546378862,0.522623122,0.243828967,,
p04_uppercut_right_pre_004,0.247828103,0.423597602,0.236962885,0.23472616,0.159262978,0.190260833,0.051531049,0.047840418,0.047623278,0.486763275,0.608647477,0.248481099,,
p04_uppercut_right_pre_005,0.276684029,0.471158087,0.294556576,0.27040968,0.19869673,0.217663603,0.053185372,0.048110649,0.047731856,0.505800916,0.787343589,0.288434477,,
p04_uppercut_right_pre_006,0.285471583,0.475101741,0.307068203,0.28335993,0.196872581,0.226985682,0.053568552,0.047916509,0.047726005,0.534476349,0.798431622,0.296423808,,
p04_uppercut_right_pre_007,0.267884277,0.388544537,0.285067107,0.296799921,0.157994341,0.220119088,0.052044589,0.047810757,0.047630754,0.537154735,0.689225581,0.274773283,,
p04_uppercut_right_pre_008,0.278691717,0.450515947,0.266677391,0.273545064,0.198365847,0.17586636,0.052213302,0.048602631,0.047668699,0.485168212,0.73358738,0.273448045,,
p04_uppercut_right_pre_009,0.273810231,0.458358354,0.267295537,0.279795545,0.201368893,0.187598096,0.051301382,0.047972375,0.047701609,0.481077918,0.76148483,0.277907623,,
p04_uppercut_right_pre_010,0.278233312,0.481029631,0.284072166,0.316522273,0.205267644,0.176547166,0.055539437,0.052205836,0.04772999,0.501772773,0.790837807,0.289617169,,
AVG,0.207152217,0.42379274,0.278915399,0.273603659,0.165887412,0.175505995,0.055387172,0.050052922,0.047680322,0.482569881,0.658841681,0.258906396,,
