uppercut_left|p18_Global|uppercut_left_003,LShoulder,LUArm,LFArm,LHand,RShoulder,RUArm,RFArm,RHand,LThigh,LShin,LFoot,LToe,RThigh,RShin,RFoot,RToe,Hip,Ab,Chest,Neck,Head,Acceleration,Velocity,Position,Joint Angle,rotation,Overall
p18_uppercut_left_main_016,0.29774806369285844,0.11119634790096108,0.12141905052960252,0.10893291786474742,0.335684127081887,0.15418133988663524,0.21433559287835507,0.07463637570225415,0.1801450522268962,0.3100777037255166,0.2509816146392931,0.1644675071009653,0.18855691497130989,0.30722364915395345,0.33219023188426555,0.18206090681134662,0.9049776024311325,0.29959566601697096,0.29409311008309336,0.3512974811707672,0.35462085796653325,0.04875402753680723,0.04770031654924836,0.047635416209818024,0.6219049950415684,0.7760731327959091,0.41185427450286355
p18_uppercut_left_main_017,0.28622012668441826,0.11310542533109189,0.08275334678439464,0.07728035139778094,0.314093838323385,0.1408398802337726,0.18569956412592975,0.051781448114563575,0.18622908430110743,0.30718100533666143,0.241628247405527,0.15784674477142377,0.190657514859202,0.2967014280140992,0.3217069117970688,0.17259732292444535,0.9367295997522873,0.33119489299072996,0.3253803777404837,0.35662967593563133,0.3606084436790312,0.04797285599846892,0.047690003126310165,0.04763754236188818,0.6268945877555638,0.7346271783108536,0.3911323603363709
p18_uppercut_left_main_018,0.22161747233057055,0.10242623755696664,0.11008540309175027,0.05117289827586341,0.29243003365811565,0.1197561331206477,0.2554986252770556,0.07660993492460315,0.1365605151608079,0.26094113274291864,0.1427535090609222,0.0630811798601858,0.13882010822224228,0.24482560102424128,0.28203609806831886,0.12422667313421473,0.8706136707839198,0.27056929563276283,0.256140027239076,0.3091532500808565,0.31766808531367097,0.04813178227279732,0.04780156092207447,0.04761935823668944,0.6419466699001403,0.5522967658112541,0.29995806202397174
p18_uppercut_left_main_019,0.2654933216159356,0.08395694802520284,0.10678761625592881,0.08414396901161769,0.27987803450758514,0.10442865251185966,0.1936770291470377,0.0558494481625179,0.17213470716250906,0.2908425152558702,0.21344695929394372,0.16042608653479756,0.18031936777448945,0.27813184477661396,0.2932456655850378,0.17526039974858582,0.9095101575740617,0.3016775755766883,0.2917797754401751,0.31577068761697225,0.32399917563287983,0.04796209894631135,0.047663056466386744,0.04762531592882565,0.5603888952782863,0.6959427749158832,0.37178404542235444
p18_uppercut_left_main_020,0.2727191411607003,0.05721469231903544,0.07278875850655535,0.03650424454031902,0.28002210235105224,0.12303258595208397,0.19525080953414364,0.07139058298315404,0.16479843611881637,0.24098719126803805,0.22280582462462245,0.1416116623054497,0.15221723435982148,0.2584249365366903,0.2450177072748665,0.10922048567259524,0.8841995995124089,0.28095215799766493,0.2741035234254908,0.3309771029769065,0.33262073819244514,0.04795916334607802,0.0476391939296368,0.04761911353450047,0.5780790730883114,0.6118522269293278,0.32973567023191414
p18_uppercut_left_main_021,0.27844001303781846,0.13166718890200682,0.07718060618466002,0.049050405170788944,0.31787473468899813,0.14564856676907112,0.21324918491869477,0.05439888522761007,0.17345910197493888,0.3052175667911148,0.22300941135362828,0.13261298355599652,0.18082301373454515,0.31914558483739996,0.3490963896496961,0.19116241313287435,0.9076445705974772,0.30357678083602974,0.2978009186356745,0.32894198120231105,0.3361628673347802,0.04808672505539258,0.047894744107730834,0.04762601207889167,0.6324471216896863,0.7201258093012157,0.3838759106900537
p18_uppercut_left_main_022,0.255923786637799,0.10909044651144309,0.05255790321142072,0.04565300672712335,0.2864600415758677,0.1218785669467644,0.20695201067535923,0.05570886031163419,0.13338611918471793,0.24448321158506126,0.17272570171830764,0.04309327663693037,0.1338046716688412,0.17337737203757667,0.2385211508278811,0.09569444058188506,0.9088680433775961,0.3134005819330826,0.2992847477187068,0.3146348389494733,0.31647190813793696,0.048593917456839,0.04767196895887045,0.047619249145025674,0.6082168890553812,0.5269252025323115,0.28727222583866857
p18_uppercut_left_main_023,0.27918518659103897,0.1242200551767958,0.05606155424184889,0.02610679098293182,0.329091400164279,0.13575684823199813,0.15907002635503104,0.025958357171897418,0.18530547450106788,0.2891192271449023,0.2533538245800049,0.1584228081833983,0.18812990826263828,0.2901766541387743,0.3273471195109622,0.18950304836916637,0.9100426212782786,0.3010482460001039,0.29550702230049,0.34670052800401385,0.3534941278232715,0.04799720149121243,0.0478489220570163,0.04762242856133649,0.5823890772249042,0.7169177010844778,0.38227006482290715
p18_uppercut_left_main_024,0.30876579442539515,0.13363584127629022,0.13349052002807832,0.04901662755408979,0.2931304416261571,0.13319390381061696,0.20451832088158448,0.05033586417025269,0.17936961964250733,0.3217168609902147,0.25070806589045574,0.1525246585149149,0.18979485816442826,0.3299485670816066,0.3630038711585201,0.19860216201817665,0.9290462064721288,0.3229080300122861,0.31831721705542276,0.33912035194874096,0.34572218264415866,0.047998887502363266,0.0476810441454444,0.04762193217046931,0.6792794328869873,0.7415293197669991,0.3945756259687342
p18_uppercut_left_main_025,0.2800393370842057,0.12518981230977164,0.09938419065951934,0.03952802366946866,0.322663548347401,0.14819742367969185,0.199430566172004,0.043793074569061584,0.19283623425731017,0.30685054531667927,0.21320665639058775,0.13344544558401694,0.1805464825766174,0.28902478532950143,0.3474301227362961,0.18937863661500934,0.9413574625851269,0.3334879552042599,0.3254155854869635,0.32719823555363503,0.32410687500662966,0.0481779579993241,0.04771304978788532,0.04762154446598599,0.6278702331550743,0.7213730467554678,0.3844972956107269
p18_uppercut_left_main_026,0.29852166289746085,0.10798302127866495,0.15515165675033712,0.06434236750405185,0.34152616823668747,0.15144487441733925,0.25208842549697763,0.08771117370256354,0.18839203909501073,0.30798742387637146,0.23645236798806102,0.1489440125785385,0.19274783756234784,0.3204195258628279,0.34836400214530644,0.19131210461184903,0.9212936128536995,0.31425092815194583,0.3050832110832048,0.3560072828534474,0.35664445359295655,0.049020471900219666,0.04770409617680712,0.04762782422209472,0.6706061660947406,0.7703147922643409,0.4089713082432178
p18_uppercut_left_main_027,0.28686965012306676,0.08590553407050265,0.05774720971608712,0.04267982358169424,0.3310588615018953,0.1269933631280517,0.16060282056679376,0.04238105011944552,0.17529126059454606,0.2711517388607384,0.2622658943471153,0.15282371727832125,0.1845160503934204,0.27858645338534327,0.32555102500888067,0.18489237418476875,0.8975551945091625,0.29542496405297997,0.2913682818082255,0.3464262450825132,0.33405369936521206,0.04842877689666972,0.04771747459541136,0.0476204481361282,0.5797343758958371,0.7048849084355263,0.37625267828582726
p18_uppercut_left_main_028,0.2831424735974543,0.11485403836789636,0.17001710617094884,0.14220563209394585,0.33419443072579913,0.14942506314851484,0.27031685976742004,0.11636953888958035,0.17794854796129242,0.29741223757108304,0.23602336997369933,0.15774419531593434,0.1847452871268085,0.30457881761958455,0.339945065032341,0.1825772114288258,0.9152119544018756,0.3122973471821596,0.30467674656123506,0.3536061983629816,0.3572199247565499,0.04801398643293727,0.047747444557033634,0.04762081985282884,0.6503499609457027,0.7975860980065793,0.4226034589297041
p18_uppercut_left_main_029,0.12294109442032652,0.0011524061660130708,0.07595237030832289,0.03330908989168707,0.16119322441467884,0.014676597715983206,0.15579257066769878,0.0030077965488064977,0.004462084989660327,0.1608149863219273,0.07598100592631811,0.018832850089552905,0.0031246947644998023,0.1538458692002984,0.16643498178143562,0.0010429609245976067,0.7511802727265058,0.15552854699674076,0.15588359752096395,0.18003379010641946,0.17887578315771166,0.04861061255427651,0.04768781704208855,0.04761905024408313,0.653556378522318,0.047965130896751286,0.04779209057041721
p18_uppercut_left_main_030,0.2713490558228481,0.12931855051237268,0.15921691035223562,0.09357306488292264,0.31098422318715657,0.13762508618143732,0.26066065932072646,0.10015717689362635,0.1738795326817964,0.29982799100335594,0.19679480752735873,0.13805489794455592,0.17599836337561203,0.32776186932184326,0.34528174630930725,0.1921294546638173,0.9085350704462677,0.3019303233844054,0.2932388877164508,0.33776622972323966,0.33861697363705395,0.04916658296495907,0.047797589029838536,0.04762138549734784,0.632651598243849,0.7565979617780988,0.4021096736377233
p18_uppercut_left_post_001,0.28176591491127867,0.09787067327595872,0.16537991596768206,0.13220361982155762,0.31388779719472026,0.14991954171743987,0.24176882661958987,0.0993953762647834,0.17704663021696493,0.32272558950619856,0.25582238739440893,0.172391982882521,0.1780408431395733,0.3100398497830181,0.31524082719634655,0.14717392969500584,0.9181116257295093,0.3142712738099416,0.3069444040559205,0.3456031770478375,0.346921879567333,0.04841962780366513,0.0476791099529171,0.04761982541876734,0.6776267763900015,0.7532012572266815,0.4004105413227244
p18_uppercut_left_post_002,0.20885058527883033,0.02552069767584162,0.11137940263729611,0.069891509125182,0.25312956238666284,0.09200375859106551,0.19450663290356746,0.03344838660146474,0.07317625429806948,0.19268725204550616,0.1820003558515498,0.10736109949725037,0.06536074127656019,0.18500558461274572,0.18396854226886428,0.03178315229879989,0.8458857003285509,0.2510586688260063,0.25293476319864056,0.2689616556394269,0.2703015611109353,0.04895254638815737,0.047719614112347424,0.0476190659468433,0.6487732008690634,0.3556734149780298,0.20164624046243654
p18_uppercut_left_post_003,0.29122068328139566,0.10343670338663671,0.17861652606538173,0.1509306179995925,0.32318029444127694,0.15050349377424885,0.29018358500327157,0.1170867777360917,0.18040654614983165,0.2937848330364729,0.21376648720899113,0.15700095977412057,0.1898246655715983,0.32934342139964673,0.31813996019097157,0.17145095360374976,0.9232615117022169,0.319307952006901,0.31156412550273416,0.34661277311732397,0.3475674398111958,0.04805251125408418,0.04769189737622905,0.04762037628593384,0.6541579390915879,0.7950299015219086,0.4213251389039212
p18_uppercut_left_post_004,0.13645546429310043,0.000814987219706927,0.03593672507571584,0.01739510128767213,0.17377465195982128,0.00485969058357912,0.17490913121446777,0.0011909012592762652,0.0012128554090551618,0.1598726326484853,0.10475980131084248,0.006634801472070739,0.0007015702161874747,0.15080999128201605,0.17347434342161144,0.0001378476546062684,0.7258169118656549,0.12701609657617202,0.12732179037972438,0.17701145467647927,0.17680532666003246,0.048230987364261096,0.047683919695163536,0.04761904765140512,0.6902051402963341,0.016927497749908777,0.03227327270065695
p18_uppercut_left_post_005,0.13987986008199682,0.01455265080985518,0.025621691242571198,0.0029066359102567435,0.18580882478353236,0.009458932208643408,0.14653217760201193,0.008687405012815168,0.007940466484893846,0.17012950392418122,0.060155882095623205,0.0010869649152252924,0.005364419462536534,0.1413431351814092,0.15325531129999131,0.001554713907554121,0.7454277970426348,0.15386565685399278,0.1532591449369462,0.1728341619997748,0.16571783046795646,0.04984238535125216,0.04769138143691766,0.04761904783047831,0.6243798294832376,0.04206529104117931,0.044842169435828805
p18_uppercut_left_post_006,0.30288065855340446,0.12545066118423837,0.10998167220765169,0.05531817010907134,0.3223688963195749,0.1501241156060866,0.22016387909088495,0.06609867194081878,0.180179776076844,0.34232482778825396,0.2375852324476461,0.15165079143551824,0.1905658379266755,0.30183307281848704,0.3550929413041702,0.1984543490919445,0.9148748478980734,0.32720300310607786,0.32087552271771935,0.3593612858239884,0.3552075054246194,0.04841497058445926,0.04769719307865236,0.047621750439737806,0.6447195439968291,0.7714792655618703,0.40955050800080406
