jap|p21_Global|jap_005,LShoulder,LUArm,LFArm,LHand,RShoulder,RUArm,RFArm,RHand,LThigh,LShin,LFoot,LToe,RThigh,RShin,RFoot,RToe,Hip,Ab,Chest,Neck,Head,Acceleration,Velocity,Position,Joint Angle,rotation,Overall
p21_jap_main_011,0.35445430069819134,0.07334847889408223,0.12437523729353683,0.03901078816591562,0.36776125282985406,0.14231711149799212,0.1743688961497512,0.1911001262159985,0.16756769059920398,0.20016950002604172,0.2983155510173509,0.16834845821495092,0.1766090023742237,0.21730430154674285,0.3220235374130932,0.17273454876201116,0.9644614277351529,0.36687046510117804,0.3709040947111215,0.3695518811105757,0.36828747966799913,0.047642849980885735,0.04799196903322981,0.0476190917138822,0.5471466261722792,0.8086352736960287,0.4281271827049555
p21_jap_main_012,0.35111158269650733,0.07000652349977413,0.10029618180026234,0.03430317485685094,0.3496960547183261,0.14959511041250925,0.1847754988609236,0.18665852369549088,0.1592717694894313,0.21126530384936437,0.2554303920447554,0.15924336945457046,0.17236140838147276,0.22097147032804249,0.33782445669972894,0.170657700612589,0.9462715549466634,0.34980013448474845,0.3539932406427946,0.3803313396835742,0.37941386492828233,0.04767829110679787,0.047675265089835224,0.04761976309815413,0.5516482205640658,0.7817991492027283,0.4147094561504412
p21_jap_main_013,0.3528144447612018,0.04662382380127214,0.0675876874975401,0.01690242689382645,0.36817666944001637,0.14147462330151872,0.17326376058209564,0.18922717261489935,0.1562792017376654,0.1822777856241074,0.2860445059782549,0.15026901328321146,0.16660724671257365,0.20827104932156332,0.32933414310664805,0.15943332172846064,0.9529361275515719,0.35855862743109757,0.3636839658575071,0.3630453064630029,0.358550859148677,0.047656763294658205,0.04797229335909882,0.04761909124110723,0.5561408721905166,0.7477205161203407,0.39766980368072397
p21_jap_main_014,0.33078264166271976,0.07723002384852891,0.17194492427861605,0.09099238601158496,0.3735183585726964,0.15010665793032926,0.18436439074982652,0.19032079187355558,0.1680043046568715,0.21365448002503024,0.30786025493879954,0.16478595039432745,0.1777676380699874,0.22629106657273607,0.33377542077305133,0.17430627783978608,0.9675635401682323,0.36968611261107265,0.37366463731039035,0.35542454207855456,0.3522464815864523,0.04774727070016108,0.049027446842837975,0.04761950536892604,0.5659642760016793,0.8281816412975751,0.43790057333325055
p21_jap_main_015,0.348631557830542,0.06852300592321577,0.12750282511093108,0.05494876629460384,0.37595248400447606,0.13964460087062097,0.17942820342909596,0.19326108028657024,0.17201813487099504,0.20060660601442573,0.29309536523756285,0.1713256537396995,0.18119496515313546,0.2225291535730002,0.3270748100675017,0.17510618406284392,0.9670803862655852,0.3681401297492593,0.37254942916676126,0.3600743514678668,0.3578212749424233,0.04764286087534643,0.04797118273669408,0.0476192007034041,0.5356884085334932,0.8237980918193887,0.4357086462613964
p21_jap_main_016,0.3521458979384192,0.0614478161924429,0.10992193977498607,0.04263471038649231,0.37648063133443266,0.14329696928125918,0.17952309791369483,0.19321339274233948,0.16986993869488443,0.20308622181802138,0.30837960848386475,0.1729783195498914,0.17720413847020786,0.21918895361880225,0.3559747454632076,0.1700903272867385,0.9664984219262939,0.36803270403177696,0.37225702005938405,0.3592663400560586,0.35627466328826474,0.04765681716322928,0.04806279461282305,0.04761906802211147,0.5630760036311666,0.8105727253725057,0.4290958966973086
p21_jap_main_017,0.34095491044280396,0.06285390547360199,0.1449699848624184,0.05891211126699025,0.3676708237223744,0.1427922018899133,0.18183326520332269,0.19220139853199808,0.16623190855016534,0.20235534705174402,0.29093938984501677,0.1717898386073414,0.17407757404733085,0.22043357468978755,0.34460703671578985,0.16516520401168372,0.9690580068245019,0.371067479455187,0.37549439354248265,0.3611351956173304,0.3608371223903954,0.04765992376447004,0.04807799995462206,0.04761937791619312,0.5579500372691671,0.8104625719697668,0.42904097494297994
p21_jap_main_018,0.3412475069195474,0.06436563546161012,0.11873804543259052,0.048995387937944494,0.3694774803736062,0.14374377866640306,0.18449936895642913,0.19095640020767707,0.1660378339012845,0.20330683736667207,0.31339045988482084,0.17119443982890373,0.17572074982761865,0.22304052970424185,0.340897775993866,0.16542411077032493,0.95754617542395,0.35999238645698634,0.3640490186820905,0.38168786515031367,0.3800241036724694,0.04765401050578179,0.047882038043742595,0.04761909358182398,0.5770119046701467,0.8011225835456635,0.4243708385637437
p21_jap_main_019,0.34984739212516097,0.07201801564145949,0.1266925212036723,0.058619851450883574,0.3803603957751864,0.12978579181097155,0.1717965941867692,0.18416474767486407,0.1773008451049894,0.20924658986131295,0.2965619443728589,0.18048718200430436,0.18355919361145773,0.22550022710330248,0.35252316666879463,0.1773237745117566,0.9762423435897913,0.37635863860941415,0.3797990457907808,0.36514460546906163,0.3639073337564083,0.0476360797135466,0.047951901027333085,0.04761911960657725,0.5435204243868351,0.8371766566785089,0.4423978881425431
p21_jap_main_020,0.32479510882870066,0.11653770921039382,0.1698302224125154,0.10800413799329112,0.3761753004845564,0.106363954696884,0.18425191983199993,0.1813756319257132,0.19420072584733886,0.2633800013768364,0.3114885644863371,0.18822427367319527,0.1960264678462694,0.2672586471536954,0.3757052531806059,0.19786458907624485,0.9741215954852283,0.3664553981227658,0.37300146959754577,0.3349898436788963,0.31705078250526997,0.047662192158399966,0.047754759061745235,0.04762885508340849,0.5593553006951711,0.8842036973455782,0.4659162762144934
