straight|p21_Global|straight_004,LShoulder,LUArm,LFArm,LHand,RShoulder,RUArm,RFArm,RHand,LThigh,LShin,LFoot,LToe,RThigh,RShin,RFoot,RToe,Hip,Ab,Chest,Neck,Head,Acceleration,Velocity,Position,Joint Angle,rotation,Overall
p21_straight_main_011,0.34446109459060253,0.1918330246333128,0.3344437726500017,0.1641214640777714,0.37528011776762077,0.18930780288035703,0.3303810036210012,0.15774181617716462,0.1868200186634193,0.26238205004627463,0.2868705237157186,0.17638528139116444,0.19110856545047394,0.20399896909233975,0.29791511315717434,0.16719653215421804,0.9601371392503928,0.3582257030491373,0.3644878373493502,0.294489997983725,0.29371672473426075,0.0498286467406483,0.05341221671877363,0.050408903898757754,0.6150679747046836,0.907245428694103,0.47882716629643035
p21_straight_main_012,0.3534176022490299,0.17943801756459388,0.35739949699149454,0.1621730456186673,0.37869379473356596,0.1955531070867261,0.3414480185458443,0.15621535297140662,0.18727955420669298,0.25816087507362195,0.28184620308246383,0.17325430156386043,0.1946974113303891,0.21085599656386173,0.2704149536858331,0.1626147045325539,0.9531584082439182,0.3509816722998559,0.35600495739013455,0.2713788088131507,0.26795833408341957,0.04823009338376124,0.056688354607366556,0.048703976035190506,0.6130364025649261,0.9012162095762964,0.4749600928057435
p21_straight_main_013,0.33010144642134565,0.17657399756750913,0.25004682028788106,0.16778410165746765,0.2698111154729225,0.1465672272452016,0.2219333567766421,0.11058831899625803,0.1678536328196816,0.24378465175013683,0.3086890201714426,0.18941008325415576,0.16167877146498325,0.16656199635862454,0.312019261436277,0.1532264082544365,0.9166578275238045,0.30710071234560754,0.30927174365624116,0.2825127011183138,0.29450166989071663,0.04791810436308176,0.0477172435479126,0.0476256037444822,0.5220727110820745,0.8132206911380875,0.43042314744128485
p21_straight_main_014,0.30015296955319315,0.14235163856364758,0.23282957791294848,0.15608167018117455,0.22361933431335004,0.13721872720720354,0.1790384619081729,0.09570804111912638,0.1638378299438002,0.22948979827338656,0.34662537581375774,0.19924311129655034,0.14852277998378527,0.16801177290808417,0.271455228326388,0.11642507633015661,0.8616321849139373,0.24653381023917365,0.24568285116081276,0.2686941339767466,0.29618289000331144,0.04850981877738571,0.0483002767996615,0.04762158629070691,0.47837824378968613,0.7436517918804882,0.39563668908559757
p21_straight_main_015,0.35227763552063995,0.16314691994342487,0.2888322199387767,0.13356421084717632,0.3682820025356688,0.21563124305882386,0.3762756340781158,0.16988772029629132,0.1996291789210841,0.262061603204755,0.3093164206521317,0.19940365792619485,0.191817586989891,0.21157554033971365,0.29026741111493193,0.15321224387489063,0.9722212514975528,0.36928093678123036,0.3734821589528935,0.29830018541112946,0.2888032839594675,0.04894832460557689,0.05721516528664167,0.05599136675974893,0.6121299829347148,0.9113354850986722,0.4836634259292106
p21_straight_main_016,0.34395808441009096,0.166426028302814,0.3338105395622838,0.14569184177563405,0.37929591766649084,0.20337456918543673,0.35704402690196957,0.14795941855812195,0.1984437877273196,0.2872017953945402,0.3177414727644742,0.19737202539116327,0.19400835501246863,0.20760002592160212,0.27875208553874165,0.14967767488214584,0.9624158642116729,0.3579259196089932,0.36364540075007984,0.246540211647377,0.2505313583184065,0.048909344422890536,0.05366572132794615,0.051804003916880316,0.6196629562578995,0.9065453961082979,0.4791747000125891
p21_straight_main_017,0.33448768545582136,0.1622076823643447,0.25239496725811816,0.1605200410117679,0.24278681991204945,0.13621185594573598,0.17628595271311276,0.08848495620134605,0.1667141236133865,0.23994229568539133,0.3112921170961099,0.18070097086315712,0.1652377419788617,0.1645921573376495,0.31657244960946274,0.13464212160923064,0.8917116835641856,0.2799312471931339,0.2808325650186409,0.2740694923039736,0.2917357949952296,0.04829006661452103,0.04793244317622011,0.047622054678604066,0.5136623228181104,0.7746862498122598,0.4111541522454319
p21_straight_main_018,0.2970676885004311,0.1547206542448004,0.18114280500171737,0.10933415464282162,0.25890359799152973,0.06905526435553522,0.10950979288313833,0.01640864327848794,0.09835604248757338,0.1476540475861815,0.14759636766558892,0.029908292716486973,0.13287698105120968,0.12348403448591452,0.2555549857357329,0.09480248604469496,0.8374279469849085,0.23722092716851578,0.24289691550328202,0.2034896261779818,0.19328277497790686,0.04773002047360006,0.04764809082628427,0.04761905176091902,0.5224404544271046,0.47225576356641996,0.25993740766366946
p21_straight_main_019,0.3525704007194251,0.1736934055133953,0.30087841766025597,0.13193768945073797,0.3786293913772337,0.19727051530613382,0.35187375544889066,0.18242726474601773,0.19959147543641045,0.2834338743970049,0.30076549488423876,0.19651055894038388,0.19725351178792092,0.23003670513527202,0.33006912706195307,0.19022583711585403,0.9506410438098192,0.347252323422133,0.3522867910984327,0.2777833773995677,0.276211148919623,0.048959001794194705,0.05941201387719553,0.05005559220362174,0.6075639665196462,0.9344077698643076,0.4922316810339647
p21_straight_main_020,0.34929520983754336,0.17519851727939537,0.26493734946444014,0.14670667173523888,0.30668613552771407,0.16726462967435712,0.24928413992115123,0.1337065674583881,0.18358982138470714,0.2695632941452749,0.3272661343596003,0.18787227512556123,0.18201651934294866,0.1904200305496296,0.3103471052945047,0.15784336084893744,0.9326857457403426,0.32379614332138634,0.32796805831879156,0.2908480496500659,0.2974442556869112,0.04796283577669423,0.04793731628274722,0.047685808664079836,0.5678578314690721,0.8611872372021658,0.4544365229331228
