straight,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation
p08_straight_main_021,0.27438207414972315,0.3513663798247244,0.27500326837614947,0.2379917981066369,0.3090756198962429,0.12068088851485534,0.05207176110963073,0.05428420311872474,0.04897410254115123,0.3342337571388353,0.8627370267817027
p08_straight_main_022,0.2874803786744199,0.3603964268055861,0.2820700130596844,0.2333025294594524,0.31376671945141893,0.10994097572551786,0.0515581331418267,0.05471798551062485,0.049137312765971976,0.3473751994706467,0.8555987021815473
p08_straight_main_023,0.29654492265010807,0.36596526313743516,0.29046551381479446,0.23134915685958898,0.312883536774998,0.09212611108402638,0.051331357244690054,0.05609702876597197,0.0503028689874012,0.36739200719190573,0.834493662400964
p08_straight_main_024,0.2768034012302931,0.4020267270199058,0.22893095980696404,0.2824670435655474,0.2282420484345197,0.07954986878947914,0.05339933041421861,0.048786464212256374,0.04765625338345567,0.3857283552321976,0.7407339262508638
p08_straight_main_025,0.286285208774779,0.3550608974101491,0.27837626180907477,0.23686010180287362,0.3084934200163638,0.09466776245201966,0.048578999199032843,0.05527347394576046,0.049914697353781685,0.34742325045375255,0.8373925578591522
p08_straight_main_026,0.28423411594549175,0.36558488452949733,0.29681426729575444,0.23055556814623507,0.29934228516019684,0.08799400200675336,0.04938929436170925,0.05254793514773795,0.04904864523616894,0.3580679315696743,0.8301639844044388
p08_straight_main_027,0.2790106242350105,0.354291209055556,0.3199810730668894,0.22869630668002755,0.29686613831438124,0.11767564875464576,0.05222814020541908,0.05270256045131853,0.04853485910222021,0.37179717897029113,0.8534474279602229
p08_straight_main_028,0.2844826450070895,0.3570685171147031,0.28590325430062535,0.2398970159226696,0.29447059750897,0.11500602404202195,0.05081638957084954,0.05271128845484322,0.04841336107242293,0.3471925242564542,0.8530139048234266
p08_straight_main_029,0.2902902559479701,0.3491548051536961,0.28831117034799963,0.23893046655946842,0.32008617815789914,0.09075820047739311,0.04849454237635265,0.05509502525007982,0.050965213626760125,0.3626806793700689,0.8405160047689002
p08_straight_main_030,0.2913077484171517,0.3444718699824887,0.26517634971597,0.23172804776012135,0.307777640983299,0.081815083664416,0.04862435483762962,0.054587286399991344,0.04890933009522771,0.3310667809976611,0.8199110708752051
