straight,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,Overall,,
p17_straight_main_014,0.284267775,0.478624525,0.302769824,0.290822271,0.268663042,0.165902789,0.04814386,0.048184749,0.04773446,0.503278266,0.851582339,0.747091117,,
p17_straight_main_015,0.260578602,0.435821958,0.275687722,0.280431376,0.226691834,0.177046412,0.048133229,0.047834546,0.047643591,0.470444616,0.78643874,0.691640503,,
p17_straight_main_016,0.280967194,0.439153792,0.299617849,0.275505414,0.21766619,0.184347774,0.048035335,0.047779147,0.047621369,0.471522543,0.813461434,0.710879767,,
p17_straight_main_017,0.286578507,0.446364463,0.299806756,0.286503947,0.246563754,0.168709928,0.047981397,0.047829542,0.047654451,0.481971933,0.831603549,0.726714065,,
p17_straight_main_018,0.287012687,0.441982228,0.299138667,0.284832811,0.244741221,0.170142675,0.048181108,0.047859307,0.047665515,0.484724978,0.824653689,0.722675076,,
p17_straight_main_019,0.276416029,0.443161913,0.28672914,0.280923524,0.230746045,0.176129084,0.048063081,0.047817254,0.047632361,0.476435458,0.80869439,0.70901671,,
p17_straight_main_020,0.270978696,0.446102637,0.281788214,0.292466088,0.215283475,0.172084737,0.048250848,0.047742086,0.047627515,0.481936523,0.792182463,0.699108681,,
p17_straight_main_021,0.266199593,0.417761112,0.232632573,0.303865147,0.201004253,0.164282108,0.048079967,0.047762961,0.047641762,0.454937233,0.728707851,0.646576665,,
p17_straight_main_022,0.293167838,0.486352142,0.317088274,0.311269204,0.266041024,0.159994066,0.04831188,0.04828563,0.047679092,0.548341081,0.841455337,0.753521061,,
p17_straight_main_023,0.269101005,0.421118182,0.235185438,0.316282524,0.206181419,0.154373122,0.048140899,0.047890634,0.047627894,0.466847108,0.732866952,0.653060999,,
p17_straight_main_024,0.26462987,0.489854591,0.297775808,0.283881884,0.217943826,0.167710263,0.049715229,0.051124913,0.047866026,0.479714347,0.807183929,0.708943055,,
p17_straight_main_025,0.269075212,0.471089348,0.303185511,0.287629075,0.265338407,0.164525795,0.04836478,0.0482054,0.047719858,0.495544542,0.840819065,0.737236708,,
p17_straight_main_026,0.258993362,0.419496174,0.257221772,0.297667175,0.21509584,0.157730952,0.048024972,0.047811182,0.047624767,0.47098989,0.736907652,0.657132323,,
