hook_left,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,Overall,,
p17_hook_left_main_012,0.296754727,0.490335878,0.318815149,0.295973985,0.3066438,0.137720336,0.068900679,0.073278863,0.048080353,0.528728322,0.822773744,0.734560118,,
p17_hook_left_main_013,0.321895946,0.499798222,0.313221459,0.273609142,0.297411156,0.140270553,0.071180546,0.067034661,0.048156649,0.555097008,0.78310494,0.71470256,,
p17_hook_left_main_014,0.316818948,0.500199787,0.303348476,0.304120737,0.316485829,0.133509424,0.070402076,0.075872096,0.048207717,0.555255648,0.80344266,0.728986557,,
p17_hook_left_main_015,0.315986309,0.498863007,0.300020523,0.306457694,0.309671262,0.132942379,0.069042758,0.075042784,0.048372553,0.535109292,0.818058504,0.73317374,,
p17_hook_left_main_016,0.312794623,0.492750137,0.308628975,0.289075636,0.319940787,0.134183929,0.069963754,0.070422207,0.047835151,0.564089697,0.790476272,0.722560299,,
p17_hook_left_main_017,0.303671023,0.48546466,0.327545268,0.281262784,0.29338489,0.150346027,0.068705713,0.068435957,0.04789173,0.551901986,0.797951151,0.724136402,,
p17_hook_left_main_018,0.301975703,0.48643722,0.314986998,0.269211471,0.280726713,0.146525068,0.066672067,0.063354725,0.047676433,0.541227878,0.77576768,0.705405739,,
p17_hook_left_main_019,0.290131707,0.460909181,0.30928881,0.263782597,0.304562271,0.150034138,0.069661177,0.074834536,0.047781136,0.497064134,0.802592607,0.710934065,,
p17_hook_left_main_020,0.300751713,0.475915059,0.312131018,0.28779162,0.311109244,0.143246271,0.069527052,0.070155221,0.047679911,0.54825496,0.795305295,0.721190194,,
p17_hook_left_main_021,0.295351134,0.471687092,0.308165334,0.279616892,0.31148501,0.134966088,0.069945439,0.071280594,0.047737424,0.524129505,0.79337695,0.712602717,,
p17_hook_left_main_022,0.300040562,0.474390358,0.313758959,0.274728759,0.307793219,0.143115075,0.07150868,0.069708715,0.048130058,0.538692851,0.788301604,0.713418978,,
p17_hook_left_main_023,0.314772905,0.491195444,0.315690217,0.284539139,0.31082442,0.131515165,0.07100248,0.066996613,0.04782236,0.556732271,0.792755859,0.721948782,,
p17_hook_left_main_024,0.299464056,0.482718485,0.311592599,0.272457264,0.304696412,0.136017764,0.07090057,0.072683947,0.047904392,0.526458085,0.786843639,0.708727973,,
p17_hook_left_main_025,0.30477185,0.477003931,0.307290712,0.277782526,0.306775122,0.141658058,0.071474111,0.068483574,0.047803673,0.538024322,0.787882181,0.712924823,,
