hook_right,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,Overall,,
p07_hook_right_main_025,0.235891525,0.438373025,0.3256209,0.338280391,0.303568451,0.258864608,0.048460889,0.053094667,0.050480829,0.613890045,0.878747763,0.799290447,,
p07_hook_right_main_026,0.258790971,0.460387687,0.337657462,0.336489085,0.297140034,0.273251811,0.048781486,0.055073253,0.051559175,0.649935592,0.881297599,0.811888997,,
p07_hook_right_main_027,0.262096666,0.455705436,0.321103203,0.325866983,0.336470439,0.287758035,0.050539279,0.063392818,0.048853723,0.653270536,0.897221539,0.824036238,,
p07_hook_right_main_028,0.247967178,0.43132466,0.314433476,0.339463683,0.316110523,0.271433081,0.048755088,0.050614728,0.049612136,0.644724167,0.867792196,0.800871788,,
p07_hook_right_main_029,0.251777219,0.450634434,0.317574155,0.324772672,0.308780555,0.251607264,0.050119143,0.055014933,0.048343014,0.633863614,0.85071735,0.785661229,,
p07_hook_right_main_030,0.222939711,0.396177053,0.225973941,0.306874286,0.148740515,0.215830241,0.048856189,0.047752714,0.047626655,0.483295582,0.667356323,0.612138101,,
p07_hook_right_post_001,0.283175119,0.461656324,0.31039264,0.318735995,0.314858912,0.285806709,0.05002924,0.054806446,0.048197598,0.666142608,0.865845187,0.805934413,,
p07_hook_right_post_002,0.290885851,0.452249012,0.305996289,0.327854408,0.264636245,0.281896435,0.048714468,0.047721287,0.048652271,0.62647751,0.86429366,0.792948815,,
p07_hook_right_post_003,0.301390177,0.45164403,0.325189438,0.32554438,0.253569872,0.266751756,0.048660568,0.047741186,0.048369572,0.625092847,0.862275568,0.791120752,,
p07_hook_right_post_004,0.296647741,0.446375186,0.309573838,0.337664099,0.2533578,0.277521529,0.048554638,0.04772689,0.049317183,0.617809187,0.86984489,0.794234179,,
p07_hook_right_post_005,0.241276081,0.377556798,0.228188756,0.306915639,0.172482105,0.250551526,0.048998991,0.047712763,0.047625517,0.510436553,0.70674757,0.647854265,,
p07_hook_right_post_006,0.278617444,0.447892213,0.309239334,0.326650101,0.261451491,0.278074772,0.048723207,0.047908223,0.048691906,0.60837931,0.867674602,0.789886014,,
p07_hook_right_post_007,0.274654135,0.448657808,0.306997553,0.329799101,0.266012902,0.270757524,0.048677709,0.047738203,0.048274894,0.612630208,0.860413222,0.786078318,,
p07_hook_right_post_008,0.273130807,0.44381035,0.303960291,0.320704672,0.262189076,0.290286296,0.048548312,0.047763854,0.049059287,0.609191546,0.862031312,0.786179382,,
p07_hook_right_post_009,0.282601725,0.442604106,0.326432876,0.330830425,0.295673094,0.290136944,0.048484116,0.047832243,0.049489833,0.67903033,0.863628499,0.808249049,,
p07_hook_right_post_010,0.294285644,0.479613447,0.336784855,0.337255329,0.321734978,0.290708671,0.050241176,0.063930177,0.049787319,0.700147539,0.895256512,0.83672382,,
p07_hook_right_pre_001,0.225097413,0.458032048,0.227680317,0.328412643,0.267386552,0.281791167,0.048543185,0.048821825,0.049303498,0.542975764,0.840705723,0.751386735,,
p07_hook_right_pre_002,0.213462533,0.45535557,0.213698408,0.327622035,0.262413328,0.280845798,0.048692363,0.048405704,0.048607522,0.554317439,0.802640997,0.728143929,,
p07_hook_right_pre_003,0.216454746,0.422275074,0.255447827,0.320569556,0.172418333,0.272920543,0.049371589,0.047872583,0.047697504,0.502609014,0.790242312,0.703952322,,
p07_hook_right_pre_004,0.257450655,0.402203687,0.242852001,0.317388475,0.175930922,0.284572186,0.049136763,0.047781126,0.047672108,0.504086203,0.788434868,0.703130269,,
p07_hook_right_pre_005,0.266279773,0.471776083,0.305361626,0.345679721,0.276016967,0.275956434,0.048879327,0.048856417,0.048287871,0.643467814,0.868939284,0.801297843,,
p07_hook_right_pre_006,0.22099487,0.424776889,0.252676025,0.320620313,0.224890322,0.233105448,0.0510494,0.047929601,0.047693686,0.563353128,0.733025717,0.68212394,,
p07_hook_right_pre_007,0.222729068,0.478821391,0.257518892,0.334482239,0.268216126,0.288647514,0.048822026,0.04885401,0.048671702,0.596325052,0.840327215,0.767126566,,
p07_hook_right_pre_008,0.240438435,0.482230179,0.310155943,0.330111506,0.294647208,0.287630327,0.049027406,0.050029551,0.048960911,0.651044876,0.868506791,0.803268216,,
p07_hook_right_pre_009,0.25534713,0.493675556,0.314166123,0.323976897,0.315873019,0.294732873,0.050169575,0.0554444,0.049215861,0.675191683,0.877764636,0.81699275,,
p07_hook_right_pre_010,0.248063455,0.471916982,0.263743095,0.314710919,0.284292403,0.293808527,0.048907035,0.04893015,0.048079472,0.609473732,0.846577421,0.775446314,,
AVG,0.25141425,0.443788965,0.283691717,0.324225713,0.259199302,0.272221683,0.049156436,0.050516926,0.04897097,0.595656777,0.827518264,0.757959818,,
