uppercut_left,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,Overall,,
p11_uppercut_left_pre_001,0.31187787,0.461957833,0.24216044,0.270353955,0.243701479,0.285839239,0.052159224,0.048076547,0.047625727,0.518266778,0.841186789,0.744310786,,
p11_uppercut_left_pre_002,0.269044518,0.430412152,0.272935917,0.278347559,0.227040883,0.249461607,0.05182101,0.048442803,0.047657808,0.480493475,0.830991899,0.725842371,,
p11_uppercut_left_pre_003,0.279627738,0.450827688,0.252248939,0.267264962,0.242513054,0.24850227,0.052067044,0.047973034,0.047654432,0.477271126,0.83319323,0.726416599,,
p11_uppercut_left_pre_004,0.263052441,0.44864302,0.280297276,0.292732632,0.241671175,0.242248277,0.05215651,0.048514758,0.047805445,0.503039427,0.842166335,0.740428263,,
p11_uppercut_left_pre_005,0.266182452,0.440813275,0.284357465,0.284542029,0.232445637,0.240456636,0.052226673,0.048420764,0.04775634,0.503920957,0.823955493,0.727945132,,
p11_uppercut_left_pre_006,0.256997469,0.439971126,0.280432975,0.281566618,0.224708732,0.242387748,0.051576643,0.048901027,0.04776112,0.493023075,0.815899013,0.719036232,,
p11_uppercut_left_pre_007,0.245080505,0.402872728,0.296853709,0.281019807,0.210212596,0.237481982,0.053455917,0.048090829,0.047635579,0.505608292,0.774666643,0.693949137,,
p11_uppercut_left_pre_008,0.263393709,0.452908989,0.245944521,0.271248694,0.232205616,0.280088047,0.052925991,0.047964629,0.047654318,0.485858141,0.832181284,0.728284341,,
p11_uppercut_left_pre_009,0.291675042,0.474189049,0.274261047,0.228157794,0.252280282,0.223998678,0.053263188,0.048494627,0.047668725,0.455582711,0.840778997,0.725220111,,
p11_uppercut_left_pre_010,0.265695983,0.444113617,0.301230825,0.286827844,0.244641966,0.226316913,0.051536826,0.048835006,0.047866789,0.514466515,0.83182021,0.736614102,,
AVG,0.281375102,0.431711851,0.244576739,0.277080052,0.211717265,0.242537763,0.051844495,0.048136138,0.047644767,0.456786893,0.811260807,0.704918633,,
