jap,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,,
p08_jap_main_014,0.29450324,0.499426172,0.340227245,0.3349663,0.282620885,0.20384523,0.047980573,0.049424728,0.047711399,0.572754648,0.92594245,,
p08_jap_main_015,0.280149893,0.49148107,0.329241436,0.32466499,0.266755519,0.21450744,0.047788422,0.04841453,0.047654642,0.55879002,0.906414478,,
p08_jap_main_016,0.287392299,0.489627839,0.337782181,0.306975263,0.281760246,0.221103035,0.04782978,0.048454922,0.047675519,0.550982198,0.927041376,,
p08_jap_main_017,0.262957863,0.501344408,0.322800558,0.335468621,0.298317546,0.240656332,0.047948018,0.049348695,0.048119563,0.586855911,0.930252508,,
p08_jap_main_018,0.256256641,0.496931617,0.341575439,0.328638495,0.273981545,0.222672884,0.047823618,0.048393489,0.047654247,0.562866113,0.921120059,,
p08_jap_main_019,0.297657735,0.475085849,0.310743871,0.326046943,0.27494267,0.179594902,0.047924805,0.05038822,0.047626527,0.551069035,0.868847286,,
p08_jap_main_020,0.272592113,0.495321753,0.338195103,0.314108098,0.284395132,0.228977061,0.047750048,0.048892556,0.047753294,0.556570648,0.93212764,,
p08_jap_main_021,0.267222571,0.498533055,0.345123966,0.313630775,0.287840389,0.231605048,0.047850638,0.049380688,0.047656381,0.565588167,0.932508489,,
p08_jap_main_022,0.272708327,0.489017592,0.342677359,0.307793058,0.294853498,0.229253045,0.047893321,0.048362571,0.047635479,0.575497737,0.921400577,,
p08_jap_main_023,0.276288344,0.494651391,0.349192583,0.312131767,0.308698609,0.237543049,0.047831351,0.049218006,0.04763584,0.59917091,0.9338443,,
p08_jap_main_024,0.288328225,0.460918624,0.313651953,0.316755615,0.319347507,0.198020095,0.047880541,0.049458946,0.047748519,0.563164685,0.899965843,,
p08_jap_main_025,0.33450534,0.45976532,0.326235443,0.326039985,0.295720722,0.196119876,0.048000495,0.05018767,0.047639487,0.597694992,0.88491346,,
p08_jap_main_026,0.258139327,0.487450488,0.331148835,0.319554927,0.336464737,0.252481783,0.047946999,0.049107004,0.047666594,0.61955223,0.929646894,,
p08_jap_main_027,0.277750099,0.493581496,0.321905756,0.283182128,0.329108568,0.179952603,0.048998304,0.047843613,0.047619302,0.560403612,0.88241681,,
p08_jap_main_028,0.250316148,0.493061336,0.347460406,0.313225704,0.323089277,0.226815756,0.047902632,0.049167171,0.047644899,0.599219705,0.923357796,,
p08_jap_main_029,0.254979382,0.492799893,0.343697169,0.338415168,0.337254504,0.228339563,0.053210119,0.050341718,0.047684384,0.622294214,0.930350957,,
p08_jap_main_030,0.270661539,0.475127219,0.313384325,0.301749673,0.356879484,0.191988079,0.069611534,0.063576976,0.047620745,0.563931627,0.877840052,,
p08_jap_post_001,0.314660545,0.467333491,0.332093732,0.321411115,0.297119495,0.203148601,0.048008062,0.052135796,0.047667351,0.577148422,0.906274629,,
