uppercut_right,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,,
p08_uppercut_right_post_006,0.335611344,0.398908992,0.344744511,0.250092678,0.312202724,0.218538959,0.053585736,0.048090945,0.048877651,0.510498691,0.910811645,,
p08_uppercut_right_post_007,0.272572356,0.394140142,0.222603665,0.242820297,0.23246661,0.193062156,0.055135632,0.047943106,0.047623237,0.533519004,0.62832493,,
p08_uppercut_right_post_008,0.310603406,0.448226256,0.344081808,0.272874838,0.316794006,0.222975517,0.062292662,0.058886185,0.050809124,0.566361568,0.876489911,,
p08_uppercut_right_post_009,0.355779957,0.395765352,0.302970228,0.247110492,0.295287813,0.213370881,0.053296539,0.048270598,0.048747324,0.452029671,0.910115925,,
p08_uppercut_right_post_010,0.347380127,0.405549055,0.29860241,0.25531034,0.29207111,0.224245466,0.053896931,0.048614245,0.047966832,0.457633539,0.917485242,,
p08_uppercut_right_pre_001,0.342105238,0.421534288,0.286211745,0.267254843,0.315540429,0.259658072,0.057509235,0.048065156,0.047951776,0.55423534,0.882867468,,
p08_uppercut_right_pre_002,0.351718145,0.430446575,0.276646603,0.289725035,0.312202051,0.251059141,0.056606518,0.047888672,0.048053883,0.570952661,0.880362822,,
p08_uppercut_right_pre_003,0.317916983,0.433480824,0.242602252,0.274897628,0.29623879,0.294787853,0.055431735,0.050120329,0.04770125,0.578028464,0.840348438,,
p08_uppercut_right_pre_004,0.342267757,0.434368005,0.281757931,0.30417988,0.347234671,0.275888034,0.064866077,0.055409705,0.050082426,0.601566315,0.903970144,,
p08_uppercut_right_pre_005,0.317566585,0.425652862,0.253592274,0.28714802,0.283125602,0.218341265,0.056600023,0.048109927,0.047701708,0.504032631,0.844873575,,
p08_uppercut_right_pre_006,0.336612507,0.429636558,0.276044215,0.28507024,0.307292349,0.219489309,0.056983595,0.047991405,0.047935199,0.529639639,0.870178793,,
p08_uppercut_right_pre_007,0.325141437,0.412568976,0.248496969,0.283030249,0.279524646,0.227062573,0.055689168,0.04794933,0.047637816,0.522643287,0.813477754,,
p08_uppercut_right_pre_008,0.33540224,0.379611181,0.281017915,0.282237077,0.28611745,0.199034442,0.053864109,0.048902013,0.048023226,0.449045541,0.885810737,,
p08_uppercut_right_pre_009,0.327939457,0.393311481,0.270013906,0.244241551,0.302424973,0.26924394,0.06277792,0.053983314,0.047626971,0.598866444,0.766114477,,
p08_uppercut_right_pre_010,0.351586247,0.379755498,0.302834561,0.283909412,0.296320272,0.185862498,0.05419018,0.049153337,0.0477956,0.478849995,0.885019736,,
AVG,0.333460014,0.411392195,0.299664699,0.264179169,0.306157543,0.234813267,0.056423868,0.049188625,0.048582831,0.537662268,0.867265521,,
