jap,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,Overall,,
p08_jap_main_016,0.278428584,0.49619596,0.349389507,0.321055419,0.294239603,0.234101349,0.047741293,0.048180083,0.04766527,0.604854097,0.92265135,0.827312174,,
p08_jap_main_017,0.252170458,0.501919592,0.324592982,0.31407266,0.30040505,0.256001506,0.047758927,0.048551192,0.047704419,0.589619917,0.920275656,0.821078934,,
p08_jap_main_018,0.246291123,0.500618707,0.333949057,0.325824921,0.284076799,0.238670144,0.047757094,0.048183796,0.047711435,0.578050842,0.917124826,0.815402631,,
p08_jap_main_019,0.281676007,0.482683907,0.31139382,0.327962303,0.27591458,0.177422912,0.048061757,0.049731405,0.047771815,0.544469611,0.872581751,0.774148109,,
p08_jap_main_020,0.261664652,0.498605482,0.3393918,0.328730278,0.29732929,0.242265185,0.047735428,0.048334366,0.047708927,0.602644738,0.923745689,0.827415404,,
p08_jap_main_021,0.255176812,0.501454803,0.34140031,0.304302381,0.295557556,0.244672475,0.047766296,0.048479958,0.047652504,0.582230418,0.918680889,0.817745748,,
p08_jap_main_022,0.263047305,0.496360301,0.348144726,0.293939598,0.309993848,0.246469178,0.047807189,0.048239588,0.047637997,0.600559278,0.918378273,0.823032575,,
p08_jap_main_023,0.267485005,0.503799628,0.350238016,0.310563222,0.317513175,0.252388696,0.047759481,0.048358491,0.047641372,0.629559389,0.926992957,0.837762887,,
p08_jap_main_024,0.300737041,0.486929282,0.302994469,0.304620652,0.286511323,0.215869886,0.048144476,0.048674889,0.047640727,0.543615493,0.901572629,0.794185488,,
p08_jap_main_025,0.305010602,0.465306682,0.329542243,0.328042409,0.291941798,0.192288183,0.048194639,0.050517507,0.047671167,0.582929206,0.8841741,0.793800632,,
p08_jap_main_026,0.245530496,0.496099495,0.328616756,0.308605381,0.334038649,0.266177676,0.047863174,0.048169432,0.047692408,0.634579507,0.910065824,0.827419929,,
p08_jap_main_027,0.267578202,0.500681073,0.316933653,0.290311315,0.299647769,0.177271446,0.048844522,0.047795197,0.047622025,0.530081713,0.881132254,0.775817092,,
p08_jap_main_028,0.242676965,0.500925719,0.350245779,0.32560643,0.315096699,0.243199918,0.04774124,0.048276584,0.047664743,0.62836957,0.918015324,0.831121597,,
p08_jap_main_029,0.244333299,0.497293858,0.346703163,0.325686614,0.329781705,0.244346789,0.052650679,0.049053872,0.047663305,0.626908456,0.922108707,0.833548631,,
p08_jap_main_030,0.256378631,0.495297233,0.309023636,0.300153951,0.335034763,0.19339503,0.069107867,0.066357839,0.047625656,0.541144591,0.874209992,0.774290372,,
p08_jap_post_001,0.297689918,0.480930598,0.334337349,0.307814517,0.310310729,0.210226945,0.048154834,0.051183649,0.04764587,0.588426657,0.902272826,0.808118975,,
p08_jap_post_002,0.224888728,0.49688826,0.332115281,0.299808535,0.291127136,0.245197072,0.047772436,0.047892395,0.047691167,0.565595327,0.899068567,0.799026595,,
p08_jap_post_003,0.281971229,0.479862046,0.303495382,0.301703035,0.291832744,0.177393232,0.047798051,0.048069924,0.047619477,0.541411986,0.86016631,0.764540012,,
