hook_right|p23_Global,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,Overall
p23_hook_right_main_026,0.23931583795167438,0.3418004939817001,0.20758335284223284,0.266950323696142,0.13983029856764986,0.09404716120498205,0.05214304005911357,0.04798511115983449,0.04761912225049435,0.4803963271093027,0.4589436647646729,0.19350815944275024
p23_hook_right_main_027,0.2299962831417516,0.3504577450351845,0.18509089900832346,0.25143771320932806,0.10378346147110551,0.08167400814447723,0.06659949021524458,0.057387748856571295,0.04761905102883189,0.40780254954393513,0.41919798851084616,0.177263262871917
p23_hook_right_main_028,0.25815215973789496,0.325935392524888,0.18735265640284812,0.2881730988900754,0.1412563936867193,0.14571800196694626,0.0526997289878672,0.048016300140139107,0.04761915311751535,0.472052362000397,0.5184089188163854,0.1909227970428011
p23_hook_right_main_029,0.2423947792721727,0.29936671567579015,0.1446782561267081,0.28428595987141325,0.1251332164733277,0.1387836443621307,0.05524624867242912,0.048097416313203745,0.04761918636051112,0.44546618340179683,0.4522954674220178,0.18293661612914322
p23_hook_right_main_030,0.2661676424212282,0.3197936366246406,0.17857736867493368,0.295012071365059,0.15371387262030503,0.16058225358525086,0.05363520834443271,0.04799914397533061,0.04761921637558243,0.48599981469999465,0.5303014097828389,0.19587805567325262
p23_hook_right_post_001,0.2353080514600165,0.325181950368034,0.18016757852961898,0.2726705079567872,0.06659162109885229,0.11708081558158537,0.05241220331463354,0.04793218205233521,0.04761907750528263,0.40950820921724007,0.4405909547442529,0.16995086486140293
p23_hook_right_post_002,0.28750638936118467,0.387423291244193,0.25016566751644714,0.28723050666222244,0.17196731826616451,0.11761436987688723,0.05244538586393274,0.04813644486804349,0.04761941761860348,0.5138777203383522,0.59721336584901,0.20481985035677613
p23_hook_right_post_003,0.23850508516778723,0.3265892450913723,0.18865484658187417,0.2761364620104647,0.12152793699863114,0.10358832250498243,0.05273360434158275,0.04801243217183034,0.047619100227676826,0.4461963224616866,0.4618902260552339,0.18231411965836658
p23_hook_right_post_004,0.26339261013122833,0.34895179213514027,0.19048397078871274,0.2843220817823723,0.06579532577696565,0.11459724739777943,0.05306902570099414,0.04788928356265268,0.04761914091909784,0.40010008334877945,0.5004542372404192,0.1670194642041421
p23_hook_right_post_005,0.22197535837153298,0.3365365121629409,0.18543855833535666,0.27455070078943294,0.06782567709223726,0.11413554606678536,0.0524800619905435,0.047994356807282465,0.04761909595683209,0.39480650701221826,0.46456405289779523,0.16509364193668138
p23_hook_right_post_006,0.21444877584886363,0.32436960862833664,0.18607332007937286,0.22170391762527325,0.12561761090782986,0.0842072317821159,0.053000699059525216,0.048027862089690995,0.04761905076692195,0.47497193289430967,0.34979768665540306,0.19200016468117528
p23_hook_right_post_007,0.22423460016780786,0.2858003545250515,0.14900723841558167,0.24614125548679838,0.11030281459530186,0.1112186038787966,0.05234885913518287,0.047991047771368346,0.047619067847933995,0.44950159300270504,0.3564800733935961,0.1832804999697521
p23_hook_right_post_008,0.2358994065536967,0.3246591865829166,0.17996815922294088,0.28382842217702287,0.11282833430922304,0.11683695912420307,0.05277187205863544,0.04796604780275807,0.047619124527615464,0.43730895631731215,0.4695494514025577,0.17934895872623519
p23_hook_right_post_009,0.2509486002378075,0.31902471898782003,0.2140753248619432,0.28349675996928225,0.14469001758255234,0.15610518071112622,0.053205469085879496,0.0480282995700709,0.047619264861651744,0.4738202982258553,0.5425508887251581,0.19168468896060187
p23_hook_right_post_010,0.2424105916741998,0.3951144523422538,0.22045533762761654,0.28578531409475233,0.07982232908051286,0.10767506700102278,0.052048785431524594,0.04797357389703803,0.04761923640374287,0.38682932735571823,0.569869890400698,0.16228389556142694
