uppercut_left|p16_Global,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,Overall
p16_uppercut_left_main_020,0.3341797994111729,0.47201742875326785,0.28651986883810976,0.3173393298545134,0.29309088358446045,0.22440367036532738,0.05048244334260305,0.048059438602869695,0.04764091662470035,0.6625901796409155,0.8058572799614337,0.25371068719546275
p16_uppercut_left_main_021,0.32723435419663804,0.4768771368900719,0.2940548415501108,0.3380573563094769,0.3057554133071071,0.21751459293756387,0.04979563434612785,0.04799882100834245,0.04767472228825166,0.6668596660929051,0.8351246966452183,0.25488470714912514
p16_uppercut_left_main_022,0.2556631722843398,0.47448436884123,0.30115039254670634,0.3163515550042016,0.25040643577256877,0.2050316517098297,0.050309320375198266,0.047731668325845786,0.0476250212101009,0.6497141453939367,0.7361063222303341,0.24925171136499358
p16_uppercut_left_main_023,0.3035073629101913,0.4759284650979684,0.3110242180978734,0.3334149739348299,0.29407051644312954,0.22579888537647325,0.050629215604710606,0.04775751118043149,0.047623264641147876,0.6736017849540643,0.8208098167391074,0.2573295039130688
p16_uppercut_left_main_024,0.28208254300441893,0.48637376127723303,0.2973930648525093,0.3228891559061259,0.26095926505328276,0.2014826261660853,0.05031709000746741,0.04822181269679745,0.04763558153903926,0.6576665427423851,0.7553529571292606,0.25206848181554997
p16_uppercut_left_main_025,0.2964895610770067,0.48143430102078033,0.31977979551408586,0.321746452358184,0.29520590204732733,0.21414905454302105,0.05039164928002783,0.04797817462000845,0.04765243381378337,0.6731920538892415,0.8093846049505553,0.2571872925964259
p16_uppercut_left_main_026,0.33617563118565336,0.48815952041987565,0.296433967922356,0.3069713178435272,0.32983093057140656,0.24222330124194968,0.05061723472327676,0.04789680673022438,0.04767302513694639,0.6756327329990176,0.8523333186777128,0.25804892481750624
p16_uppercut_left_main_027,0.3353539797303581,0.4800550981189379,0.31348760149675775,0.3250286370451362,0.30751112019711124,0.21936957030772133,0.05052646724814748,0.04789513143129518,0.0476371676230101,0.6890527097396273,0.8263410367051992,0.26249143613968995
p16_uppercut_left_main_028,0.30116493558641305,0.48890467117641806,0.2925744071939033,0.31748382972291894,0.28080005138483743,0.21897053913330114,0.05046027211786568,0.04822850759319721,0.04765830618112308,0.6307739579971959,0.819180139455026,0.24315424590275295
p16_uppercut_left_main_029,0.3205828269326355,0.4882448616842382,0.27908069981654743,0.30242758036740414,0.26083053353187774,0.20296104605013782,0.050479837012082265,0.047847298836562725,0.0476302494645341,0.6409306234511958,0.7546317121283309,0.2464192530999469
p16_uppercut_left_main_030,0.30541294858645707,0.46904978654255924,0.28279502772974735,0.30412934940423886,0.2657633984388651,0.19501642117621826,0.050623715472808924,0.04802936103794747,0.04763594757957548,0.6198942277481383,0.7596387138336853,0.2395157680862982
p16_uppercut_left_post_001,0.15413233227831935,0.30139731828231753,0.09510554874346465,0.10710549790830501,0.16610811073415332,0.1267155248548537,0.05076299823540834,0.04775072383213031,0.04761948105927508,0.6511292475337542,0.008268365514204347,0.2498809898670976
p16_uppercut_left_post_002,0.3020284252196862,0.4730766961513024,0.27017005817945694,0.30569492654495384,0.25567530394440846,0.1961512319843998,0.0501554664485725,0.04821463441080799,0.04764096348321722,0.6103657217851871,0.751801100689112,0.23624527421485586
p16_uppercut_left_post_003,0.3111935703854252,0.4859782042506026,0.30727165740131657,0.31634429392688534,0.26800196372975166,0.23529853199912196,0.05002891395804489,0.0479093313866331,0.04763995225783708,0.664649646939023,0.8054220871974015,0.25419596409456696
p16_uppercut_left_post_004,0.3427181882262219,0.47595132799909107,0.2833040562518226,0.3132742574457994,0.2698523129655797,0.24465086635740846,0.05008777148343556,0.04782998563629616,0.04763063062547727,0.6841404012408463,0.782229046948378,0.2606860527868593
