uppercut_right|p02_Global,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,Overall
p02_uppercut_right_main_014,0.1847993704104172,0.4239771944234362,0.2890666527523855,0.3033684561952843,0.237057631035437,0.11896863555120078,0.05263617855920505,0.04805286283690425,0.047639957906788016,0.6016786289804558,0.5897125585321275,0.23412255679218835
p02_uppercut_right_main_015,0.10601680651126814,0.31646712366892044,0.1959243092452473,0.20217286303252374,0.17434042044509507,0.06349669878349293,0.05200289987478707,0.04775623081413914,0.047621080012484426,0.5963888107707097,0.19023929114320506,0.23204931381987862
p02_uppercut_right_main_016,0.14089177187705318,0.37042827928824856,0.22593724293948592,0.24745678611552827,0.2117930677050758,0.08565237553179293,0.052139568344734225,0.04783551216297802,0.04762203567132314,0.5950785165414149,0.3733946926425945,0.231684532349709
p02_uppercut_right_main_017,0.12840386951395313,0.35079419167256,0.20932190800251163,0.2296516343929471,0.19612780330498444,0.0695648997249042,0.05202469016682471,0.04778270858831622,0.047621148401233035,0.590442146141891,0.294823424833681,0.23008318163234398
p02_uppercut_right_main_018,0.1370032402064109,0.34336282829302406,0.19699716446644158,0.22889631286932105,0.19006086792540736,0.08991045815245777,0.053227492574122695,0.04780686983071501,0.047622664836313916,0.5800607289301295,0.30964745951511147,0.22703169711165572
p02_uppercut_right_main_019,0.12859496186729552,0.3499178960490893,0.20161880519280131,0.23334541169583806,0.18518522151845324,0.0835603408800186,0.05123228724632885,0.04781103397949224,0.04762497545101773,0.5918708184489354,0.29415813223135356,0.2303047132249188
p02_uppercut_right_main_020,0.1197743502169204,0.3374982585801793,0.19575038658438862,0.22496080333041082,0.19090756115623436,0.06899591032780485,0.051129353811658784,0.04778049271006902,0.04762088473454075,0.5866671350993358,0.2642494033090087,0.2285256605403545
p02_uppercut_right_main_021,0.12413857643626518,0.3282300397149259,0.1921512723622315,0.20804239872348917,0.1925462100206618,0.07617853779757888,0.0569435735714654,0.048049937427331386,0.04762011790615134,0.5829457786965705,0.2513301320045186,0.22931309656512242
p02_uppercut_right_main_022,0.10533980656189064,0.31343420032265396,0.15998579930207996,0.20113841037623575,0.16899342294536085,0.058756815059606934,0.05231795283449638,0.047784333867820855,0.04762052995522502,0.559733374532758,0.17790598081420855,0.2199452204116917
p02_uppercut_right_main_023,0.05766466244870762,0.2593120694341752,0.13577225852548672,0.14711484339182196,0.13021735141271368,0.035605464776699985,0.05154322323945629,0.047790751611404926,0.047620531701671354,0.5147270293032109,0.028827369409864263,0.2046870013846907
p02_uppercut_right_main_024,0.05476678834449965,0.1932427501430929,0.11908349937308609,0.14212063741304792,0.07936599425720543,0.058735812506065785,0.05469116305456384,0.04787346505444236,0.0476206127137229,0.4234934026632393,0.031760421883524,0.17535267692408182
p02_uppercut_right_main_025,0.054202220087681705,0.18344521662326424,0.10780611935287883,0.13259229314047177,0.06837233585700075,0.04607542724605881,0.05294017776817401,0.04788321479087306,0.04761999597394109,0.35886518897648406,0.04917582333326006,0.15322952717851038
p02_uppercut_right_main_026,0.05610372562313343,0.1912752065119184,0.10603057838805459,0.1262839408962806,0.06589948938063514,0.04808714999990523,0.05438744690239922,0.047896183127404776,0.047621790388764226,0.359717894406322,0.042726571127545666,0.15400050814537533
p02_uppercut_right_main_027,0.03345507215905733,0.19463780472542713,0.09575321799456905,0.14327802021620245,0.07667925004467542,0.03094034788078383,0.05110580552381251,0.04776872599105836,0.04761952636914614,0.37625520365647486,0.02034080496205424,0.15837657839044855
p02_uppercut_right_main_028,0.038901315696122915,0.1975889965608199,0.11046196782137156,0.1417967597083772,0.07357271033743748,0.029809831213592698,0.05210290716901063,0.0477247438409998,0.047619306931685625,0.3850445651024422,0.023572233745052733,0.16162407203748422
p02_uppercut_right_main_029,0.051944887784538096,0.22182555933092343,0.1171837615236376,0.13307761277597013,0.094370223850062,0.03784123807981224,0.05583039402576959,0.047918942640663674,0.047619415135712516,0.42919165386051905,0.02097597228754004,0.1776469968423174
p02_uppercut_right_main_030,0.17519533343733462,0.403912180329381,0.26476327417557177,0.29753486767370985,0.2256190006244954,0.10969823231150948,0.05403125575402559,0.04799846429054497,0.047625878841870896,0.5547184601929509,0.5720952439099929,0.2189160600791738
p02_uppercut_right_post_001,0.15404929914401183,0.39440261853923236,0.22821833977780298,0.2831122925071251,0.1868788767706115,0.10032129271522383,0.05256306598003736,0.048089570680980825,0.04762386259227399,0.558352280634635,0.4565645129366399,0.21966830576521773
p02_uppercut_right_post_002,0.08225723834224638,0.3310395576960683,0.2021073283766656,0.2075597567906467,0.14730217914132762,0.05279313659537861,0.052595621021486086,0.04804796032176172,0.04762051639098096,0.5785049521132593,0.1738303243364635,0.22638284448550233
p02_uppercut_right_post_003,0.0677526383765341,0.26893014267040555,0.1212263017166735,0.12203916518497464,0.11152165346491745,0.03655376985666202,0.06017956085749796,0.04828092545248529,0.047621175939410634,0.45559081930386397,0.029957162520941473,0.1880171018712824
p02_uppercut_right_post_004,0.05108934918128103,0.26726882071951014,0.10445156551168948,0.15542764984739435,0.09214686150266484,0.04797251012204948,0.052630572828450205,0.04778370920681474,0.047619944172503495,0.4529065786221255,0.04193317968304002,0.1844402868857968
p02_uppercut_right_post_005,0.0470994022875285,0.18631393442284172,0.11257211712877253,0.12932915307239662,0.07524542308320069,0.03614089224052549,0.05242645538385974,0.04779655327755302,0.04762002606253078,0.35920043577360816,0.046602391466601285,0.15314114814500696
p02_uppercut_right_post_006,0.042095392884322916,0.21610277762125793,0.11403642319763099,0.14222360475017473,0.08192519496115624,0.03215349088873115,0.05221440823693549,0.04777654300841787,0.047620049130362586,0.40813554550283715,0.026296284328063295,0.16937549891606352
p02_uppercut_right_post_007,0.05294800377697144,0.22734592290285466,0.1153711184976928,0.15532941572500203,0.10114053728010317,0.04379321348567319,0.056730730173073916,0.04796565709640898,0.047619512971845204,0.451891695305181,0.033395503539406284,0.18552936085822128
p02_uppercut_right_post_009,0.12670678736985463,0.34124649138593327,0.18392052165666523,0.22841441200482562,0.184935820419788,0.0888654605513359,0.05164404992717755,0.04791563687032358,0.047624614360633026,0.5469370580630222,0.3155362908896405,0.21549891495350776
p02_uppercut_right_post_010,0.051545631673266944,0.2577432457258994,0.11542925125892738,0.12789731096272564,0.139131371385194,0.03697365920694142,0.050392401245249054,0.04778111364043433,0.047620531759539446,0.4811096080135946,0.030704588330113507,0.19309437429975929
