hook_left|p24_Global,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,Overall
p24_hook_left_main_026,0.3409915854147877,0.3575359999563329,0.32028312878795273,0.3080318576394635,0.175255403298972,0.1984277175436628,0.07460737183171906,0.07307525083583717,0.04774793480772456,0.48051925767820897,0.7665734633487908,0.20940062678192173
p24_hook_left_main_027,0.3007238217462732,0.35065098248475446,0.27438745123534053,0.2883067420496483,0.14297906411406663,0.18512978053191526,0.07263582731239912,0.07366417877394509,0.04803432021990327,0.38700759486776815,0.7316517510469897,0.17776920031803745
p24_hook_left_main_028,0.33044093455328727,0.32521609159188175,0.2763549446093226,0.26855677944188183,0.18929416566040103,0.17766932791219955,0.07240676689287363,0.07163031493762018,0.04763257587870904,0.4810035558283349,0.6559692281021344,0.2083468792196096
p24_hook_left_main_029,0.3321654144709549,0.35514136772266897,0.3224702209359784,0.249606736517565,0.19579713158116502,0.16951698319986447,0.07081532377035518,0.07052755020832112,0.04765876240884062,0.38648607024525033,0.7938126993856123,0.17594298140797554
p24_hook_left_main_030,0.27323472260458254,0.33836931227496225,0.28085193827902927,0.2182518849643778,0.11151452685680208,0.11477563520628034,0.07120631507567243,0.06907421936145387,0.04764245836657438,0.35273571584754293,0.5839259025311849,0.16433875009488974
p24_hook_left_post_001,0.26566809091366156,0.35323494257963833,0.23025144551212523,0.2960404431659033,0.13712901985788625,0.17070642403272557,0.07284145413614304,0.07177342661772537,0.04765692546644072,0.35870926846292556,0.6858041141208241,0.167774716405598
p24_hook_left_post_002,0.27097332630553994,0.3590381125074006,0.25040244669853023,0.2568193695018869,0.1401090903167939,0.17235756933179366,0.07261927759922163,0.07079834157759592,0.04765584284727919,0.3694258623077427,0.6684738445531079,0.17094782716152007
p24_hook_left_post_003,0.2749955722238428,0.3065533786085471,0.20391859139638457,0.25857672752904626,0.14061082290329346,0.21189522267917676,0.07262977123857042,0.0719878416307252,0.04762904018112576,0.38631868633636984,0.6191505856301526,0.17697876640188848
p24_hook_left_post_004,0.2778938820397497,0.347806180161378,0.24396446128427365,0.27857654994317993,0.12355627806259879,0.1661726531729061,0.07184131244240849,0.07004353881152464,0.04764106907229485,0.38782173447498414,0.6401233858416604,0.17656886190963908
p24_hook_left_post_005,0.32838549634630915,0.3656614328832658,0.27245305600076464,0.31427971409294636,0.1359945954487062,0.2068653815916736,0.0709825393371001,0.07136635476798966,0.04780927583388637,0.42127742869941187,0.755670996873385,0.18787544093483385
p24_hook_left_post_006,0.3734509998489818,0.369559762858276,0.2692892087729811,0.32169048229376135,0.2086872463626847,0.28858725932038687,0.07198559381425902,0.07541201857701882,0.048055922007996216,0.4718700943079811,0.8778523720111371,0.20642256889975297
p24_hook_left_post_007,0.29580115157354914,0.3592158730824285,0.2488207642233918,0.30794500777457523,0.14381439821540995,0.2016583395086234,0.07243495559888655,0.07309992043179155,0.04778746368597612,0.3759292606985434,0.7529083632718268,0.17382137890974048
p24_hook_left_post_008,0.30346732721556813,0.35845632677549455,0.2586093052040249,0.32144017846699036,0.13513223290020573,0.18856718757203833,0.07284039167016176,0.07155308670331505,0.04824856557636213,0.4032380406573036,0.7330607759947562,0.18254383967692678
p24_hook_left_post_009,0.3431181173207916,0.3525155009956299,0.3118661923257576,0.27292832631664055,0.20611099931820834,0.2625584562537028,0.07231839818063773,0.0718956822992167,0.048415574692739015,0.49325958467875547,0.8041921674626561,0.21249122171953663
p24_hook_left_post_010,0.35904285390008794,0.35219362528602105,0.30949857477433096,0.2638214081674518,0.23710158203078935,0.2027677000707538,0.07381945438678955,0.07176482389350078,0.047672372395219424,0.4899271346236375,0.7746756398179276,0.21183713763464262
p24_hook_left_pre_001,0.31842954469431195,0.3436548084400255,0.2223014581560785,0.25481169532376935,0.1523577323690986,0.1818625209784809,0.07167570671949118,0.07032513251482614,0.04768242515853049,0.33635530924918605,0.7114510814698806,0.15945204949450112
p24_hook_left_pre_002,0.31174667639873804,0.34542580079758867,0.21695757703644233,0.25844649962013194,0.1417753495008643,0.16038191661595408,0.07097367068083488,0.07185142909706965,0.04768859359319304,0.299216135243603,0.7101419498823317,0.1473470783405025
