straight|p16_Global,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,Overall
p16_straight_main_011,0.33143486034185765,0.447393531815855,0.26930497882871307,0.3407433236064243,0.322726107977972,0.2505554534035888,0.05070421956334195,0.05250852755009185,0.0496086785233513,0.6296943826225987,0.8783282748666237,0.24430237657867748
p16_straight_main_012,0.3546488354235383,0.4457636733696783,0.21095520530354847,0.32914422703507595,0.34689001754142534,0.2905215111499122,0.04924220585214332,0.05070848179000391,0.047833424534408225,0.6920070945316208,0.827070117181107,0.263985927391256
p16_straight_main_013,0.3564343521496346,0.47630459544886,0.24350335800429615,0.3330682397386694,0.2964338779413701,0.23647064325897849,0.04943727895763587,0.04788716040690779,0.048209751513856966,0.6367079860934484,0.8352427465929884,0.244677475152664
p16_straight_main_014,0.31075402642459926,0.3923466426195269,0.22231758315495184,0.3033403227672776,0.1817124623876782,0.23450957759916952,0.05089158777915884,0.048330973734627664,0.04936095143624836,0.5120518738830399,0.724804712249521,0.20375814513227541
p16_straight_main_015,0.32855678732929566,0.4342270518209035,0.23233965125894027,0.30311379828658797,0.23052368060817047,0.2357888819104695,0.051267290663804914,0.04777280017037409,0.047625911781708864,0.565947645842392,0.7615396862717125,0.22166257889219032
p16_straight_main_016,0.34483238619439266,0.4369535250904554,0.2449413358914375,0.2689957718631685,0.23054724716334563,0.2426085027650844,0.05091801327680606,0.047836983663809646,0.047626204382676146,0.5485764087795559,0.7786599913826899,0.2157771352400572
p16_straight_main_017,0.3024437219809462,0.42095074291102536,0.2479011454217613,0.29986285368857,0.2576392437511284,0.23646712696205024,0.05102460098843385,0.04773310700771601,0.04762117743269369,0.6001311276970126,0.7495808480607414,0.23296294523105415
p16_straight_main_018,0.3170162628637831,0.42303742631422986,0.22077288080068627,0.31134048661175234,0.21311388910072818,0.20623025442484993,0.04971668716013192,0.0477113994252625,0.047620224778580154,0.5354423456140502,0.7418069654141375,0.2109568107331482
p16_straight_main_019,0.38048724718494564,0.465189449524808,0.21991223172401503,0.3518683289275277,0.3476951615252097,0.2735062145505137,0.04954856078100332,0.05279402724966691,0.05008947517590442,0.6738312666945749,0.8784073610817638,0.25872461824174836
p16_straight_main_020,0.37766819534416574,0.4738954103428317,0.22559344055656086,0.3458078915965424,0.34013077426196003,0.2748603472897684,0.0493498340965758,0.04794666264473846,0.048392279869066926,0.6820671667069036,0.8734958490482777,0.2597878878160726
p16_straight_main_021,0.29518735626639836,0.4467255299542292,0.22932829264472457,0.28124672651971594,0.22235478454170704,0.19179207538527812,0.04845837799051603,0.04766287927010982,0.04762262719971361,0.5237769143326073,0.7275650308887214,0.20663272386441103
p16_straight_main_022,0.36285100854301305,0.44104418545744917,0.22083679160495592,0.3226067137442846,0.3384042064939762,0.2776358505262291,0.049011578000902285,0.05368865764002589,0.05142880328306155,0.6272766317451598,0.8696422964946596,0.24332562246202932
p16_straight_main_023,0.3577146985773352,0.46042082560079844,0.20995137475373263,0.31816977838387595,0.34546949873566857,0.27101595335141027,0.04910687308908539,0.05193057799817426,0.049103799723377715,0.6222800190229176,0.8701877589976759,0.2411058233700591
p16_straight_main_024,0.317861164670617,0.42087314894322797,0.23721076993495216,0.2931305488308923,0.1783985978041879,0.16194758039273313,0.048972296043504976,0.04770174565582916,0.047623236605060605,0.5089849361760691,0.6845232192196322,0.20188632595846773
p16_straight_main_025,0.31826461878790696,0.418844881770433,0.2412975630906004,0.3007993465094339,0.2829368560107294,0.17908146064287989,0.04812464759974316,0.047684229142067484,0.04762423370364804,0.5980502524135832,0.7332204521317516,0.23128637638513128
p16_straight_main_026,0.3210615618806673,0.4109906021359901,0.2165405753140996,0.319318986493834,0.2781008805808266,0.22464587153285,0.05098945952871838,0.04771129037272346,0.047640066012868174,0.602540499394057,0.7470588272884569,0.2337470830984996
p16_straight_main_027,0.30855643547581046,0.4400435668603547,0.23564343418199513,0.27491617793421236,0.1828882254841581,0.154512751207277,0.04844619483773678,0.04771072300951167,0.04762227849295764,0.5119642946168852,0.670829475813053,0.20270707082137787
p16_straight_main_028,0.3384066094097085,0.42770409076785787,0.21828000674712483,0.26768271685567446,0.3247035592684851,0.2142343857700081,0.048603098111132524,0.047690779818381476,0.04862083334615887,0.625206977272623,0.7300531155391968,0.24050028506737897
p16_straight_main_029,0.31270395906315374,0.4461700130662686,0.22602529201239596,0.29604265676656555,0.23380381724901608,0.23340536385916577,0.04946533266607785,0.04774871168055518,0.04810789325486553,0.5541313574881478,0.7643894625193959,0.21711513394492693
p16_straight_main_030,0.2988187795178742,0.41321397797088666,0.2691626867201134,0.31002221426523086,0.2147524246175121,0.20151234347096025,0.04955311522040039,0.047751254209928706,0.047623358251697515,0.55619150434588,0.7438323705606752,0.21783195792540302
p16_straight_post_001,0.3420283163499057,0.43521580859259856,0.22943602697870466,0.2385037261957188,0.18830092913946733,0.16052707738244495,0.048702760714831476,0.04765960628488478,0.04772112143076433,0.5191796642066956,0.6465585047778754,0.20518067706880394
p16_straight_post_002,0.35880261611330255,0.4717166209832667,0.2628203594230081,0.3149138639043576,0.3336355675814716,0.2930098665111024,0.050021395408018324,0.047696900852459555,0.04786354995585535,0.6932597226011467,0.8699470351576708,0.2636593396205415
p16_straight_post_003,0.3164609548557638,0.41900929208367954,0.22582784377727308,0.2860953892045524,0.18059946879157085,0.18086013522763908,0.04859477266168343,0.04764899752317038,0.04761989031184691,0.5284703413705156,0.6670416694653349,0.20823803718512313
p16_straight_post_004,0.3610547722292422,0.48325987913825486,0.22018094207352767,0.30234816106553364,0.335857206293266,0.27361848126175403,0.04919324563602609,0.053020618596955546,0.048595580189519545,0.6165117030772681,0.8751183942842566,0.23957518910341657
p16_straight_post_005,0.21742335938870733,0.34630702063163443,0.15867826209744984,0.17007851824703069,0.15803231582285632,0.15442337477310927,0.048629365061310666,0.04768296688289372,0.04761912889207614,0.557428099631071,0.31586919333717467,0.21791347719175844
p16_straight_post_006,0.32098939778528085,0.44268361144601,0.2241817728851137,0.2998799883834063,0.19936426311000743,0.20697158371360186,0.05003488684720055,0.047725725264254344,0.0476209475713108,0.5360177446612587,0.7346766995406343,0.2112594522575712
p16_straight_post_007,0.1828414338606368,0.2914396178646511,0.07951028249215494,0.10562896687319842,0.19182222865148074,0.0784408739628926,0.049312335936994786,0.04772849352197623,0.04761904838173309,0.5969750847169878,0.030739557971154314,0.23133863805865293
p16_straight_post_008,0.3398975671877422,0.4503091647003269,0.24718216449594124,0.2749911909687074,0.29089807136712775,0.18306325829756961,0.04886890889605282,0.04765982627394201,0.047722737202219236,0.5876067314429385,0.7568607760299048,0.22804515553764443
p16_straight_post_009,0.299405256476697,0.4249305301107616,0.2282988592611273,0.2657052427580058,0.15392787089356186,0.18433720568322426,0.04860626943038468,0.04765119407497008,0.047627489400970245,0.5044736880572833,0.6509328550261438,0.20024371718754602
