uppercut_right,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,Overall,
p22_uppercut_right_main_017,0.186990989,0.42659269,0.211293925,0.272047443,0.189290505,0.194997905,0.048222902,0.047827216,0.047621933,0.514055364,0.602652394,0.576073285,
p22_uppercut_right_main_018,0.187285935,0.444292999,0.199589215,0.260438453,0.173216072,0.207040685,0.048303594,0.047922642,0.047619991,0.470418746,0.645848587,0.593219635,
p22_uppercut_right_main_019,0.239629506,0.456788028,0.264986762,0.251585837,0.236170615,0.201650625,0.048002324,0.048714869,0.047730825,0.504706434,0.741105551,0.670185816,
p22_uppercut_right_main_020,0.240993461,0.454492405,0.29200902,0.282375446,0.237085906,0.203781611,0.048053987,0.04824761,0.04777315,0.54055098,0.757937239,0.692721361,
p22_uppercut_right_main_021,0.203462252,0.446413159,0.197543964,0.263889377,0.201569944,0.181204377,0.048392329,0.047990346,0.047621643,0.487805421,0.627768257,0.585779406,
p22_uppercut_right_main_022,0.283063936,0.455624354,0.271734304,0.27934169,0.261115672,0.204072415,0.047846006,0.049263194,0.048140919,0.509458446,0.820637848,0.727284027,
p22_uppercut_right_main_023,0.269652683,0.468244523,0.25425451,0.258770737,0.233569768,0.215586663,0.047817733,0.04813165,0.047650007,0.472029269,0.804981856,0.70509608,
p22_uppercut_right_main_024,0.194440763,0.434469353,0.233388816,0.270482771,0.170320567,0.187051961,0.048365895,0.047922812,0.047620148,0.48459956,0.641593742,0.594495488,
p22_uppercut_right_main_025,0.180574731,0.432254837,0.191993022,0.260066851,0.179052754,0.169337889,0.048375078,0.048077599,0.047620374,0.441774808,0.612083661,0.560991005,
p22_uppercut_right_main_026,0.184271929,0.451933686,0.236881485,0.276821115,0.182537422,0.189148869,0.048237811,0.048125761,0.047638566,0.474522901,0.680136975,0.618452752,
p22_uppercut_right_main_027,0.204993183,0.425428372,0.209303087,0.270778367,0.187116459,0.207393839,0.048257924,0.048367044,0.047621869,0.504770757,0.631548824,0.593515404,
p22_uppercut_right_main_028,0.216934729,0.349621406,0.200603508,0.267290847,0.193137358,0.183754905,0.048550813,0.047901111,0.047624672,0.441847555,0.633284391,0.57585334,
