hook_left,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,Overall,
p22_hook_left_post_002,0.342529827,0.475773269,0.269726274,0.25919829,0.333257677,0.242994875,0.053176131,0.050524095,0.047667736,0.571125744,0.880141111,0.787436501,
p22_hook_left_post_003,0.297709304,0.486077712,0.306161214,0.240266355,0.32978095,0.24786225,0.054521525,0.049689888,0.047622619,0.566811522,0.880698412,0.786532345,
p22_hook_left_post_004,0.28612865,0.464937034,0.29870882,0.302776116,0.336142106,0.329808954,0.051194924,0.049272645,0.047704358,0.685397595,0.893872655,0.831330137,
p22_hook_left_post_005,0.267337093,0.463987512,0.286832266,0.260039259,0.309885808,0.289762397,0.051502724,0.048818147,0.047637906,0.564432769,0.883446444,0.787742341,
p22_hook_left_post_006,0.267438864,0.450346727,0.27066169,0.281442855,0.327354957,0.260027512,0.051389379,0.04872247,0.04762761,0.554420801,0.881821383,0.783601208,
p22_hook_left_post_007,0.25073165,0.469479949,0.290783121,0.288701479,0.322678287,0.239565591,0.051833346,0.049027118,0.047790251,0.612327781,0.827309603,0.762815057,
p22_hook_left_post_008,0.262257133,0.440431737,0.244435099,0.273146648,0.329618285,0.302397677,0.050043819,0.048236696,0.047648648,0.583019324,0.855544492,0.773786942,
p22_hook_left_post_009,0.276006224,0.45116146,0.272294679,0.264443096,0.302484809,0.260091339,0.051436423,0.048085363,0.047625009,0.554975982,0.840829048,0.755073128,
p22_hook_left_post_010,0.25534743,0.461450675,0.30310668,0.262538307,0.310823446,0.254401322,0.051075523,0.048662797,0.047712965,0.588918876,0.842634679,0.766519938,
p22_hook_left_pre_001,0.245983611,0.449782582,0.307317598,0.236336311,0.233467663,0.179191768,0.051343322,0.047917182,0.047619906,0.55314611,0.697260667,0.6540263,
p22_hook_left_pre_002,0.254692,0.429983364,0.242856348,0.182112093,0.314181852,0.264661396,0.049399333,0.048033399,0.047633404,0.467604711,0.818756659,0.713411075,
p22_hook_left_pre_003,0.27639635,0.464958335,0.259929696,0.189128476,0.319712744,0.270197333,0.050526632,0.048146981,0.047639612,0.492747359,0.859115504,0.749205061,
p22_hook_left_pre_004,0.289302086,0.466197898,0.265270164,0.228621856,0.333588285,0.245883918,0.051376643,0.048356573,0.047625559,0.522821751,0.868178915,0.764571766,
p22_hook_left_pre_005,0.301525774,0.433403171,0.266886807,0.187201347,0.334022637,0.26702223,0.049924438,0.04810935,0.047650373,0.531797339,0.834466517,0.743665764,
p22_hook_left_pre_006,0.268829781,0.455427106,0.279437987,0.195909992,0.333553736,0.270440348,0.050344962,0.048249622,0.047632334,0.561050754,0.822505348,0.74406897,
p22_hook_left_pre_007,0.263658463,0.454853774,0.258334712,0.198575757,0.327592855,0.272532355,0.049963752,0.048319653,0.047646526,0.506667468,0.850977999,0.74768484,
p22_hook_left_pre_008,0.295876272,0.448216231,0.276433108,0.250269115,0.319441682,0.230232975,0.051844349,0.04825454,0.047625774,0.55248678,0.834285709,0.74974603,
p22_hook_left_pre_009,0.256792517,0.453857516,0.273193852,0.202611753,0.335333734,0.280055819,0.049865188,0.048233518,0.047649403,0.535618145,0.852337887,0.757321964,
p22_hook_left_pre_010,0.276473675,0.471036652,0.29789328,0.259723637,0.325179794,0.23679063,0.052014917,0.04900989,0.047625397,0.581753376,0.847844017,0.768016825,
AVG,0.283068378,0.459444355,0.262922921,0.230027804,0.31860617,0.263812048,0.051310533,0.048701797,0.047651932,0.558921857,0.827380205,0.7468427,
