uppercut_left,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,Overall,
p22_uppercut_left_main_017,0.262479625,0.421956384,0.239300874,0.2514049,0.294591527,0.26561074,0.048313563,0.047760524,0.047776593,0.48862208,0.848823222,0.848823222,
p22_uppercut_left_main_018,0.244597902,0.477177249,0.225532761,0.237439691,0.312832122,0.289649629,0.048669268,0.049048185,0.048025968,0.516756608,0.852961822,0.852961822,
p22_uppercut_left_main_019,0.257953054,0.487016912,0.233599657,0.247963191,0.314273481,0.287618562,0.048886906,0.050567807,0.048076597,0.509294921,0.886245546,0.886245546,
p22_uppercut_left_main_020,0.240294668,0.484551148,0.243250662,0.25323856,0.304345546,0.287010795,0.048647872,0.048465371,0.047801243,0.547078621,0.846759516,0.846759516,
p22_uppercut_left_main_021,0.248133817,0.485533704,0.229688879,0.240941902,0.31800751,0.292422968,0.048519121,0.049588674,0.047936726,0.524158797,0.866505495,0.866505495,
p22_uppercut_left_main_022,0.23649241,0.430650035,0.268017896,0.26623918,0.297905636,0.264921893,0.048628961,0.047795477,0.047625351,0.543559235,0.829065642,0.829065642,
p22_uppercut_left_main_023,0.236533373,0.420693242,0.279080813,0.262377574,0.303137344,0.268479793,0.048501894,0.047798215,0.047623474,0.511381279,0.862266462,0.862266462,
p22_uppercut_left_main_024,0.222232781,0.418816235,0.27446263,0.256106349,0.268889416,0.248195568,0.048662379,0.047840354,0.047648862,0.503334249,0.803845034,0.803845034,
p22_uppercut_left_main_025,0.268244237,0.489787664,0.259044668,0.24637535,0.310061601,0.30026575,0.048953883,0.050434282,0.048229969,0.525729349,0.907185537,0.907185537,
p22_uppercut_left_main_026,0.242630846,0.466771611,0.323777404,0.306889951,0.289884045,0.252022279,0.049810616,0.047828147,0.047681455,0.606371235,0.854951754,0.854951754,
p22_uppercut_left_main_027,0.089536528,0.300022323,0.128325101,0.139498509,0.139077122,0.170652921,0.049158728,0.048400988,0.047620347,0.639468735,0.069687236,0.069687236,
p22_uppercut_left_main_028,0.262516052,0.488137294,0.242947628,0.247845864,0.311164094,0.298075475,0.05051135,0.056781228,0.047879951,0.563364287,0.845300072,0.845300072,
p22_uppercut_left_main_029,0.262070045,0.490426407,0.271157759,0.300004323,0.298535134,0.266588842,0.049715322,0.048254662,0.047648613,0.593851123,0.861520534,0.861520534,
p22_uppercut_left_main_030,0.220133544,0.406269159,0.271542609,0.25883439,0.28479843,0.262879407,0.048539945,0.047778878,0.047625595,0.536698576,0.793196061,0.793196061,
p22_uppercut_left_post_001,0.087700416,0.278839533,0.110756922,0.108694572,0.139143425,0.167831153,0.049164581,0.048300706,0.047619714,0.633529745,0.013621808,0.013621808,
p22_uppercut_left_post_002,0.252858382,0.472927451,0.247037688,0.276178228,0.319782267,0.268652777,0.050465771,0.051750302,0.04772066,0.558970567,0.85264368,0.85264368,
p22_uppercut_left_post_003,0.246937728,0.482347828,0.228217684,0.231750386,0.298596282,0.277291187,0.048424185,0.050226456,0.047980212,0.45551035,0.885903274,0.885903274,
p22_uppercut_left_post_004,0.24608878,0.417475464,0.25217333,0.254205028,0.307380299,0.269281623,0.048486401,0.047774578,0.047648218,0.501594399,0.850482343,0.850482343,
p22_uppercut_left_post_005,0.236373853,0.47034257,0.237039583,0.275796058,0.304980875,0.254293112,0.049394135,0.047827587,0.047626477,0.555066643,0.809840079,0.809840079,
p22_uppercut_left_post_006,0.232541102,0.426481643,0.268163738,0.263717245,0.296478378,0.251046897,0.04844706,0.04774299,0.047626429,0.536998399,0.815820912,0.815820912,
p22_uppercut_left_post_007,0.239634994,0.41917891,0.261686879,0.25832157,0.293768494,0.270842348,0.048432031,0.047780824,0.047630525,0.532245962,0.822073868,0.822073868,
p22_uppercut_left_post_008,0.274235946,0.483628225,0.266615515,0.281934802,0.317405808,0.247201132,0.049526345,0.048475402,0.047681273,0.602085915,0.835288432,0.835288432,
p22_uppercut_left_post_009,0.285635306,0.489976113,0.283844719,0.300545106,0.26214967,0.225434505,0.049583245,0.054776119,0.047665656,0.628363294,0.776322087,0.776322087,
p22_uppercut_left_post_010,0.235835773,0.443515924,0.312181547,0.303050505,0.300601902,0.255891882,0.04887528,0.047776932,0.047631343,0.60270716,0.846845558,0.846845558,
p22_uppercut_left_pre_001,0.268449562,0.434478683,0.245449655,0.226931086,0.293820911,0.272816096,0.048610617,0.048552028,0.047771242,0.509797492,0.824181354,0.824181354,
p22_uppercut_left_pre_002,0.264857785,0.469487013,0.28153192,0.285444269,0.293673858,0.255675614,0.049230328,0.048052312,0.047818322,0.572305959,0.853151153,0.853151153,
p22_uppercut_left_pre_003,0.250970033,0.418969117,0.290565548,0.265723531,0.289235393,0.25505015,0.048801988,0.047855382,0.047625573,0.571457975,0.805932179,0.805932179,
p22_uppercut_left_pre_004,0.269041919,0.430608244,0.24473388,0.243786505,0.304276596,0.250860057,0.048300589,0.047757021,0.047770312,0.499639614,0.837974229,0.837974229,
p22_uppercut_left_pre_005,0.251065447,0.42755009,0.274630601,0.268728784,0.292842493,0.26073495,0.048611716,0.047831129,0.047627747,0.563517772,0.815075214,0.815075214,
p22_uppercut_left_pre_006,0.235339578,0.429851689,0.287931596,0.277706602,0.264665854,0.22629006,0.048346226,0.047796057,0.04770819,0.554887814,0.782052771,0.782052771,
p22_uppercut_left_pre_007,0.269456846,0.419327211,0.253437246,0.246855018,0.290452515,0.261470312,0.048609026,0.047810496,0.047658254,0.500065043,0.831565621,0.831565621,
p22_uppercut_left_pre_008,0.194820338,0.413251065,0.242634035,0.250029366,0.233573068,0.235626309,0.048930236,0.047913157,0.047622388,0.653182306,0.558242781,0.558242781,
p22_uppercut_left_pre_009,0.284940853,0.473997641,0.310849069,0.297552428,0.254974748,0.214317394,0.048865399,0.047820086,0.047622041,0.657823679,0.74898338,0.74898338,
p22_uppercut_left_pre_010,0.261805831,0.44258059,0.30878532,0.273062176,0.234979073,0.225479097,0.048857181,0.047887775,0.047631304,0.59280257,0.747671434,0.747671434,
AVG,0.245833579,0.443888594,0.255808519,0.254217683,0.287710635,0.262162694,0.048847559,0.049013602,0.04775624,0.544837697,0.800660154,0.800660154,
