uppercut_left,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,Overall,
p22_uppercut_left_main_012,0.273843402,0.47582574,0.24377041,0.242301136,0.297833061,0.301790176,0.050060673,0.052874691,0.047970784,0.557576014,0.840621415,0.840621415,
p22_uppercut_left_main_013,0.280836773,0.484046139,0.261655218,0.24489789,0.309111292,0.308606223,0.050686373,0.053269223,0.047960209,0.598767409,0.84402945,0.84402945,
p22_uppercut_left_main_014,0.282629495,0.48477613,0.257033007,0.25135253,0.304121958,0.29848581,0.049877651,0.053213034,0.048137964,0.577091105,0.855470118,0.855470118,
p22_uppercut_left_main_015,0.250433517,0.416935297,0.276275919,0.257054302,0.285855072,0.242766039,0.049245078,0.04775772,0.04762183,0.547050527,0.791587244,0.791587244,
p22_uppercut_left_main_016,0.272569481,0.471890292,0.252768062,0.239716035,0.307008733,0.302434496,0.049919919,0.05202481,0.048196598,0.544807342,0.867279231,0.867279231,
p22_uppercut_left_main_017,0.27012226,0.481905912,0.231333156,0.248277083,0.294618546,0.314453258,0.051273907,0.054879821,0.047827964,0.565902472,0.83286339,0.83286339,
p22_uppercut_left_main_018,0.233450482,0.464984631,0.229588587,0.233584031,0.273012438,0.278203177,0.049458419,0.04921154,0.047847367,0.530703242,0.786456967,0.786456967,
p22_uppercut_left_main_019,0.273087949,0.478953124,0.236426026,0.246723978,0.307245432,0.309175877,0.049920887,0.052482462,0.048279345,0.548939986,0.864817247,0.864817247,
p22_uppercut_left_main_020,0.234482066,0.453578181,0.266620307,0.238349207,0.277608145,0.245031703,0.049681272,0.049772483,0.047628304,0.549134317,0.766586452,0.766586452,
p22_uppercut_left_main_021,0.234210342,0.452874614,0.236494254,0.235107006,0.263583813,0.262595652,0.04955479,0.049396929,0.047652446,0.516928401,0.769984114,0.769984114,
p22_uppercut_left_main_022,0.266620321,0.490894288,0.247611835,0.26859181,0.319956129,0.296228716,0.051713725,0.053509462,0.047839113,0.574764837,0.869226037,0.869226037,
p22_uppercut_left_main_023,0.257469489,0.487468357,0.273022885,0.268300002,0.306597358,0.341117051,0.051146768,0.052586106,0.047949988,0.597296345,0.896292395,0.896292395,
p22_uppercut_left_main_024,0.250046991,0.488768123,0.296559737,0.283521665,0.29583533,0.293635616,0.051480241,0.051075313,0.047742922,0.624485941,0.849518998,0.849518998,
p22_uppercut_left_main_025,0.28320382,0.482332919,0.252990216,0.257422557,0.308438365,0.328074356,0.050230553,0.053684716,0.048908609,0.572879949,0.890951325,0.890951325,
p22_uppercut_left_main_026,0.265052214,0.489178464,0.301957011,0.302823372,0.295839696,0.308239295,0.0519901,0.055005454,0.047720599,0.642315108,0.873240413,0.873240413,
p22_uppercut_left_main_027,0.098980319,0.275603911,0.095627156,0.105105018,0.139790232,0.14710027,0.050229944,0.047741203,0.047619309,0.563070319,0.047904547,0.047904547,
p22_uppercut_left_main_028,0.251034697,0.454686318,0.256876359,0.238327633,0.277571292,0.240111284,0.04939202,0.047971327,0.047621557,0.5336975,0.774570338,0.774570338,
p22_uppercut_left_main_029,0.274446525,0.483628785,0.254074729,0.27646091,0.280775327,0.3031485,0.050596373,0.047992835,0.047632429,0.603493351,0.830705721,0.830705721,
p22_uppercut_left_main_030,0.261016682,0.484521018,0.25636853,0.268152637,0.31227351,0.326323497,0.051408538,0.05301907,0.04788268,0.601932177,0.867367375,0.867367375,
p22_uppercut_left_post_001,0.103973627,0.257692955,0.109142733,0.086546169,0.143526089,0.130644298,0.050125196,0.047744715,0.047619116,0.57817849,0.010148206,0.010148206,
p22_uppercut_left_post_002,0.258740031,0.472457794,0.238193512,0.258836714,0.298040085,0.293583844,0.050122011,0.048153143,0.047621178,0.572395761,0.822957204,0.822957204,
p22_uppercut_left_post_003,0.258097098,0.471175207,0.228443515,0.225595617,0.30215334,0.271372237,0.049355928,0.054662064,0.047884572,0.472315432,0.856672177,0.856672177,
p22_uppercut_left_post_004,0.26804511,0.493126454,0.232171857,0.250330302,0.315895891,0.316201154,0.05098783,0.052527029,0.048408952,0.535016117,0.894432571,0.894432571,
p22_uppercut_left_post_005,0.257687346,0.48119361,0.221750248,0.262343556,0.302547057,0.266415694,0.050290238,0.047814787,0.047620383,0.540633126,0.823978988,0.823978988,
p22_uppercut_left_post_006,0.263729685,0.473920427,0.247787974,0.270237035,0.315134455,0.296683269,0.05076653,0.049465107,0.047698716,0.579186976,0.85861613,0.85861613,
p22_uppercut_left_post_007,0.282995179,0.493194129,0.245004325,0.251563787,0.330292952,0.323059935,0.050637062,0.050441173,0.047972691,0.584984328,0.890945206,0.890945206,
p22_uppercut_left_post_008,0.293904847,0.47704273,0.242965202,0.267968914,0.305801523,0.304373975,0.050009086,0.048845123,0.047624456,0.63062853,0.81766501,0.81766501,
p22_uppercut_left_post_009,0.28433732,0.435037817,0.261752482,0.26860683,0.252208631,0.216500951,0.049603292,0.047765556,0.04762042,0.550240387,0.759939415,0.759939415,
