hook_left,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,Overall
p22_hook_left_main_011,0.27968972431154593,0.46803652529509954,0.2521762735236046,0.18423520450492367,0.34029876452028057,0.26536646301415034,0.05980665425905352,0.05916671172859165,0.04771245852818767,0.4875052974655844,0.849390026090179,0.849390026090179
p22_hook_left_main_012,0.2850749222526222,0.46845321943626883,0.23259693531370598,0.1813028551586629,0.34613948843224285,0.28570291183663754,0.05988655620788656,0.05898799912006288,0.04776066102858103,0.4926362780554,0.8511771445021543,0.8511771445021543
p22_hook_left_main_013,0.2919123752173708,0.47972112136020656,0.23100153983750138,0.18328971746336165,0.34282053501019044,0.26854771080379514,0.06026685153346529,0.05955778994358318,0.04784096188352613,0.4992919699214826,0.8339273142018703,0.8339273142018703
p22_hook_left_main_014,0.27793249587128904,0.46022254943798313,0.23048819192602837,0.1814657599721244,0.33026898037697583,0.28365300757481116,0.06064853841036855,0.058379807000205834,0.04805026976200116,0.5035252047336519,0.8149346609702166,0.8149346609702166
p22_hook_left_main_015,0.2812505810720463,0.4801643066840506,0.21814918631061103,0.2621400626295688,0.32460770634054115,0.22184853862292137,0.06911041861466408,0.06411252996241368,0.04762734704322582,0.5402916303127561,0.7757871670544199,0.7757871670544199
p22_hook_left_main_016,0.2901702424978613,0.48230535534163055,0.2431095273949336,0.25424827360760255,0.32086120930467016,0.29805018598570526,0.06023333171939387,0.056573145968059416,0.047810440759319055,0.5670918324005505,0.858950955516208,0.858950955516208
p22_hook_left_main_017,0.3039847173560196,0.4790354079432035,0.23698982529484836,0.26376908031465207,0.346849656053508,0.2520197466366265,0.06833598668260288,0.06691530577126409,0.04763387095020335,0.5627509676706669,0.8329405474777369,0.8329405474777369
p22_hook_left_main_018,0.27942393784159403,0.4689813090914522,0.1935350409289211,0.241571995335375,0.31420589892394163,0.2917177928503662,0.06036492260453909,0.05845875184002499,0.04786808346837341,0.5416968055630118,0.798651839480992,0.798651839480992
p22_hook_left_main_019,0.28898542798695537,0.4767449837223657,0.19630767074325042,0.22961018828243515,0.3289034152832669,0.2579154938091473,0.0669428578350353,0.06152520570121639,0.047638033987276514,0.5220779045957332,0.7888508984568141,0.7888508984568141
p22_hook_left_main_020,0.2959749768219949,0.4730508333033366,0.20317440448436477,0.2521037831509597,0.316800281362232,0.1979696209807662,0.07255245365440284,0.06597889416478908,0.04762003974073325,0.4873071947046924,0.7693711707345497,0.7693711707345497
p22_hook_left_main_021,0.26978599937377246,0.4741488551895124,0.21581543637852146,0.2013259915856768,0.32290635385570343,0.2723468872336997,0.06335264301997146,0.05953206990076861,0.04781267179300975,0.49613679640325004,0.8069692220267457,0.8069692220267457
p22_hook_left_main_022,0.31050600726999383,0.4710445923515575,0.19368858598382688,0.22963910019494493,0.33039576156496747,0.19513449208710248,0.06706293829354995,0.06159369258864099,0.04763989907388438,0.47806627493901904,0.7784880332671618,0.7784880332671618
p22_hook_left_main_023,0.28087563924716974,0.46606001827831756,0.20873699136867813,0.25634805754994094,0.3309685206363344,0.2690432597944056,0.06181805520344342,0.06130063913886752,0.04793743992367437,0.536474171307088,0.8209764953934621,0.8209764953934621
p22_hook_left_main_024,0.28236991790667687,0.47027773499373743,0.20504726844068752,0.25353004897030795,0.3394110666034923,0.2623114035485408,0.06020782745176079,0.057972969190620637,0.047885755012204004,0.5545084756927983,0.807980788745312,0.807980788745312
p22_hook_left_main_025,0.287853038789474,0.47013342453301094,0.20440309697557119,0.2220449147446785,0.3278337098191021,0.18354894799956395,0.06575835936677267,0.060778894848192155,0.047642798008203056,0.494477008728583,0.7400789072229985,0.7400789072229985
p22_hook_left_main_026,0.33602083434588137,0.46215355532594804,0.22414500918663113,0.24187650671876565,0.354346633879972,0.21253275033715235,0.06760917461341201,0.062296220842375905,0.04765118786510576,0.5413815667648828,0.7995795620088512,0.7995795620088512
p22_hook_left_main_027,0.29851084918540144,0.4794051905156208,0.22928413481155258,0.23975121803426008,0.3349680371732387,0.20271732857529115,0.06710416482609041,0.06156622447791453,0.04763881329159453,0.5013022015928572,0.8035037201371825,0.8035037201371825
p22_hook_left_main_028,0.24910919511172436,0.4607900563334866,0.22011156502498425,0.26412531686324314,0.24757834331082265,0.2082831954531871,0.06637369569173528,0.060816466660116766,0.04765364258496276,0.4999437296534831,0.7136844482336829,0.7136844482336829
p22_hook_left_main_029,0.27701991107724905,0.48125377415145765,0.23955617651001412,0.2774346419317056,0.35118725957486896,0.20691833624389216,0.068440150332201,0.06232933900453998,0.04763626180786966,0.5906235180435727,0.7759347340058407,0.7759347340058407
p22_hook_left_main_030,0.28295984467717183,0.47758036914721497,0.20374451229139162,0.2597582925268315,0.32527459746017595,0.18312193896924978,0.07302718628389712,0.07137137982721994,0.04761998000400279,0.5490630932243205,0.7049435217223029,0.7049435217223029
p22_hook_left_post_001,0.15673370694927358,0.35352341806453924,0.10434102168857322,0.1664744056219128,0.20245092655865551,0.11160523729268516,0.07067939104184767,0.0662668392820428,0.04762122189086361,0.5591125143402487,0.18726566552817406,0.18726566552817406
p22_hook_left_post_002,0.3183238476879101,0.48418204102308166,0.21267961434130056,0.24325511790330073,0.34382478047238074,0.19526158959746606,0.07205180001342743,0.07176524809048698,0.0476260807816321,0.5225130719943074,0.7731192927756647,0.7731192927756647
p22_hook_left_post_003,0.28620062635733173,0.4869302293054615,0.26993219917905603,0.27112248288521235,0.34782821917405093,0.2157609166567572,0.07383886128235176,0.07269373929608378,0.047623566562078834,0.5862686584981869,0.8002448317962694,0.8002448317962694
p22_hook_left_post_004,0.2856700675153452,0.46236188605396966,0.2626428356080673,0.30288581106914264,0.34715396242848273,0.31079320957412004,0.061605638129056964,0.05948371874358197,0.04798039704486112,0.6375819825625658,0.8787567773085708,0.8787567773085708
p22_hook_left_post_005,0.2662189309573931,0.4758754451635192,0.2621636699103641,0.25905194853030133,0.31979251583967416,0.26107880836989306,0.06554415233536151,0.061320010792245784,0.04765988226215598,0.5333845020230538,0.8516120658171835,0.8516120658171835
