uppercut_left,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,Overall,,
p19_uppercut_left_main_020,0.344067716,0.412867345,0.334403102,0.295786733,0.289995336,0.185338005,0.051146128,0.049137003,0.047624657,0.596072007,0.828765195,0.758957239,,
p19_uppercut_left_main_021,0.33218986,0.453169988,0.33277156,0.2832379,0.266325968,0.175365504,0.050232679,0.047862421,0.04762129,0.602463738,0.792182981,0.735267208,,
p19_uppercut_left_main_022,0.286479166,0.385354862,0.262051021,0.225225944,0.237765961,0.136483379,0.050963058,0.047924757,0.047619077,0.628026199,0.508706204,0.544502203,,
p19_uppercut_left_main_023,0.336742335,0.437942012,0.336193438,0.235944742,0.244121467,0.154063328,0.049132492,0.04800482,0.047620658,0.530645172,0.768973938,0.697475309,,
p19_uppercut_left_main_024,0.348211017,0.450404131,0.326149249,0.240437177,0.243988943,0.170476475,0.049134881,0.047948574,0.047626052,0.518875992,0.805549461,0.71954742,,
p19_uppercut_left_main_025,0.351575151,0.454394955,0.343217441,0.299037851,0.288428251,0.192365743,0.050501234,0.047845049,0.047623378,0.637621891,0.830317516,0.772508829,,
p19_uppercut_left_main_026,0.335661947,0.425899584,0.32165045,0.27489624,0.289909605,0.188005682,0.050494472,0.047805148,0.047621307,0.581986523,0.816914573,0.746436158,,
p19_uppercut_left_main_027,0.326497375,0.461175157,0.352462394,0.292260271,0.292223641,0.209623095,0.051167114,0.049396069,0.047635164,0.619210936,0.859184897,0.787192709,,
p19_uppercut_left_main_028,0.342213381,0.441363588,0.310073559,0.294949191,0.234493706,0.147821238,0.050599545,0.04780284,0.047620643,0.614898306,0.712186485,0.683000031,,
p19_uppercut_left_main_029,0.307333387,0.414257583,0.335062725,0.234444174,0.236441405,0.150535295,0.050060277,0.0479834,0.047620979,0.567395737,0.688920867,0.652463328,,
p19_uppercut_left_main_030,0.337961393,0.417453304,0.302122028,0.260834942,0.247224303,0.114302377,0.050180302,0.047757758,0.047620885,0.531468402,0.716235286,0.660805221,,
p19_uppercut_left_post_001,0.292460122,0.435892655,0.273063018,0.294827053,0.186213299,0.10398125,0.0503025,0.047723247,0.04761929,0.551700168,0.618404698,0.598393339,,
p19_uppercut_left_post_002,0.346368241,0.442526681,0.337109821,0.301946589,0.257776552,0.175047374,0.050148378,0.048994045,0.047632468,0.620874625,0.787384783,0.737431736,,
p19_uppercut_left_post_003,0.353406638,0.442278286,0.294762289,0.320711782,0.241266132,0.160390957,0.05075993,0.047793841,0.047623958,0.551371431,0.807321009,0.730536136,,
p19_uppercut_left_post_004,0.346590842,0.461578475,0.290185903,0.302401367,0.223010853,0.129674578,0.050484008,0.047753441,0.047621925,0.539177068,0.757895943,0.69228028,,
p19_uppercut_left_post_005,0.320078354,0.445244822,0.318570535,0.323664399,0.282946985,0.14216761,0.050742058,0.047863919,0.047621464,0.601316308,0.791531068,0.73446664,,
