jap,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,,
p04_jap_main_018,0.25072158,0.511783808,0.355903374,0.287215074,0.226916452,0.289215283,0.048862786,0.048141235,0.04762625,0.574357363,0.909138166,,
p04_jap_main_019,0.248221772,0.494840648,0.27548182,0.265575067,0.226941356,0.232724363,0.048279993,0.047893834,0.047619991,0.415436728,0.903044268,,
p04_jap_main_020,0.250096882,0.49058178,0.346861186,0.270336498,0.230501226,0.271782616,0.047990059,0.049407313,0.047635196,0.532717458,0.900229546,,
p04_jap_main_021,0.246551532,0.49456676,0.361697398,0.269378114,0.239978408,0.245519679,0.048462013,0.050947182,0.047672872,0.515737398,0.91172389,,
p04_jap_main_022,0.251240536,0.504703969,0.328343416,0.271664583,0.235336305,0.288429996,0.048133516,0.048895246,0.047693414,0.53682178,0.908413277,,
p04_jap_main_023,0.249727007,0.493020472,0.303968861,0.260114017,0.231528568,0.220342954,0.048634757,0.047915288,0.047619653,0.466250014,0.869248397,,
p04_jap_main_024,0.240376399,0.503864772,0.284931911,0.259077533,0.233413312,0.271815181,0.048005346,0.048563895,0.047623565,0.483072585,0.884588854,,
p04_jap_main_025,0.235015343,0.485253371,0.253057507,0.258273321,0.229334563,0.206392858,0.048351444,0.047966874,0.047619245,0.43738274,0.819890762,,
p04_jap_main_026,0.267614904,0.509929575,0.333595112,0.248456957,0.242773991,0.265729622,0.048365385,0.049218218,0.047664026,0.510983893,0.911609563,,
p04_jap_main_027,0.277562619,0.50390883,0.345739682,0.261236968,0.234360835,0.264774121,0.048249454,0.050084041,0.047681573,0.536437091,0.903993495,,
p04_jap_main_028,0.271342148,0.504881525,0.354564032,0.259197487,0.24787627,0.265525119,0.048282151,0.048984559,0.04773886,0.54236844,0.91546973,,
p04_jap_main_029,0.262717007,0.504750028,0.295653172,0.264079533,0.232015772,0.251548395,0.04832428,0.048529628,0.047623876,0.489596894,0.884195153,,
p04_jap_main_030,0.246958906,0.498089591,0.275806784,0.257396273,0.244658001,0.227818514,0.047725413,0.047879261,0.047620333,0.425007423,0.899860946,,
p04_jap_post_001,0.296280257,0.468759841,0.279695452,0.264840271,0.176056384,0.190145392,0.049354688,0.047739196,0.047619079,0.506832545,0.736258867,,
p04_jap_post_002,0.207234161,0.382335706,0.226822164,0.1862781,0.136288558,0.148174231,0.04839362,0.047869681,0.047619118,0.507880709,0.426617716,,
p04_jap_post_003,0.288978247,0.503006376,0.351188869,0.275949379,0.240211017,0.278150216,0.048930886,0.048452509,0.047635943,0.567436176,0.916513472,,
p04_jap_post_004,0.275405157,0.483404276,0.339583162,0.294938438,0.227708444,0.250194884,0.051512189,0.048418677,0.047619236,0.596086203,0.836667156,,
p04_jap_post_005,0.302660101,0.49251656,0.340558332,0.30827608,0.233801149,0.211150509,0.048298466,0.047868425,0.047619204,0.569012183,0.869904882,,
p04_jap_post_006,0.252808748,0.492701234,0.333370622,0.263742914,0.237223689,0.238147116,0.048360583,0.047821177,0.047619069,0.540016251,0.850547002,,
p04_jap_post_007,0.261946923,0.497360026,0.32982436,0.268602141,0.226205637,0.276185793,0.049098754,0.049022248,0.047621619,0.58984823,0.835230311,,
p04_jap_post_008,0.211777236,0.468173688,0.304516516,0.232939517,0.220029976,0.233203571,0.04907496,0.047916349,0.047619148,0.506114807,0.764140961,,
p04_jap_post_009,0.246332498,0.492047908,0.327744223,0.257262538,0.237005568,0.232848016,0.049181151,0.047846833,0.04761915,0.520472289,0.848675724,,
p04_jap_post_010,0.272900404,0.500523826,0.323731922,0.264881816,0.243187241,0.253946707,0.048467656,0.048991029,0.04762126,0.541585473,0.875767681,,
p04_jap_pre_001,0.127771642,0.335128229,0.191337485,0.125701748,0.098508551,0.065502438,0.048189819,0.047748685,0.04761906,0.501541898,0.152810667,,
p04_jap_pre_002,0.178447767,0.372814606,0.179730778,0.199240832,0.122739502,0.077965786,0.047911589,0.047862048,0.047619048,0.490363225,0.309539563,,
p04_jap_pre_003,0.172956758,0.351334609,0.175224002,0.147488714,0.092236294,0.064464039,0.04783268,0.047747287,0.047619104,0.467022969,0.218065707,,
p04_jap_pre_004,0.252767441,0.460151461,0.307539702,0.234888514,0.196623769,0.167323637,0.048211652,0.04842083,0.047619927,0.488252805,0.719939357,,
p04_jap_pre_005,0.255279735,0.475173493,0.305373677,0.259095339,0.209049942,0.161866133,0.04872859,0.048305527,0.047619191,0.499982555,0.748557346,,
p04_jap_pre_006,0.126575628,0.356426565,0.205719889,0.158514403,0.110002286,0.073697008,0.04774621,0.047771719,0.047619048,0.529259211,0.203303665,,
p04_jap_pre_007,0.117288517,0.343599472,0.186861567,0.156848875,0.111591938,0.071711509,0.049019066,0.047821991,0.047619048,0.526022902,0.172931963,,
p04_jap_pre_008,0.106988078,0.313639001,0.147288464,0.130963728,0.08289194,0.053920615,0.049064329,0.0479809,0.047619048,0.503744717,0.060075324,,
p04_jap_pre_009,0.10443846,0.311728255,0.129958344,0.117349091,0.080158295,0.053275928,0.047896413,0.047839784,0.047619048,0.474546589,0.054511235,,
p04_jap_pre_010,0.211295465,0.417166906,0.247072127,0.208501703,0.160355436,0.112594767,0.048339692,0.047769061,0.047619067,0.522749729,0.46557219,,
AVG,0.237743962,0.468284266,0.290888881,0.245119726,0.207375329,0.210134715,0.048550439,0.048304339,0.047629821,0.5036953,0.747437413,,
