Hook,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation
p04_hook_left_main_023,0.20818602620942445,0.43805577444739274,0.2762890032099611,0.2604342548375951,0.1731383884410697,0.2562037126372424,0.06583391918050194,0.06563959370385901,0.04767751331742934,0.380142498688023,0.8184408449038865
p04_hook_left_main_024,0.21819006910557617,0.46219289107238737,0.2868311237194958,0.22716279377269935,0.19954379027968344,0.19458258841247372,0.06984389997220598,0.06944736364108896,0.04765207129031525,0.3341145868181027,0.8167354337954116
p04_hook_left_main_025,0.17218028797431034,0.4271296479831713,0.24233977598342804,0.2775374794376207,0.17067661848152235,0.19005145745964638,0.07059455258506667,0.0722674335231502,0.04763470983259009,0.42830077061279825,0.6477852448348217
p04_hook_left_main_026,0.2142071944519321,0.4453750669671342,0.28382585084112777,0.2577273311233773,0.17672274172077346,0.24767135385570524,0.06499488369382198,0.06571243418297971,0.04783253681108283,0.38085515367193223,0.8256436136420494
p04_hook_left_main_027,0.21890516005153976,0.4431096346606595,0.3360127010229997,0.263850246879035,0.19777124848742517,0.24254305596702314,0.06913175236100476,0.07055627680096992,0.04786504830358124,0.4118667536791176,0.8579655207674954
p04_hook_left_main_028,0.20688677363024643,0.4348433786140042,0.2833063498820715,0.2213268845653582,0.17217283347240103,0.24136564951201275,0.06539148025923625,0.0655520970272567,0.047656380565993105,0.3349234095850732,0.8145835361637902
p04_hook_left_main_029,0.20511502264272014,0.4481622314980508,0.30150176842683896,0.23763066659385362,0.17759539413593214,0.24082963869944293,0.06558313302051968,0.06631397017230127,0.047634530725179876,0.383692643209336,0.8083424828656699
p04_hook_left_main_030,0.13116485086804258,0.35770736170090045,0.1301950254609605,0.22445778063281913,0.10245755134128347,0.1450591160930223,0.06707913807278922,0.06762672903276121,0.04761949122846944,0.35931120735096567,0.3921178492462672
p04_hook_left_post_001,0.23673099469702202,0.41422006739211226,0.29334837860952606,0.26323138523657763,0.18150397647885205,0.22673117895041967,0.06619740416028273,0.06788312018893894,0.04771340963218229,0.3761200166415281,0.8205890612892849
p04_hook_left_post_002,0.22617331235847699,0.4421928728643289,0.3014085988085205,0.27376289283874444,0.21222585662480759,0.22553247804781584,0.07601765430049216,0.07429162956364388,0.048026589643793534,0.38480842408763277,0.8496503566227137
