Uppercut,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation
p04_uppercut_right_main_021,0.16331784574829172,0.3749910459045826,0.2887410186202203,0.26111420076415737,0.13953523545929303,0.15166779793170265,0.05505216115054351,0.05022346361411104,0.04762086060290852,0.5198331381361535,0.521882352513406
p04_uppercut_right_main_022,0.18786371187444106,0.41687367682667953,0.3063708878699896,0.31627821358273855,0.16332271821321487,0.16716714527875778,0.056090319034750445,0.05241241843430219,0.04763952465750593,0.5046439882827932,0.6787280967179941
p04_uppercut_right_main_023,0.16649837418633448,0.37057590450909406,0.21362461755437714,0.26413254175622763,0.1341314776120987,0.13449609211268862,0.055205528739233435,0.048827581832559155,0.047620282341103604,0.42486901794146104,0.524368084279719
p04_uppercut_right_main_024,0.1824074129548358,0.4519010572503003,0.2983399518667122,0.2931364441419915,0.18083285991951992,0.15267583976458496,0.052712802352248456,0.04791728138865782,0.04769865314792498,0.5071670255253206,0.67057939629778
p04_uppercut_right_main_025,0.17190498877692714,0.43367136006095974,0.2454405648760451,0.2600468133774274,0.17130220056264706,0.12726742192028526,0.05462429586838784,0.04778644644403076,0.047625878453592826,0.4472798150542269,0.5930873957839012
p04_uppercut_right_main_026,0.19562758662105734,0.44094682851293665,0.28485907004626454,0.2724183751529584,0.16708221928397185,0.14771023600593833,0.05478705294230305,0.04776930868891938,0.04762284865806838,0.4903671977387679,0.635433934715437
p04_uppercut_right_main_027,0.17190915283765212,0.4142713852250358,0.2468268347877256,0.2335249868937328,0.14121965178066442,0.12541901902880098,0.05427521557730097,0.0478172918406903,0.04762739606216916,0.4349752040920188,0.5385439853355318
p04_uppercut_right_main_028,0.21752757178812415,0.46415948953392167,0.3100344787182876,0.28579278579250167,0.18611805882970492,0.17319525191341972,0.06229985377986859,0.055788152328969026,0.04764079121265534,0.5051942311710522,0.709039494042194
p04_uppercut_right_main_029,0.2040067409791424,0.4335317338507686,0.32999550119922677,0.2835075567247922,0.19168698639762632,0.18415448447495314,0.05998295353508223,0.05051299543969009,0.04765820579100409,0.48407835550131234,0.7493195382566713
p04_uppercut_right_main_030,0.2083296616049209,0.4539362687278545,0.24577035508096223,0.2453651409598915,0.22400428052952007,0.14907478288342396,0.06682276325189983,0.04871164313120803,0.047755552314681156,0.38305088923862585,0.7356044573957051
p04_uppercut_right_post_001,0.25469430548433414,0.4297114463829749,0.2927174788886702,0.2976078300972757,0.16869290173146814,0.18353714578457891,0.05265840582186607,0.050835771078867505,0.047639624190437525,0.4911066941475202,0.7232912903594515
p04_uppercut_right_post_002,0.2444358369545328,0.4366400468688797,0.29739109393912344,0.2946238734568675,0.19672511760307357,0.17798280780726,0.054532382179066564,0.04987277555542408,0.04772287733857285,0.44365382103540646,0.7954193412067699
p04_uppercut_right_post_003,0.19101944325058257,0.39749511898589035,0.29190243043406294,0.2476100686201554,0.16418930198029255,0.16383852553255784,0.05587863195956209,0.04868109996891662,0.047624076246273836,0.4745228363094987,0.6180843167749622
p04_uppercut_right_post_004,0.23237100075729958,0.446775107586992,0.3302187857441461,0.32700224780347886,0.1924418008963445,0.20424788350786227,0.058480014031644156,0.05552291402371862,0.04763193093804302,0.5502713522025144,0.766146524709386
