jap,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,Overall,,
p07_jap_post_006,0.225632194,0.424869221,0.322180089,0.315327351,0.27774712,0.269654215,0.048407556,0.050444899,0.047648952,0.578877102,0.867280738,0.780759647,,
p07_jap_post_007,0.233481981,0.428788859,0.331674172,0.314182841,0.284443759,0.271678255,0.048282982,0.049505262,0.047658949,0.594952859,0.876391041,0.791959586,,
p07_jap_post_008,0.235623396,0.433428189,0.325747774,0.32067003,0.284597396,0.280100054,0.048413691,0.050397256,0.04766547,0.601191296,0.882174712,0.797879687,,
p07_jap_post_009,0.230648269,0.432541282,0.313684749,0.303111902,0.25697093,0.29770711,0.048240102,0.049338624,0.047671235,0.580076131,0.861384021,0.776991654,,
p07_jap_post_010,0.249474285,0.370387494,0.286941179,0.306423363,0.238696769,0.248509912,0.047898495,0.047998981,0.047641455,0.50713954,0.830503604,0.733494385,,
p07_jap_pre_001,0.210946048,0.350236344,0.244682026,0.234473605,0.24369716,0.284058592,0.048423662,0.04794148,0.047627552,0.44585386,0.783674425,0.682328255,,
p07_jap_pre_002,0.210090914,0.369358196,0.244497717,0.227434125,0.261621221,0.260564643,0.04835927,0.04799618,0.04763113,0.426916898,0.796888623,0.685897105,,
p07_jap_pre_003,0.204489036,0.369469109,0.256142853,0.242599629,0.27104965,0.269267207,0.048327681,0.047928686,0.047625423,0.45443338,0.812184831,0.704859396,,
p07_jap_pre_004,0.209831692,0.345205223,0.255133466,0.245158779,0.266618356,0.235463458,0.048123938,0.048175745,0.047634609,0.427235054,0.793026214,0.683288866,,
p07_jap_pre_005,0.190702097,0.335817139,0.246875135,0.225269936,0.267710436,0.250177536,0.048390337,0.048038558,0.047627776,0.421534914,0.768899193,0.66468991,,
p07_jap_pre_006,0.185560505,0.334325468,0.245216446,0.222077201,0.278830181,0.243042406,0.04809347,0.048025633,0.047624056,0.427179771,0.757860929,0.658656581,,
p07_jap_pre_007,0.19265217,0.330634056,0.241301027,0.221037209,0.231351424,0.255832768,0.048384654,0.047962663,0.047627537,0.379757872,0.772672166,0.654797878,,
p07_jap_pre_008,0.159573738,0.328069347,0.205331784,0.224939166,0.227489249,0.252437305,0.048104576,0.04873205,0.047621616,0.412279505,0.672473529,0.594415322,,
p07_jap_pre_009,0.155018492,0.341065535,0.220208258,0.241668262,0.271790753,0.249005407,0.048263032,0.048207548,0.047627749,0.47690861,0.681302109,0.61998406,,
p07_jap_pre_010,0.209319982,0.37306742,0.275027613,0.283485612,0.263117405,0.236629285,0.048282087,0.048631105,0.047661642,0.444050586,0.846433823,0.725718852,,
AVG,0.202873279,0.420708448,0.287218679,0.292667179,0.269017168,0.276269325,0.048291777,0.049536561,0.047654248,0.545307552,0.827874566,0.743104462,,
