File,Column,Pre_Avg,Main_Avg,Post_Avg
hook_left_p02_Global_hook_left_003_similarity_matrix,Position,0.047625302,0.047623637,0.047621344
hook_left_p02_Global_hook_left_003_similarity_matrix,Joint Angle,0.371328848,0.413499193,0.404220265
hook_left_p02_Global_hook_left_003_similarity_matrix,rotation,0.646503821,0.581604363,0.475414913
hook_left_p02_Global_hook_left_003_similarity_matrix,Overall,0.347064562,0.314614,0.261518128
hook_left_p02_Global_hook_left_004_similarity_matrix,LShoulder,0.314180506,0.315627896,0.293300768
hook_left_p02_Global_hook_left_004_similarity_matrix,LUArm,0.049819784,0.002104575,0.002111397
hook_left_p02_Global_hook_left_004_similarity_matrix,LFArm,0.075834457,0.022818587,0.016225886
hook_left_p02_Global_hook_left_004_similarity_matrix,LHand,0.07140195,0.046660101,0.031364499
hook_left_p02_Global_hook_left_004_similarity_matrix,RShoulder,0.285764937,0.264651345,0.238114992
hook_left_p02_Global_hook_left_004_similarity_matrix,RUArm,0.121892378,0.114288113,0.093458492
hook_left_p02_Global_hook_left_004_similarity_matrix,RFArm,0.22170627,0.215960279,0.204342831
hook_left_p02_Global_hook_left_004_similarity_matrix,RHand,0.1302327,0.137598135,0.114682523
hook_left_p02_Global_hook_left_004_similarity_matrix,LThigh,0.170373258,0.166347513,0.155369345
hook_left_p02_Global_hook_left_004_similarity_matrix,LShin,0.225391223,0.220100436,0.219915455
hook_left_p02_Global_hook_left_004_similarity_matrix,LFoot,0.168749137,0.201667028,0.214885169
hook_left_p02_Global_hook_left_004_similarity_matrix,LToe,0.105976522,0.116019477,0.11612617
hook_left_p02_Global_hook_left_004_similarity_matrix,RThigh,0.124388759,0.116650504,0.098013703
hook_left_p02_Global_hook_left_004_similarity_matrix,RShin,0.235858067,0.215163026,0.197793447
hook_left_p02_Global_hook_left_004_similarity_matrix,RFoot,0.143400507,0.191683776,0.130565939
hook_left_p02_Global_hook_left_004_similarity_matrix,RToe,0.049960373,0.04679149,0.02912775
hook_left_p02_Global_hook_left_004_similarity_matrix,Hip,0.876139246,0.885623545,0.858686702
hook_left_p02_Global_hook_left_004_similarity_matrix,Ab,0.273139388,0.284753546,0.255911568
hook_left_p02_Global_hook_left_004_similarity_matrix,Chest,0.280355167,0.2852539,0.254126069
hook_left_p02_Global_hook_left_004_similarity_matrix,Neck,0.178763815,0.175824861,0.137326514
hook_left_p02_Global_hook_left_004_similarity_matrix,Head,0.147448793,0.141982444,0.101083837
hook_left_p02_Global_hook_left_004_similarity_matrix,Acceleration,0.053680494,0.050350263,0.050186235
hook_left_p02_Global_hook_left_004_similarity_matrix,Velocity,0.049195591,0.048222385,0.048122275
hook_left_p02_Global_hook_left_004_similarity_matrix,Position,0.047625034,0.047627275,0.047625575
hook_left_p02_Global_hook_left_004_similarity_matrix,Joint Angle,0.457648576,0.488333402,0.472723716
hook_left_p02_Global_hook_left_004_similarity_matrix,rotation,0.581633057,0.542039901,0.459657405
hook_left_p02_Global_hook_left_004_similarity_matrix,Overall,0.314629046,0.294833588,0.25364149
hook_left_p02_Global_hook_left_005_similarity_matrix,LShoulder,0.264646582,0.293646284,0.29431713
hook_left_p02_Global_hook_left_005_similarity_matrix,LUArm,0.075165982,0.004040211,0.004511537
hook_left_p02_Global_hook_left_005_similarity_matrix,LFArm,0.129811988,0.057994576,0.052933732
hook_left_p02_Global_hook_left_005_similarity_matrix,LHand,0.094815801,0.084257606,0.067852617
hook_left_p02_Global_hook_left_005_similarity_matrix,RShoulder,0.293460344,0.296100531,0.278272116
hook_left_p02_Global_hook_left_005_similarity_matrix,RUArm,0.04705534,0.050081741,0.043526607
hook_left_p02_Global_hook_left_005_similarity_matrix,RFArm,0.170005817,0.179534699,0.186773107
hook_left_p02_Global_hook_left_005_similarity_matrix,RHand,0.133795221,0.154392029,0.13866876
hook_left_p02_Global_hook_left_005_similarity_matrix,LThigh,0.163998795,0.169060123,0.163515108
hook_left_p02_Global_hook_left_005_similarity_matrix,LShin,0.227751696,0.267518829,0.260179257
hook_left_p02_Global_hook_left_005_similarity_matrix,LFoot,0.193584646,0.214040547,0.216148037
hook_left_p02_Global_hook_left_005_similarity_matrix,LToe,0.099354628,0.121032547,0.119285757
hook_left_p02_Global_hook_left_005_similarity_matrix,RThigh,0.151829102,0.152235255,0.140219221
hook_left_p02_Global_hook_left_005_similarity_matrix,RShin,0.284426127,0.262756748,0.24716647
hook_left_p02_Global_hook_left_005_similarity_matrix,RFoot,0.193694931,0.244520501,0.179917202
hook_left_p02_Global_hook_left_005_similarity_matrix,RToe,0.095104893,0.091862781,0.067579167
hook_left_p02_Global_hook_left_005_similarity_matrix,Hip,0.896412278,0.908357375,0.887577228
hook_left_p02_Global_hook_left_005_similarity_matrix,Ab,0.291124324,0.308213062,0.287328675
hook_left_p02_Global_hook_left_005_similarity_matrix,Chest,0.304515753,0.312495442,0.288488855
hook_left_p02_Global_hook_left_005_similarity_matrix,Neck,0.204155969,0.211940466,0.18292543
hook_left_p02_Global_hook_left_005_similarity_matrix,Head,0.174108696,0.176480493,0.141857092
