hook_right,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,Overall,,
p04_hook_right_main_024,0.286995585,0.485644916,0.329441886,0.266180777,0.25496994,0.249687118,0.051872978,0.053519095,0.048478349,0.515179112,0.901695865,0.785740839,,
p04_hook_right_main_025,0.312267448,0.480372044,0.352948511,0.251318863,0.253406537,0.250120847,0.05154681,0.051739633,0.048406852,0.542274736,0.897413287,0.790871722,,
p04_hook_right_main_026,0.294430867,0.488551073,0.30814304,0.258584379,0.243733706,0.220786968,0.051057494,0.052605443,0.047735931,0.480674083,0.877280478,0.75829856,,
p04_hook_right_main_027,0.293348247,0.498944384,0.300148436,0.256930219,0.260749207,0.241750839,0.051973861,0.053873291,0.048237834,0.488170835,0.898016867,0.775063057,,
p04_hook_right_main_028,0.300706864,0.487785776,0.312519908,0.242337766,0.256161215,0.237692588,0.050439488,0.051196953,0.048031714,0.483645157,0.895438334,0.771900381,,
p04_hook_right_main_029,0.292214578,0.489138535,0.332320759,0.289244786,0.25695576,0.243947505,0.052194232,0.056356177,0.049853689,0.536697294,0.902071181,0.792459015,,
p04_hook_right_main_030,0.255967306,0.454481173,0.278189844,0.318851789,0.219956529,0.205865177,0.050699224,0.049368058,0.048661338,0.51296128,0.802475339,0.715621121,,
p04_hook_right_post_001,0.276930523,0.450000511,0.273237679,0.29695473,0.217325138,0.220385619,0.051326563,0.049462416,0.047820397,0.516360462,0.788263151,0.706692344,,
p04_hook_right_post_002,0.301802911,0.472749186,0.329591014,0.284974842,0.245905195,0.237878659,0.054331778,0.05313286,0.047784209,0.554353585,0.857890064,0.76682912,,
p04_hook_right_post_003,0.254439833,0.468739278,0.268440032,0.265181314,0.226149372,0.234832225,0.050772446,0.048585437,0.047721153,0.470401671,0.820684011,0.715599309,,
p04_hook_right_post_004,0.276175279,0.466357746,0.296995345,0.260204772,0.224964366,0.23999167,0.050873624,0.052112188,0.047638595,0.528642572,0.795054367,0.715130829,,
p04_hook_right_post_005,0.225269862,0.471575493,0.287597759,0.268289668,0.24562623,0.258534351,0.051516209,0.048312812,0.048124383,0.496387677,0.847028238,0.74183607,,
p04_hook_right_post_006,0.236300532,0.468906688,0.306021796,0.298764261,0.234471275,0.243738207,0.051782648,0.052376932,0.047689838,0.57008954,0.795781976,0.728074245,,
